wl GRA01 GRA02 GRA03 GRA04 GRA05 GRA06 GRA07 GRA08 GRA09 GRA10 GRA11 GRA12 GRA13
400 0.0130936086734435 0.0124681420771835 0.012921709579946 0.0124731638269183 0.0133969836917719 0.0143049524610886 0.0153868616076691 0.0159437104022096 0.0192511651130229 0.0147255431683599 0.0153689308943985 0.0163314488993839 0.013247260798439
401 0.0133522860372455 0.0128984182125164 0.0133762689125377 0.0126712191221829 0.0137220609840292 0.0143516833731184 0.0157671404477089 0.0161262093958146 0.019573747719065 0.014931766921977 0.0157953302141692 0.016347062193061 0.0135061701609812 
402 0.0133850240350461 0.0126841548168326 0.0133304599596051 0.0128468613037457 0.013735930269474 0.0147253831976979 0.0156269693543815 0.0163517767442999 0.0195261465678933 0.0148986014057324 0.0155610607779727 0.0165131830749223 0.0134930219847081
403 0.0130325085480508 0.0122539119595662 0.0130959435242618 0.0124710943170032 0.0132916027174852 0.0141187957867161 0.0152805161249881 0.0159345934137975 0.019106448330204 0.014573712389148 0.0152180524254329 0.0163376895499447 0.0133391789496435
404 0.0131433294682903 0.0122573572558 0.0129397637411657 0.0125204919928227 0.0132888466920177 0.0142945112756327 0.015424002107422 0.0157944117458114 0.0190990029658747 0.0145812455406395 0.0151949520577965 0.0162437214168536 0.0133621636148623
405 0.0138829447604001 0.0130795138959714 0.0135575655363345 0.0132685310008449 0.0139399342210585 0.015256378400129 0.016075702339473 0.0166539954742209 0.0200905851185807 0.0152849272148162 0.0160359348836692 0.0168408182994271 0.0137206685073892
406 0.0136812585713361 0.0129308050732342 0.0134797013421925 0.0129818381463507 0.0139292877643684 0.0150653286768536 0.0159448902618264 0.0166470745377678 0.0198669533500018 0.0151918314943807 0.0159058036701645 0.0169908417155546 0.0138250165785748
407 0.0128883397150604 0.0121754908290252 0.0128086566140012 0.012172356892513 0.0134656845602791 0.0142140538514413 0.0152826524623981 0.0158869344136846 0.0191673105615755 0.0145482199712545 0.015070562387193 0.0160896374272897 0.0129217216693909
408 0.0125027440713273 0.011722747359332 0.0123864637796654 0.0118862575472369 0.0128895339526106 0.0136617642895702 0.0147429054235827 0.0153376647598422 0.0187270486390986 0.0139257133738471 0.0147579716169283 0.0155550299494965 0.0126966235131842
409 0.0124132965079781 0.0117247792298842 0.0122810632822394 0.0118764265453629 0.0127044660434052 0.0137892857973098 0.0147139218897444 0.015281759625082 0.018716576198588 0.0138486778600717 0.0146012212173228 0.0153885162133154 0.0126270257062617
410 0.0126121337783221 0.0119690663930689 0.0127134206043597 0.0120452407828988 0.0130518106822579 0.0140045441088331 0.0148407004760346 0.0155937900347589 0.0190867003889782 0.0141498857087124 0.0149008690631096 0.0159508659254052 0.0128439580180553
411 0.0130273407241941 0.0123089718776038 0.0129367562732643 0.0124620743852347 0.0133480368963828 0.0141899305889939 0.0150046410955864 0.0158006275881271 0.0191874301284171 0.0144631101594851 0.0151667719538083 0.0158850884621343 0.0131173232850844
412 0.0132391782628779 0.012416284454549 0.0129306312005127 0.0126032422483601 0.0135263741480429 0.0144584696035214 0.015088072049557 0.0159136085504521 0.0192458914134904 0.0144632594837978 0.0152397600618106 0.0159699118778918 0.0134212572396436
413 0.0130125359505561 0.0123130020425088 0.0129604585337049 0.0123265705081325 0.0134013625140109 0.0141811873378807 0.0151966196268443 0.0158699323049265 0.0194158246545888 0.0144208721485495 0.0151340116452454 0.0159263593028692 0.0131243628760841
414 0.0133098244884371 0.012658895236134 0.0133201522991755 0.0126105461384882 0.0136562098607286 0.0145804946917704 0.0156584373417386 0.0161669524710534 0.0196098251922226 0.0147785307639572 0.0155372331917953 0.0165784379992478 0.0133027565059423
415 0.013808816069493 0.0132257805100975 0.0137653763463495 0.0130946684306311 0.014150624902384 0.0151543726533387 0.0161716351153472 0.0165854989135605 0.0201614409470677 0.0152497802875658 0.0160326409227847 0.01680420699505 0.0136904081708216
416 0.0134079909879241 0.0126383507134783 0.0132317263734964 0.0125652788629032 0.0136499770982057 0.0145236792857311 0.0156000486539376 0.0160385948764908 0.0196475672409529 0.0146530155978556 0.0153296914407427 0.0161156786278024 0.0132459493386615
417 0.0132403637047411 0.0124756597815333 0.0130461853738927 0.0124716943069659 0.0134186405955505 0.0142716469381859 0.0153054890889798 0.0159453539980276 0.0194908384884126 0.0144408235732573 0.0151474123934027 0.0157755333970008 0.0131429101901579
418 0.0138791298879171 0.0131806087770569 0.0136358944620291 0.0131537391669542 0.01418048110758 0.014937339891737 0.0159497539622357 0.0166883687027041 0.0201956349464152 0.0151619485317611 0.0157331607199405 0.0167697152824224 0.0137305704540258
419 0.0139779162742825 0.0132064602213787 0.0137734387475214 0.0132750851564871 0.0143195290507531 0.0152334911428477 0.0163364187863928 0.0166659854933666 0.0202400330264255 0.0152642367293796 0.0158554711380978 0.0169216110569447 0.0137179242151912
420 0.0137471647462645 0.0128209273597204 0.0134185803674741 0.0129264594438619 0.0138536541594743 0.0149033332132907 0.0161733108961215 0.0163030182283629 0.019971895830378 0.014870832429249 0.0155071550774561 0.0162714209908575 0.0133161246441586
421 0.0131189903392409 0.0124283006109055 0.0130508572028718 0.0124473725868993 0.0134196934180654 0.0142528953984884 0.0154259677323163 0.0157795283392702 0.0194797833024802 0.0143972263016091 0.0150215485227124 0.0159957410268076 0.0129868226590642
422 0.0130970745547178 0.0124383841892638 0.0130511478751424 0.0124563500410281 0.0134041101768334 0.0140916138981444 0.0152588712394779 0.0158422828554581 0.0195225261341165 0.0143786124960653 0.0149106318385563 0.0160315545421083 0.0130430200924228
423 0.0135610312483215 0.0128331700105425 0.0134278168298695 0.0128082133198405 0.0138006154790613 0.0145839710866937 0.0156509484928662 0.0163095568535862 0.0198955462408738 0.0147817729034456 0.0153996695310017 0.0162815484639175 0.0134331443721333
424 0.0135437586462993 0.0127444863294029 0.0133097538668939 0.0127792529894379 0.0138624891163445 0.014630881793026 0.015724191178193 0.0162346228671087 0.0197654236121628 0.0147610454050106 0.0154530328817544 0.0162918094862915 0.0135445061501108
425 0.0133954265980398 0.012742523781016 0.013230003713956 0.0128287914566056 0.0137860655721809 0.0144350279070721 0.0156905975516278 0.016253235476239 0.0197856404539881 0.0145859834451062 0.0153168551998252 0.0163218586631169 0.0134473130512523
426 0.0135822296009382 0.0129025391048141 0.0133651321456214 0.0128094419970929 0.0139075426301491 0.0146155899350498 0.0159309894652338 0.0163951682146557 0.0200195660947524 0.0147105465056416 0.0153994258474513 0.0165380679362611 0.0132858415497144
427 0.0136559698976575 0.0129354023982672 0.0134487552886871 0.012900605282064 0.0139491147110199 0.0149325536358396 0.0160730128711159 0.0164928891324469 0.0202370970064783 0.0147506553989897 0.0155110956686514 0.0166720535312316 0.0133009320221364
428 0.0135841960237502 0.0129350637990326 0.0135674862590446 0.0130312477121701 0.0139747893428944 0.0149192764215601 0.0159196528331601 0.0165223964490948 0.0201953126910807 0.0147221042810171 0.0155218247819417 0.0166129641959276 0.0132823669067241
429 0.013560075738896 0.0127856934738258 0.0133312838868054 0.0127927718848911 0.0139071891434146 0.0150277328358103 0.0158548935353747 0.0162378340385608 0.0198566013210414 0.0146161255355332 0.0152626767125578 0.0161002375070497 0.0132702191562051
430 0.0136041078175318 0.0128875320130842 0.0134527169916576 0.0128779826051677 0.0139830920201841 0.0152032761112661 0.015924578441565 0.0162240839820473 0.0198834951948678 0.0147956386134848 0.0153814184648934 0.0160110201080204 0.0134158937038821
431 0.013853161543027 0.01308872814981 0.0138050969915212 0.0133004416491256 0.0142070982248471 0.0152758173936947 0.0160538694922164 0.0165032568360513 0.0202198763417567 0.0151565015719079 0.015695363310741 0.0163444767001013 0.0136760235918678
432 0.013688378997048 0.0129072932474703 0.0134924149520825 0.0131223527758229 0.0141581620309954 0.0150165759526339 0.0158907003600935 0.0162686641156857 0.0201861939859968 0.0149148358024501 0.0154222586436254 0.0164631210075563 0.0133672139398063
