Wavelength,Sample,Letter,mean_STD,mean_RAW,dataset_Name,ID
400,1,A,0.058690827559735426,0.2404629656283854,ABBE,ABBE_1_A
400,1,B,0.11021848933271071,0.028859101649013185,ABBE,ABBE_1_B
400,1,C,0.10995825637093606,0.02565454021231691,ABBE,ABBE_1_C
400,2,A,0.04703934833207471,0.2867786052772625,ABBE,ABBE_2_A
400,2,B,0.10692828425505073,0.04872470951843735,ABBE,ABBE_2_B
400,2,C,0.12779408019311816,0.023848411781289738,ABBE,ABBE_2_C
400,3,A,0.055126827267648615,0.3006153927698203,ABBE,ABBE_3_A
400,3,B,0.09306143331834044,0.02620564298903231,ABBE,ABBE_3_B
400,3,C,0.09465735818544692,0.021031280942700563,ABBE,ABBE_3_C
400,4,A,0.0342331218771324,0.269274523753713,ABBE,ABBE_4_A
400,4,B,0.1335890527802291,0.03247905777463409,ABBE,ABBE_4_B
400,4,C,0.06819535873855549,0.023222760942207082,ABBE,ABBE_4_C
400,5,A,0.03754730535510998,0.2204138319897318,ABBE,ABBE_5_A
400,5,B,0.12469611484483732,0.0509561937034189,ABBE,ABBE_5_B
400,5,C,0.08071158796209454,0.02367345344184498,ABBE,ABBE_5_C
400,6,A,0.03663273572994528,0.2695254237907701,ABBE,ABBE_6_A
400,6,B,0.09920741300311874,0.04650147291252859,ABBE,ABBE_6_B
400,6,C,0.08584808283844232,0.02116655494738228,ABBE,ABBE_6_C
400,7,A,0.04075909566113174,0.3679965373875781,ABBE,ABBE_7_A
400,7,B,0.10725083550324437,0.04812508081942097,ABBE,ABBE_7_B
400,7,C,0.08386965666060367,0.01975692716679439,ABBE,ABBE_7_C
400,8,A,0.04763141250649076,0.2161452643132052,ABBE,ABBE_8_A
400,8,B,0.12032594656319001,0.03258182123909254,ABBE,ABBE_8_B
400,8,C,0.11469550203984381,0.02656796530625021,ABBE,ABBE_8_C
400,9,A,0.049363661108827506,0.04199543892884739,ABBE,ABBE_9_A
400,9,B,0.11632730478990164,0.04709938812558801,ABBE,ABBE_9_B
400,9,C,0.1178350071466559,0.02739731535589559,ABBE,ABBE_9_C
400,10,A,0.04734905979946687,0.3855481852812926,ABBE,ABBE_10_A
400,10,B,0.14011787985162252,0.04093298624961789,ABBE,ABBE_10_B
400,10,C,0.07769901533557735,0.017778147890744497,ABBE,ABBE_10_C
400,11,A,0.05079682075437837,0.1372007853705768,ABBE,ABBE_11_A
400,11,B,0.08753504104411208,0.0284127042875074,ABBE,ABBE_11_B
400,11,C,0.09121537508013175,0.03904879139839189,ABBE,ABBE_11_C
400,12,A,0.05886745144115931,0.2442828741419434,ABBE,ABBE_12_A
400,12,B,0.08200883616470482,0.03030498679245024,ABBE,ABBE_12_B
400,12,C,0.09559552176755835,0.02482164895836046,ABBE,ABBE_12_C
400,13,A,0.04010216283240974,0.2768590294541382,ABBE,ABBE_13_A
400,13,B,0.12409417658136998,0.03350959392210537,ABBE,ABBE_13_B
400,13,C,0.1037362037817983,0.01794113467496999,ABBE,ABBE_13_C
400,14,A,0.05414610770759516,0.08626385124931404,ABBE,ABBE_14_A
400,14,B,0.092334611303195,0.02818195484530422,ABBE,ABBE_14_B
400,14,C,0.1407024300352605,0.02834816298312879,ABBE,ABBE_14_C
400,15,A,0.04660749833932902,0.144310746846843,ABBE,ABBE_15_A
400,15,B,0.0873514693668685,0.03317267689000928,ABBE,ABBE_15_B
400,15,C,0.09977009568889568,0.02752520994772268,ABBE,ABBE_15_C
400,16,A,0.051163631091056455,0.10286095038612841,ABBE,ABBE_16_A
400,16,B,0.12586825748495903,0.04351109722045163,ABBE,ABBE_16_B
400,16,C,0.08341935238898261,0.027316827208877608,ABBE,ABBE_16_C
400,17,A,0.04589526804588618,0.1873442155684135,ABBE,ABBE_17_A
400,17,B,0.08086813831027796,0.02414025270947822,ABBE,ABBE_17_B
400,17,C,0.1072018545993447,0.020390345808881882,ABBE,ABBE_17_C
400,18,A,0.026257565408421692,0.2092591983353142,ABBE,ABBE_18_A
400,18,B,0.09247794270366941,0.02701308326490812,ABBE,ABBE_18_B
400,18,C,0.10315488557801869,0.024888566296599406,ABBE,ABBE_18_C
400,19,A,0.061491918951953536,0.2478223421205463,ABBE,ABBE_19_A
400,19,B,0.11989971364983495,0.04527989450409661,ABBE,ABBE_19_B
400,19,C,0.1017344205263915,0.02336242147093858,ABBE,ABBE_19_C
401,1,A,0.049648674615568454,0.2377225359407193,ABBE,ABBE_1_A
401,1,B,0.08017413291424742,0.024647518228262316,ABBE,ABBE_1_B
401,1,C,0.08438249614250411,0.02177385630272046,ABBE,ABBE_1_C
401,2,A,0.0359785679989466,0.28322959975941653,ABBE,ABBE_2_A
401,2,B,0.07460828557538844,0.04453054620408253,ABBE,ABBE_2_B
401,2,C,0.08845736605698126,0.01792443024837773,ABBE,ABBE_2_C
401,3,A,0.041325918517239435,0.2966943469283598,ABBE,ABBE_3_A
401,3,B,0.06444360837007787,0.0218429110614155,ABBE,ABBE_3_B
401,3,C,0.06004034665230763,0.016229840653263335,ABBE,ABBE_3_C
401,4,A,0.02216926989121332,0.2651352362986914,ABBE,ABBE_4_A
401,4,B,0.09151612479008946,0.02613068856857862,ABBE,ABBE_4_B
401,4,C,0.057018844603954594,0.02105773452079742,ABBE,ABBE_4_C
401,5,A,0.024050525612622536,0.215966541684054,ABBE,ABBE_5_A
401,5,B,0.07907568719131469,0.04548248688436053,ABBE,ABBE_5_B
401,5,C,0.06016529751840179,0.01978132955231196,ABBE,ABBE_5_C
401,6,A,0.029993204470056305,0.2671791773752145,ABBE,ABBE_6_A
401,6,B,0.08147571646715243,0.04435148251658058,ABBE,ABBE_6_B
401,6,C,0.06010766458139575,0.016794378818538694,ABBE,ABBE_6_C
401,7,A,0.029723959711609328,0.3648378753384315,ABBE,ABBE_7_A
401,7,B,0.05669309583784016,0.0418595719624383,ABBE,ABBE_7_B
401,7,C,0.05633726812830341,0.014947496443657768,ABBE,ABBE_7_C
401,8,A,0.03995933454353547,0.2137176303048447,ABBE,ABBE_8_A
401,8,B,0.09632903163917102,0.0293748439010088,ABBE,ABBE_8_B
401,8,C,0.07949443891049912,0.02090541957968347,ABBE,ABBE_8_C
401,9,A,0.03679742998781705,0.03742566253010342,ABBE,ABBE_9_A
401,9,B,0.07803741841206494,0.04250455581900474,ABBE,ABBE_9_B
401,9,C,0.0917990930634896,0.0233214718414595,ABBE,ABBE_9_C
401,10,A,0.037929844852008975,0.3829405049817601,ABBE,ABBE_10_A
401,10,B,0.10936021792662161,0.03704213825090679,ABBE,ABBE_10_B
401,10,C,0.04103241345464812,0.011407863865501898,ABBE,ABBE_10_C
401,11,A,0.031186418951725466,0.13012948210482275,ABBE,ABBE_11_A
401,11,B,0.056035947798100866,0.02320785061301612,ABBE,ABBE_11_B
401,11,C,0.06750834537091738,0.033334323206853346,ABBE,ABBE_11_C
401,12,A,0.043165153187491874,0.2392756696549767,ABBE,ABBE_12_A
401,12,B,0.0677455106415959,0.02800620340438188,ABBE,ABBE_12_B
401,12,C,0.08111240570639688,0.02228412132805866,ABBE,ABBE_12_C
401,13,A,0.035386676749086576,0.2751381150577269,ABBE,ABBE_13_A
401,13,B,0.08715486272282838,0.02865699353398363,ABBE,ABBE_13_B
401,13,C,0.059333940428034554,0.012522867740413514,ABBE,ABBE_13_C
401,14,A,0.04456042682265639,0.08262076106056229,ABBE,ABBE_14_A
401,14,B,0.06459841842223099,0.02348861272402629,ABBE,ABBE_14_B
401,14,C,0.1043035119801169,0.02295257405158852,ABBE,ABBE_14_C
401,15,A,0.04128426297364863,0.1422167463995011,ABBE,ABBE_15_A
401,15,B,0.06364276633608557,0.02995458475064385,ABBE,ABBE_15_B
401,15,C,0.06186931475174879,0.02089569074814713,ABBE,ABBE_15_C
401,16,A,0.04340532237190706,0.10040692666211765,ABBE,ABBE_16_A
401,16,B,0.08902922624161327,0.03859919452366512,ABBE,ABBE_16_B
401,16,C,0.059921726494280785,0.02324778536114463,ABBE,ABBE_16_C
401,17,A,0.03158712681888418,0.1818775359506918,ABBE,ABBE_17_A
401,17,B,0.06673471959863227,0.021697998010354214,ABBE,ABBE_17_B
401,17,C,0.08228162178260415,0.015772053698717814,ABBE,ABBE_17_C
401,18,A,0.020567045802618783,0.2069985313675037,ABBE,ABBE_18_A
401,18,B,0.0548506732546258,0.02101822083827071,ABBE,ABBE_18_B
401,18,C,0.07594701245524563,0.020061626275025432,ABBE,ABBE_18_C
401,19,A,0.05014658590415299,0.2436707745679035,ABBE,ABBE_19_A
401,19,B,0.08603770812801782,0.04103397312404747,ABBE,ABBE_19_B
401,19,C,0.06675098160338513,0.017374252636258487,ABBE,ABBE_19_C
