Wavelength,Sample,Letter,mean_STD,mean_RAW,dataset_Name,ID
400,1,Field,0,0.029747680027527673,ETEL,ETEL_1_Field
400,2,Field,0,0.020870099410289653,ETEL,ETEL_2_Field
400,3,Field,0,0.026992180818398666,ETEL,ETEL_3_Field
400,4,Field,0.0056728878553833646,0.028174537254727912,ETEL,ETEL_4_Field
400,5,Field,0,0.02823554222638477,ETEL,ETEL_5_Field
400,6,Field,0.004829791845455108,0.030158594560013737,ETEL,ETEL_6_Field
400,7,Field,0.005076865477103378,0.01988848276079342,ETEL,ETEL_7_Field
400,8,Field,0.004717814012122193,0.02439336909657138,ETEL,ETEL_8_Field
400,9,Field,0.002413341804773553,0.029869042073609794,ETEL,ETEL_9_Field
401,1,Field,0.0016139713865031774,0.02998501341548222,ETEL,ETEL_1_Field
401,2,Field,6.208878951784117e-4,0.020966802368199918,ETEL,ETEL_2_Field
401,3,Field,5.842924689347108e-4,0.027089048234047758,ETEL,ETEL_3_Field
401,4,Field,0.006178967999920762,0.028263034078689183,ETEL,ETEL_4_Field
401,5,Field,0.0020440548570860207,0.028667747306479027,ETEL,ETEL_5_Field
401,6,Field,0.005258451202641674,0.030273718528926206,ETEL,ETEL_6_Field
401,7,Field,0.0054816813730602125,0.019999870942234193,ETEL,ETEL_7_Field
401,8,Field,0.0052156105950323575,0.02451124351610223,ETEL,ETEL_8_Field
401,9,Field,0.0030598068811148052,0.03002914166085511,ETEL,ETEL_9_Field
402,1,Field,0.0068190911884340325,0.030750422720524515,ETEL,ETEL_1_Field
402,2,Field,0.004272334788494434,0.021535513270728376,ETEL,ETEL_2_Field
402,3,Field,0.004296775327775367,0.027704525309823026,ETEL,ETEL_3_Field
402,4,Field,0.0035861430347253003,0.027809634005629538,ETEL,ETEL_4_Field
402,5,Field,0.010214665097552363,0.030395381592397356,ETEL,ETEL_5_Field
402,6,Field,0.005669263602540181,0.030384049385262065,ETEL,ETEL_6_Field
402,7,Field,0.006366956234716489,0.020243461072710786,ETEL,ETEL_7_Field
402,8,Field,0.005768301435551175,0.024642116475545442,ETEL,ETEL_8_Field
402,9,Field,0.004230972101715655,0.030319185276939463,ETEL,ETEL_9_Field
403,1,Field,0.006872326463985968,0.030758250931365853,ETEL,ETEL_1_Field
403,2,Field,0.004533976179743566,0.021576263777610585,ETEL,ETEL_2_Field
403,3,Field,0.004024465397299094,0.0276593801802462,ETEL,ETEL_3_Field
403,4,Field,0.005655591429107947,0.028171512676886286,ETEL,ETEL_4_Field
403,5,Field,0.012074907384754252,0.030788720432569677,ETEL,ETEL_5_Field
403,6,Field,0.0046015749157453925,0.03009730291134044,ETEL,ETEL_6_Field
403,7,Field,0.006166904163242343,0.02018841521937962,ETEL,ETEL_7_Field
403,8,Field,0.005736995925723562,0.02463470357050404,ETEL,ETEL_8_Field
403,9,Field,0.0044698263182836595,0.03037833845146324,ETEL,ETEL_9_Field
404,1,Field,0.006085745624214424,0.030642584757129904,ETEL,ETEL_1_Field
404,2,Field,0.003997627426140173,0.021492727745828184,ETEL,ETEL_2_Field
404,3,Field,0.002995501606693398,0.027488792557622564,ETEL,ETEL_3_Field
404,4,Field,0.00565843527001034,0.02817200997141647,ETEL,ETEL_4_Field
404,5,Field,0.011538466537676081,0.030675292723683342,ETEL,ETEL_5_Field
404,6,Field,0.004109428618880944,0.02996512841420016,ETEL,ETEL_6_Field
404,7,Field,0.006266209789772271,0.02021573991995705,ETEL,ETEL_7_Field
404,8,Field,0.006244795376661563,0.024754946592598474,ETEL,ETEL_8_Field
404,9,Field,0.004892775469719935,0.03048308345169425,ETEL,ETEL_9_Field
