Sample,Letter,mean_STD,Wavelength,mean_RAW,dataset_Name,ID
1,A,0,400,0.2414633146450537,BER,BER_1_A
1,A,0.017658695763022876,401,0.2470930550600151,BER,BER_1_A
1,A,0.06310511055183586,402,0.2615817535168644,BER,BER_1_A
1,A,0.057653551185560356,403,0.25984375063710763,BER,BER_1_A
1,A,0.039059468377124755,404,0.2539158009815624,BER,BER_1_A
1,A,0.03438389116612371,405,0.2524251877255617,BER,BER_1_A
1,A,0.031043408675740753,406,0.2513602138716625,BER,BER_1_A
1,A,0.03201804519135764,407,0.25167093617275993,BER,BER_1_A
1,A,0.04826173531449879,408,0.2568495609138831,BER,BER_1_A
1,A,0.050000530958711924,409,0.25740390355860343,BER,BER_1_A
1,A,0.032716927013245675,410,0.2518937455631456,BER,BER_1_A
1,A,0.020849664906981983,411,0.2481103628042404,BER,BER_1_A
1,A,0.015554459541124086,412,0.2464222068920629,BER,BER_1_A
1,A,0.016845557481853245,413,0.2468338197514801,BER,BER_1_A
1,A,0.029951642343519585,414,0.2510121496019858,BER,BER_1_A
1,A,0.046066747593355065,415,0.2561497804063134,BER,BER_1_A
1,A,0.04428810691817529,416,0.25558273483131,BER,BER_1_A
1,A,0.03745497492378968,417,0.253404275002464,BER,BER_1_A
1,A,0.03190146246689658,418,0.2516337686217475,BER,BER_1_A
1,A,0.031203304052967305,419,0.2514111898598905,BER,BER_1_A
1,A,0.030340545462641595,420,0.2511361351803438,BER,BER_1_A
1,A,0.02257448173399047,421,0.2486602488847146,BER,BER_1_A
1,A,0.02003788432960053,422,0.247851560343068,BER,BER_1_A
1,A,0.02401610882032536,423,0.2491198516991103,BER,BER_1_A
1,A,0.0285826771217,424,0.2505757119998333,BER,BER_1_A
1,A,0.03656004964097575,425,0.2531189653113837,BER,BER_1_A
1,A,0.046787057185337065,426,0.2563794211496438,BER,BER_1_A
1,A,0.03511336018211702,427,0.25265774857014,BER,BER_1_A
1,A,0.017773804529967907,428,0.2471297527010008,BER,BER_1_A
1,A,0.029101957604291295,429,0.250741262975895,BER,BER_1_A
1,A,0.03960000696839512,430,0.2540881292210858,BER,BER_1_A
1,A,0.0410296951831072,431,0.2545439258230077,BER,BER_1_A
1,A,0.03796057653644277,432,0.2535654650399855,BER,BER_1_A
1,A,0.036245504697112615,433,0.2530186857433708,BER,BER_1_A
1,A,0.040153056787004794,434,0.2542644461448891,BER,BER_1_A
1,A,0.03527589328717705,435,0.2527095654881392,BER,BER_1_A
1,A,0.025861947054770268,436,0.2497083204199824,BER,BER_1_A
1,A,0.029369336618031042,437,0.2508265056495309,BER,BER_1_A
1,A,0.03328122611477244,438,0.2520736488527557,BER,BER_1_A
1,A,0.03353924797525816,439,0.2521559083874016,BER,BER_1_A
1,A,0.03765584633889163,440,0.2534683144954699,BER,BER_1_A
1,A,0.04156841873445361,441,0.2547156754125701,BER,BER_1_A
1,A,0.0396544931390117,442,0.2541054998695693,BER,BER_1_A
1,A,0.03906000773247663,443,0.2539159729325753,BER,BER_1_A
1,A,0.04044128695976599,444,0.2543563363430204,BER,BER_1_A
1,A,0.038751095900362395,445,0.2538174892478654,BER,BER_1_A
1,A,0.041939744761186865,446,0.2548340572663537,BER,BER_1_A
1,A,0.05242050892614202,447,0.2581754128449849,BER,BER_1_A
1,A,0.04529067104142382,448,0.2559023606881109,BER,BER_1_A
1,A,0.03294090307348264,449,0.251965151010933,BER,BER_1_A
1,A,0.04435162662697848,450,0.255602985447584,BER,BER_1_A
1,A,0.05427699808978413,451,0.2587672771714761,BER,BER_1_A
1,A,0.05562090711618248,452,0.2591957266482369,BER,BER_1_A
1,A,0.05347868017981891,453,0.2585127667216653,BER,BER_1_A
1,A,0.05238754526777631,454,0.2581649037540409,BER,BER_1_A
1,A,0.05629350169446546,455,0.259410155444738,BER,BER_1_A
1,A,0.06209101611271031,456,0.2612584516985904,BER,BER_1_A
1,A,0.0664732337164332,457,0.2626555394496855,BER,BER_1_A
1,A,0.06310761764260087,458,0.2615825527984418,BER,BER_1_A
1,A,0.05751764563917385,459,0.259800422808293,BER,BER_1_A
1,A,0.05356695294350058,460,0.2585409088195817,BER,BER_1_A
1,A,0.058474156337856326,461,0.2601053664468256,BER,BER_1_A
1,A,0.06469499896934106,462,0.2620886232879633,BER,BER_1_A
1,A,0.061520145352230965,463,0.2610764533089517,BER,BER_1_A
1,A,0.05909508616215036,464,0.2603033240861436,BER,BER_1_A
1,A,0.05974102500277436,465,0.260509254809763,BER,BER_1_A
1,A,0.062344014547415366,466,0.2613391097229369,BER,BER_1_A
1,A,0.06402986005157124,467,0.2618765714186076,BER,BER_1_A
1,A,0.06338498073500702,468,0.2616709784801508,BER,BER_1_A
1,A,0.06689293169245067,469,0.2627893426868765,BER,BER_1_A
1,A,0.07171804027955055,470,0.2643276278005628,BER,BER_1_A
1,A,0.07059759630419207,471,0.2639704208575685,BER,BER_1_A
1,A,0.06873889767746591,472,0.2633778521357026,BER,BER_1_A
1,A,0.06735712805663803,473,0.2629373323836816,BER,BER_1_A
1,A,0.06317265609358155,474,0.2616032876024684,BER,BER_1_A
1,A,0.061676750244159355,475,0.2611263802628503,BER,BER_1_A
1,A,0.06792041366742493,476,0.2631169125639378,BER,BER_1_A
1,A,0.07173595629579199,477,0.2643333395769059,BER,BER_1_A
1,A,0.07085661122767505,478,0.2640529969890325,BER,BER_1_A
1,A,0.06485349477495445,479,0.2621391530810147,BER,BER_1_A
1,A,0.060407105510215504,480,0.2607216068658085,BER,BER_1_A
