Wavelength,Sample,Letter,mean_STD,mean_RAW,dataset_Name,ID
400,1,A,0.056468729082100586,0.0657876754855306,AULNE,AULNE_1_A
400,1,B,0.10973819557354335,0.03324077699373301,AULNE,AULNE_1_B
400,1,C,0.11025359474039265,0.018552931844198643,AULNE,AULNE_1_C
400,2,A,0.08190753796816201,0.09857213977273942,AULNE,AULNE_2_A
400,2,B,0.14701526012810862,0.03399226570997972,AULNE,AULNE_2_B
400,2,C,0.10100851450104027,0.0212199206033081,AULNE,AULNE_2_C
400,3,A,0.03718335807854912,0.05323737964226477,AULNE,AULNE_3_A
400,3,B,0.10043876961797588,0.03494703004303689,AULNE,AULNE_3_B
400,3,C,0.07185022631086087,0.02703210587612877,AULNE,AULNE_3_C
400,4,A,0.05806673162637478,0.17688624821339338,AULNE,AULNE_4_A
400,4,B,0.09500790122661458,0.03645631813504858,AULNE,AULNE_4_B
400,4,C,0.0701613301717755,0.02618344657461245,AULNE,AULNE_4_C
400,5,A,0.054989552635080916,0.06250040996668017,AULNE,AULNE_5_A
400,5,B,0.09274518595284108,0.02747170325152774,AULNE,AULNE_5_B
400,5,C,0.06866885679842216,0.02218350628837995,AULNE,AULNE_5_C
400,6,A,0.04722388852490001,0.06741254590778611,AULNE,AULNE_6_A
400,6,B,0.08956554806913128,0.03373524770243362,AULNE,AULNE_6_B
400,6,C,0.09895806667605997,0.0256946984352957,AULNE,AULNE_6_C
400,7,A,0.04275022806845346,0.03235445730476935,AULNE,AULNE_7_A
400,7,B,0.09633433597349347,0.0460135518585797,AULNE,AULNE_7_B
400,7,C,0.09841144124136163,0.03122656828371097,AULNE,AULNE_7_C
400,8,A,0.045745790895474016,0.1549124639144499,AULNE,AULNE_8_A
400,8,B,0.0992437932717966,0.0400851961653809,AULNE,AULNE_8_B
400,8,C,0.06282411234292401,0.020287548933057467,AULNE,AULNE_8_C
400,9,A,0.032855095348502186,0.3024643012324333,AULNE,AULNE_9_A
400,9,B,0.09089738097458039,0.02340259451795946,AULNE,AULNE_9_B
400,9,C,0.07969641451883488,0.025423656739931386,AULNE,AULNE_9_C
400,10,A,0.043179686026306556,0.2721129241628367,AULNE,AULNE_10_A
400,10,B,0.09542497230880824,0.03575368613765245,AULNE,AULNE_10_B
400,10,C,0.08963284588518561,0.0291989013571537,AULNE,AULNE_10_C
400,11,A,0.05589379387864898,0.1725508703620894,AULNE,AULNE_11_A
400,11,B,0.09371364650827253,0.03229865659856357,AULNE,AULNE_11_B
400,11,C,0.07531993834181198,0.02732226050085828,AULNE,AULNE_11_C
400,12,A,0.04422291886998129,0.197808730921847,AULNE,AULNE_12_A
400,12,B,0.12751601126801165,0.03585443050143053,AULNE,AULNE_12_B
400,12,C,0.07499843395608766,0.02356925021448326,AULNE,AULNE_12_C
400,13,A,0.061340377661146965,0.08027778663682789,AULNE,AULNE_13_A
400,13,B,0.12081371323704626,0.03694909242990022,AULNE,AULNE_13_B
400,13,C,0.06439823491685745,0.02317828336942171,AULNE,AULNE_13_C
400,14,A,0.045626939809450616,0.2107001868995684,AULNE,AULNE_14_A
400,14,B,0.08999426419655826,0.02476897670733312,AULNE,AULNE_14_B
400,14,C,0.06071760410682811,0.0230936662466346,AULNE,AULNE_14_C
400,15,A,0.06308573719136426,0.03621155954491776,AULNE,AULNE_15_A
400,15,B,0.10756043409077728,0.04057631928408622,AULNE,AULNE_15_B
400,15,C,0.08910416946295104,0.0244432878671803,AULNE,AULNE_15_C
400,16,A,0.04488220723746343,0.07986191643646329,AULNE,AULNE_16_A
400,16,B,0.09414198279271074,0.03433573296726984,AULNE,AULNE_16_B
400,16,C,0.09243026981845115,0.02782010141840554,AULNE,AULNE_16_C
401,1,A,0.052061950362174154,0.06413856724732538,AULNE,AULNE_1_A
401,1,B,0.09935841580273708,0.03137952750207031,AULNE,AULNE_1_B
401,1,C,0.12722620903822338,0.02073126682973331,AULNE,AULNE_1_C
401,2,A,0.07945597193514788,0.09793743464564832,AULNE,AULNE_2_A
401,2,B,0.12939029333624896,0.03184137036999092,AULNE,AULNE_2_B
401,2,C,0.09691014470401797,0.02058205672774073,AULNE,AULNE_2_C
401,3,A,0.03812662141419783,0.053650394082517,AULNE,AULNE_3_A
401,3,B,0.09507109906730173,0.03418448123385964,AULNE,AULNE_3_B
401,3,C,0.06889705073215834,0.02629555022560262,AULNE,AULNE_3_C
