Wavelength	SCORFF200466.asd
325	 0,485240175922646 
326	 0,412651214801261 
327	 0,256740277494811 
328	 0,107020807320643 
329	 0,188091690098869 
330	 0,231795328926907 
331	 5,19959289833767E-02 
332	 3,20500562036204E-02 
333	 0,111577644041457 
334	 1,55872289783927E-02 
335	 2,91050313934423E-02 
336	 0,172656995402897 
337	 0,228179046388211 
338	 0,209940181640318 
339	 0,109211195120402 
340	 0,05278926941613 
341	 4,49007612769139E-02 
342	 2,61641638856573E-02 
343	 5,94685816170931E-02 
344	 0,125182784768757 
345	 0,114604151526163 
346	 8,06343811825308E-02 
347	 7,61575501320391E-02 
348	 7,08552849622204E-02 
349	 0,067549833314174 
350	 8,65484123143357E-02 
351	 9,84858400090263E-02 
352	 9,24083060023883E-02 
353	 0,10020902922937 
354	 9,77907406571221E-02 
355	 5,33807884978716E-02 
356	 5,76396585179497E-02 
357	 0,098872777822665 
358	 9,33532496448902E-02 
359	 6,90414211880939E-02 
360	 3,71836660378966E-02 
361	 1,23619388062428E-03 
362	-3,78833827446832E-03 
363	 6,55732231779086E-02 
364	 7,87947776315423E-02 
365	 3,91867223445316E-02 
366	 6,16093693624657E-02 
367	 8,06267297470556E-02 
368	 5,87602904885278E-02 
369	 3,09030637666128E-02 
370	 1,33167289760675E-02 
371	 3,08634976783091E-02 
372	 3,71277007540031E-02 
373	 2,70721687726415E-02 
374	 4,20365005259176E-02 
375	 4,78433135926288E-02 
376	 2,35294438222607E-02 
377	 2,60606009610807E-02 
378	 0,049316010637322 
379	 6,54051204528047E-02 
380	 5,99089166008451E-02 
381	 3,70526366963219E-02 
382	 5,43110379247473E-02 
383	 7,04152914156966E-02 
384	 4,86610603577702E-02 
385	 4,21883591031235E-02 
386	 5,12053993612979E-02 
387	 4,82281111499347E-02 
388	 5,62363897670174E-02 
389	 7,50572753976955E-02 
390	 5,86300017995001E-02 
391	 3,77139371621319E-02 
392	 5,38191894106919E-02 
393	 4,66094263011505E-02 
394	 2,23797906945886E-02 
395	 4,29204069484781E-02 
396	 5,10202139776002E-02 
397	 2,56230746618811E-02 
398	 3,13125270937977E-02 
399	 4,88515859843386E-02 
400	 4,01638972612496E-02 
401	 3,34968729842045E-02 
402	 0,034427757263468 
403	 3,41712949369931E-02 
404	 3,92768169506967E-02 
405	 5,14262903500191E-02 
406	 4,35307090697159E-02 
407	 2,83112126920198E-02 
408	 0,03981542900199 
409	 4,44191506542051E-02 
410	 3,69652006508728E-02 
411	 4,26027495929923E-02 
412	 4,61566210265024E-02 
413	 3,39687791925063E-02 
414	 0,036090763051887 
415	 4,77652656434988E-02 
416	 4,36649188669294E-02 
417	 3,93742045931794E-02 
418	 4,01364389732001E-02 
419	 3,69369766983229E-02 
420	 3,29114679096806E-02 
421	 3,28754969553091E-02 
422	 0,036381068547944 
423	 4,15535311770014E-02 
424	 4,34815056990489E-02 
425	 0,0444119920416 
426	 4,54470148783792E-02 
427	 0,044061752625239 
428	 4,08131548029202E-02 
429	 3,65139315876989E-02 
430	 3,73115949328136E-02 
431	 0,043150166577322 
432	 4,56026688147771E-02 
433	 4,51923428131461E-02 
434	 4,29868779169432E-02 
435	 4,29223389273559E-02 
436	 4,44314181434236E-02 
437	 0,043824827855085 
438	 4,42227678230178E-02 
439	 4,62659701919305E-02 
440	 4,62578838991698E-02 
441	 4,49704574794372E-02 
442	 4,38006024619667E-02 
443	 4,30820495986373E-02 
444	 4,30775149627696E-02 
445	 4,42541001252513E-02 
446	 0,044777204267511 
447	 4,37320534565935E-02 
448	 0,043841599775614 
449	 4,47342932218718E-02 
450	 4,50320128048748E-02 
451	 4,50712996018904E-02 
452	 4,49880341684116E-02 
453	 4,51805796907398E-02 
454	 4,51108077262459E-02 
455	 4,42641171183728E-02 
456	 4,24200934008986E-02 
457	 4,09287343338929E-02 
458	 0,043275944463326 
459	 4,59738227725593E-02 
460	 4,73747645645632E-02 
461	 4,77816666992447E-02 
462	 4,73801121522099E-02 
463	 4,64265946751912E-02 
464	 4,49989331487711E-02 
465	 4,38196872309548E-02 
466	 4,48385702261854E-02 
467	 4,68044821476237E-02 
468	 4,85682631889879E-02 
469	 4,85276230913553E-02 
470	 4,73046466842358E-02 
471	 4,64707751527497E-02 
472	 4,64403905004722E-02 
473	 4,72662663796375E-02 
474	 4,81983811839538E-02 
475	 4,85231330086504E-02 
476	 4,77206651764879E-02 
477	 4,89765332935935E-02 
478	 0,051124577711403 
479	 4,91797425131413E-02 
480	 4,67830421382932E-02 
481	 4,58954316170444E-02 
482	 4,69906310942209E-02 
483	 0,049063347457779 
484	 5,07008962125529E-02 
485	 5,01394624110189E-02 
486	 4,79004237597909E-02 
487	 4,74897183405919E-02 
488	 4,92143541537034E-02 
489	 5,27422475012607E-02 
490	 5,28365971176033E-02 
491	 5,03407699698272E-02 
492	 4,90856571150616E-02 
493	 4,82647825688449E-02 
494	 0,047790165618668 
495	 4,76298485942185E-02 
496	 4,79424963672564E-02 
497	 4,88970047411846E-02 
498	 4,97957859657872E-02 
499	 5,02915478100551E-02 
500	 5,00026362466665E-02 
501	 4,95466424472739E-02 
502	 4,92504042988378E-02 
503	 4,81970465577078E-02 
504	 4,79621215253195E-02 
505	 5,15806380080464E-02 
506	 5,38684494775557E-02 
507	 0,053489184627676 
508	 5,21080635633824E-02 
509	 5,16250866193717E-02 
510	 5,34937559646101E-02 
511	 5,40868520348068E-02 
512	 5,35382049196843E-02 
513	 5,40714900331869E-02 
514	 5,47666559501961E-02 
515	 0,055097985105884 
516	 5,42594512725998E-02 
517	 0,053138874972752 
518	 5,30422117848061E-02 
519	 5,32084184145225E-02 
520	 5,35813572691274E-02 
