Wavelength	BEL100049.asd
325	 1,48764079718399E-02 
326	 0,014054331493521 
327	 1,57902114299473E-02 
328	 1,82350765640546E-02 
329	 1,66322370186916E-02 
330	 1,48649450591373E-02 
331	 0,015880574327363 
332	 0,016163463595034 
333	 0,015653247233542 
334	 1,51783786375906E-02 
335	 1,59143595392918E-02 
336	 1,75258461228182E-02 
337	 1,68363531630569E-02 
338	 0,01574277535108 
339	 1,59450463155203E-02 
340	 1,51437403764734E-02 
341	 1,36055941814377E-02 
342	 1,24005864877645E-02 
343	 1,31492175955311E-02 
344	 1,56011449969457E-02 
345	 1,57570913081772E-02 
346	 1,49417252351248E-02 
347	 1,47367408736455E-02 
348	 1,55792464220157E-02 
349	 1,66911356507197E-02 
350	 1,59200737548002E-02 
351	 1,54096702083971E-02 
352	 0,015769176273327 
353	 1,50298722922194E-02 
354	 1,42263375689073E-02 
355	 1,47508594229313E-02 
356	 1,50079368875708E-02 
357	 1,48731642555806E-02 
358	 1,50537834212582E-02 
359	 1,56862111606797E-02 
360	 1,65504817347097E-02 
361	 1,56521145328643E-02 
362	 1,46190926159178E-02 
363	 1,59378114782965E-02 
364	 1,60062370099499E-02 
365	 1,47622942165834E-02 
366	 1,50720413331795E-02 
367	 1,55299774165595E-02 
368	 1,53356478398719E-02 
369	 0,015856050393392 
370	 1,67312867381821E-02 
371	 1,69596769243976E-02 
372	 1,69004695854828E-02 
373	 1,67118942383559E-02 
374	 0,01659152393764 
375	 1,67076609502537E-02 
376	 1,71003676044023E-02 
377	 1,66105911434967E-02 
378	 1,57067927308964E-02 
379	 1,59233721469923E-02 
380	 1,62954312501305E-02 
381	 1,65496495639433E-02 
382	 1,70698790591198E-02 
383	 1,76251433878859E-02 
384	 0,017900990985033 
385	 1,72849248987699E-02 
386	 1,62852358497543E-02 
387	 1,63804728671037E-02 
388	 1,65020086084728E-02 
389	 1,62615115903242E-02 
390	 1,59564473046157E-02 
391	 1,58631219803946E-02 
392	 1,62752420040604E-02 
393	 1,67490954986253E-02 
394	 1,69835037594711E-02 
395	 1,65197049059013E-02 
396	 1,61565795464567E-02 
397	 1,62150188572449E-02 
398	 1,60524140923733E-02 
399	 1,59424006106261E-02 
400	 1,63439237657331E-02 
401	 1,62269181571461E-02 
402	 1,57334109049615E-02 
403	 1,62410706699939E-02 
404	 1,68155861050171E-02 
405	 1,67954251446844E-02 
406	 1,67012513669005E-02 
407	 1,66727498361138E-02 
408	 0,016840108672188 
409	 1,69160684153014E-02 
410	 1,68531265406623E-02 
411	 1,69131166160408E-02 
412	 1,69272335827001E-02 
413	 0,016739274706756 
414	 1,67086547299413E-02 
415	 1,68232839278416E-02 
416	 1,68780448682636E-02 
417	 1,68433005189502E-02 
418	 0,016734208686117 
419	 1,67586019316434E-02 
420	 1,68848903180992E-02 
421	 1,70462405486742E-02 
422	 1,69158062630395E-02 
423	 1,66519809502598E-02 
424	 1,71391571491049E-02 
425	 1,74845582756856E-02 
426	 1,71322859115069E-02 
427	 1,68891437128289E-02 
428	 1,68875856747817E-02 
429	 1,71397712768491E-02 
430	 1,72956691076172E-02 
431	 1,72601624650443E-02 
432	 1,72324096193444E-02 
433	 1,72045960470212E-02 
434	 1,71662685806258E-02 
435	 1,71475597512441E-02 
436	 1,72130918809437E-02 
437	 1,75133417149816E-02 
438	 1,78526581985977E-02 
439	 0,018115483455397 
440	 1,81978451949213E-02 
441	 0,01826237076093 
442	 1,85323218432541E-02 
443	 1,87365734101708E-02 
444	 1,88454367375742E-02 
445	 1,90018767592097E-02 
446	 1,91624553198481E-02 
447	 1,93096478449883E-02 
448	 1,95504188121838E-02 
449	 1,97793248306353E-02 
450	 1,97795522857343E-02 
451	 1,97216439047614E-02 
452	 1,96614743456028E-02 
453	 0,019553642492459 
454	 0,019540562668421 
455	 1,97250916020165E-02 
456	 0,019499306630663 
457	 1,90855043725657E-02 
458	 1,94413533702568E-02 
459	 1,96528790003814E-02 
460	 1,93622233879465E-02 
461	 1,90548878370418E-02 
462	 1,87911267976438E-02 
463	 0,018581548026659 
464	 1,85328213703582E-02 
465	 1,86371376642949E-02 
466	 1,87826882861798E-02 
467	 1,88466129693105E-02 
468	 1,87666313034945E-02 
469	 0,018884455026066 
470	 0,01902403282249 
471	 1,86778712735947E-02 
472	 1,86424436915465E-02 
473	 1,90516960527662E-02 
474	 1,91664476391607E-02 
475	 1,91089506398692E-02 
476	 1,90486452182375E-02 
477	 1,89280793974421E-02 
478	 1,88548744531203E-02 
479	 1,91594219705615E-02 
480	 1,93507173856707E-02 
481	 1,92215545157493E-02 
482	 1,91918264210532E-02 
483	 1,92482315651358E-02 
484	 1,92883251067032E-02 
485	 1,94014560739973E-02 
486	 1,95097740771903E-02 
487	 1,92281483368787E-02 
488	 1,89590381711077E-02 
489	 1,90014397591568E-02 
490	 1,90010516368621E-02 
491	 1,89616017406845E-02 
492	 1,90141045643141E-02 
493	 1,91625412280341E-02 
494	 1,93718829922923E-02 
495	 1,94457048153215E-02 
496	 1,94754219585832E-02 
497	 1,95850203093205E-02 
498	 1,95463974505632E-02 
499	 1,93934819846171E-02 
500	 1,94103758402244E-02 
501	 1,94491812459945E-02 
502	 1,94272950424733E-02 
503	 1,93674656541379E-02 
504	 1,95021128343741E-02 
505	 2,02837814965368E-02 
506	 2,07085668604366E-02 
507	 2,06453394667858E-02 
508	 2,11537907870077E-02 
509	 2,17541207656011E-02 
510	 0,021961295204514 
511	 2,23459758363932E-02 
512	 2,27922677381948E-02 
513	 2,26454812023884E-02 
514	 0,022615096111589 
515	 2,29846767942464E-02 
516	 2,31891166990471E-02 
517	 2,33662596186534E-02 
518	 2,38040681176946E-02 
519	 2,42268183380121E-02 
520	 2,46586847756154E-02 
521	 2,55155660842112E-02 
522	 2,63153301220638E-02 
523	 2,66862755025464E-02 
524	 2,69363126024258E-02 
525	 2,71607321963097E-02 
526	 2,74013862448761E-02 
527	 2,78919510666271E-02 
528	 2,86122666152521E-02 
529	 2,88911760997908E-02 
530	 0,02909053006427 
531	 2,97029132146608E-02 
532	 2,98590887570264E-02 
533	 0,029639188852002 
534	 2,99866689963064E-02 
535	 3,04511297553049E-02 
536	 0,030740407701757 
537	 3,09049481085324E-02 
538	 3,09725125131783E-02 
539	 3,09876469809596E-02 
540	 3,10190749248681E-02 
541	 0,031086909039945 
542	 3,11043071243903E-02 
543	 3,11904220132221E-02 
544	 3,14672928494487E-02 
545	 3,19049552068455E-02 
546	 3,23715172362246E-02 
547	 3,25401722959267E-02 
548	 3,26832733589775E-02 
549	 3,29150113156154E-02 
550	 3,30277714458515E-02 
551	 3,30168257753083E-02 
552	 3,29059101074079E-02 
553	 3,28756355653766E-02 
554	 3,29028515752218E-02 
555	 3,26736946307238E-02 
556	 0,032264640672216 
557	 3,17753666217377E-02 
558	 3,15009015767216E-02 
559	 3,14004378743304E-02 
560	 3,12167683699193E-02 
561	 3,10138238761382E-02 
562	 3,08045199020921E-02 
563	 3,06019716668273E-02 
564	 3,03045761875474E-02 
565	 2,97781347937976E-02 
566	 2,93867199964956E-02 
567	 0,029149687794778 
568	 2,87096337994746E-02 
569	 2,84355301969046E-02 
570	 2,85510833408761E-02 
571	 2,85256423380429E-02 
572	 2,84552799178529E-02 
573	 2,87570458409552E-02 
574	 2,89920300295572E-02 
575	 2,90513752968511E-02 
576	 0,029259748259153 
577	 2,94618370044441E-02 
578	 2,94693688167765E-02 
579	 2,96496918274328E-02 
580	 3,00612200020997E-02 
581	 3,06142132140317E-02 
582	 3,11452116580645E-02 
583	 3,15245950827703E-02 
584	 3,17257632158198E-02 
585	 3,16276637878339E-02 
586	 3,10220043528659E-02 
587	 3,03092015346153E-02 
588	 2,97365434717753E-02 
589	 2,95780482606947E-02 
590	 2,97361411473754E-02 
591	 3,00660719562908E-02 
592	 3,01724397859979E-02 
593	 3,00747968486621E-02 
594	 3,00567668297228E-02 
595	 3,01480626959551E-02 
596	 0,030362853566732 
597	 3,06056710025602E-02 
