Wavelength	BEL100074.asd
325	 2,19477302293207E-02 
326	 2,21334384654676E-02 
327	 2,32819536900845E-02 
328	 2,41547915259505E-02 
329	 0,021298888316205 
330	 1,88483165603477E-02 
331	 1,99096129976195E-02 
332	 2,11286631862788E-02 
333	 2,17192489179056E-02 
334	 2,10103869710919E-02 
335	 2,17525689859174E-02 
336	 2,38304488322775E-02 
337	 0,022708003315075 
338	 2,13929603759688E-02 
339	 2,25087841437486E-02 
340	 0,021790303995801 
341	 2,00422360993529E-02 
342	 2,05998124905569E-02 
343	 2,17712753919109E-02 
344	 2,28427409077203E-02 
345	 0,023455006785286 
346	 2,33877623785388E-02 
347	 2,25513429347699E-02 
348	 2,26713369058754E-02 
349	 2,34631021109235E-02 
350	 2,34047618239146E-02 
351	 2,33085052281824E-02 
352	 2,34454247192075E-02 
353	 2,34264877359732E-02 
354	 2,35125988828613E-02 
355	 2,40360405193097E-02 
356	 2,44977733605219E-02 
357	 2,47143324367849E-02 
358	 2,45503355666028E-02 
359	 2,42470807790811E-02 
360	 2,39687608777289E-02 
361	 2,37060449935915E-02 
362	 2,37326888606472E-02 
363	 2,44200891291284E-02 
364	 2,43719582397547E-02 
365	 2,37206170092942E-02 
366	 2,41879938636173E-02 
367	 2,45089355367564E-02 
368	 2,40592857831218E-02 
369	 2,50000490208093E-02 
370	 2,65726241887208E-02 
371	 0,026804792767371 
372	 2,66498465092371E-02 
373	 2,63782416292918E-02 
374	 2,58465996371039E-02 
375	 2,56139582589054E-02 
376	 2,60896061944445E-02 
377	 2,64045897462072E-02 
378	 2,64728015884239E-02 
379	 2,64460789014923E-02 
380	 0,02663691473432 
381	 2,71386309245082E-02 
382	 2,77739873767657E-02 
383	 2,79746218642133E-02 
384	 2,72243978961223E-02 
385	 2,69638834308663E-02 
386	 2,71013169272257E-02 
387	 2,64792138116993E-02 
388	 2,63496245004859E-02 
389	 2,70379079105882E-02 
390	 2,73203730832393E-02 
391	 2,75052443396727E-02 
392	 2,80891792505338E-02 
393	 0,028288817506688 
394	 0,027877237875395 
395	 2,67046574164783E-02 
396	 2,59558083715972E-02 
397	 2,60991991209657E-02 
398	 2,62102788479741E-02 
399	 0,026413611908658 
400	 0,027036034948615 
401	 2,72884997494826E-02 
402	 0,027198054262818 
403	 2,75317383460207E-02 
404	 2,79791827765292E-02 
405	 2,82743215835463E-02 
406	 2,81597889033697E-02 
407	 2,78395277458495E-02 
408	 2,77855145870299E-02 
409	 2,78615014792899E-02 
410	 0,027995285364814 
411	 2,80337159642349E-02 
412	 0,027991882125991 
413	 2,79062874144066E-02 
414	 2,80215625036906E-02 
415	 2,82939336532926E-02 
416	 2,84890660572964E-02 
417	 2,86573753662974E-02 
418	 2,87835059396604E-02 
419	 2,86869471606071E-02 
420	 2,85520350526393E-02 
421	 2,86392782773265E-02 
422	 2,86312466451407E-02 
423	 2,86094011985108E-02 
424	 2,91695389628546E-02 
425	 2,95654767081201E-02 
426	 2,93549862402622E-02 
427	 2,94662779827013E-02 
428	 2,97913468197337E-02 
429	 2,98559371231011E-02 
430	 2,98319602986575E-02 
431	 2,97431713678239E-02 
432	 2,94687719893628E-02 
433	 2,92704910672274E-02 
434	 2,93634987564161E-02 
435	 2,95825966316306E-02 
436	 2,98695431965442E-02 
437	 0,030154939636356 
438	 3,05773748643052E-02 
439	 3,11267769286687E-02 
440	 3,13884434704619E-02 
441	 3,15992178587108E-02 
442	 3,21165290143849E-02 
443	 0,032625011557261 
444	 3,30621414776323E-02 
445	 3,35505998407109E-02 
446	 0,033817999642112 
447	 3,37518526970049E-02 
448	 3,39732197573232E-02 
449	 3,43907259764551E-02 
450	 3,46762935255355E-02 
451	 3,47589706623368E-02 
452	 3,46190060455918E-02 
453	 3,43372633472827E-02 
454	 3,41331253695987E-02 
