Wavelength	MORB100226.asd
325	 0,124646652089376 
326	 0,164028745421714 
327	 0,129035819534994 
328	-6,88996013112958E-03 
329	 6,24551108240678E-02 
330	 7,58685436268764E-02 
331	-0,149970415905247 
332	-0,127874736209738 
333	 8,01372013816759E-02 
334	 0,159444424915636 
335	 0,131264981879437 
336	 2,11513474056902E-02 
337	-2,72696508229503E-02 
338	 9,67490459985897E-04 
339	 7,91553411530393E-02 
340	 5,29067329624024E-02 
341	-1,64383789908685E-02 
342	 3,88688001911745E-02 
343	 7,18405873099109E-02 
344	 5,38940335161472E-02 
345	 6,81779028689176E-02 
346	 7,61308990137746E-02 
347	 4,16850742533728E-02 
348	-1,18634109608029E-02 
349	-4,46328791197418E-02 
350	 2,36476845935565E-02 
351	 5,36713995608178E-02 
352	 1,98043686593305E-02 
353	 4,27719982491454E-02 
354	 8,00916657500092E-02 
355	 7,85745881694709E-02 
356	 5,75014572078722E-02 
357	 3,39657083689043E-02 
358	 4,81733930438637E-02 
359	 4,52512447723286E-02 
360	 8,97931291545008E-03 
361	 2,66527920476652E-02 
362	 0,067959369623223 
363	 8,38335561338451E-02 
364	 5,61230729619259E-02 
365	-1,99316776453291E-03 
366	 1,34349740494736E-02 
367	 0,042979303777796 
368	 4,86062688825935E-02 
369	 3,25271034188543E-02 
370	 1,23730567249511E-02 
371	 2,06601254135287E-02 
372	 3,10915011230605E-02 
373	 3,49618552494442E-02 
374	 2,84206077558522E-02 
375	 2,55456417731031E-02 
376	 3,66316009264663E-02 
377	 5,27518647116807E-02 
378	 6,56069105166017E-02 
379	 6,56023152986047E-02 
380	 5,49952089463967E-02 
381	 3,91371016834459E-02 
382	 0,038673491287301 
383	 3,45325845770388E-02 
384	 9,70610605363058E-03 
385	 1,20506560944759E-02 
386	 3,72022421118625E-02 
387	 5,78418695017162E-02 
388	 6,45032175755312E-02 
389	 5,34701908723705E-02 
390	 3,76378147527412E-02 
391	 2,46389999745676E-02 
392	 0,022243181568882 
393	 2,41798781361945E-02 
