Wavelength	AURAY00499.asd
325	-0,079439348473315 
326	 0,170922014788186 
327	 0,21482192529109 
328	-1,88819111291383E-03 
329	 0,071417618646017 
330	 0,173881643512724 
331	 0,124851172228837 
332	 8,34061456142521E-02 
333	 0,073428107020305 
334	 0,121642040028992 
335	 0,164425690811374 
336	 0,16981292949234 
337	 0,11134784916002 
338	 3,03601646716384E-02 
339	-2,63416047642476E-02 
340	-2,00906357158731E-02 
341	 3,10581531226481E-02 
342	 9,74350267195355E-02 
343	 0,112899245954869 
344	 6,76540458177129E-02 
345	 9,38026469323484E-02 
346	 0,102385479651878 
347	 7,54425918774157E-03 
348	-6,13619996868966E-02 
349	-6,06713522914564E-02 
350	 2,63273847888782E-02 
351	 6,72455197371047E-02 
352	 3,20246451904677E-02 
353	 3,35468045632955E-02 
354	 4,40458078345785E-02 
355	 1,83117818900025E-02 
356	 1,30389593138401E-02 
357	 2,28778160089489E-02 
358	 5,19274858459088E-03 
359	-1,92949985357927E-02 
360	-3,42028341343112E-02 
361	 8,99308816426491E-03 
362	 5,54710501904252E-02 
363	 2,71380073047219E-02 
364	 2,28345229189649E-02 
365	 5,33476378093829E-02 
366	 7,64486834708759E-02 
367	 6,83149574607021E-02 
368	 2,22404235851934E-02 
369	 2,60767173081107E-02 
370	 5,24866178408299E-02 
371	 3,58089704369285E-02 
372	 1,01158969439962E-02 
373	-5,64172064358609E-03 
374	 2,32921260311368E-02 
375	 5,02116111063066E-02 
376	 0,04295807972552 
377	 2,75647596283924E-02 
378	 0,016716772727129 
379	 2,57166937085383E-02 
380	 4,39140509659923E-02 
381	 6,35270159287787E-02 
382	 5,85589437702064E-02 
383	 0,043916787538736 
384	 3,61055827633286E-02 
385	 3,95881714519498E-02 
386	 5,13069769691649E-02 
387	 6,01316470899354E-02 
388	 7,08108348882213E-02 
389	 8,13688549512553E-02 
390	 7,17359598387541E-02 
391	 5,53489069132993E-02 
392	 4,96778630807547E-02 
393	 4,74036911420388E-02 
394	 4,49917952954227E-02 
395	 3,53091698546372E-02 
396	 2,75528313783219E-02 
397	 0,028314218623386 
398	 4,11309602151404E-02 
399	 5,16061136805104E-02 
400	 3,93787352277327E-02 
401	 3,12241894633446E-02 
402	 3,14544227499473E-02 
403	 0,025719623853858 
404	 2,75272785669674E-02 
405	 4,38671609975073E-02 
406	 5,40066306449685E-02 
407	 5,28248992167284E-02 
408	 3,39607399988779E-02 
409	 3,09866741636764E-02 
410	 0,047179544564078 
411	 4,76284267362527E-02 
412	 4,22281289659113E-02 
413	 4,13176025727972E-02 
414	 3,47643850928087E-02 
415	 2,66706041403778E-02 
416	 3,03347416152294E-02 
417	 3,58017209510093E-02 
418	 3,85527559397869E-02 
419	 3,87033032635547E-02 
420	 3,86412368831912E-02 
421	 4,13897026211376E-02 
422	 4,20041677040621E-02 
423	 4,01434214522036E-02 
424	 3,82993953746799E-02 
425	 3,75643987295624E-02 
426	 3,82062986058966E-02 
427	 3,62852240849467E-02 
428	 3,38289522350298E-02 
429	 0,035417818142407 
430	 3,61479338146334E-02 
431	 3,55383204977102E-02 
432	 3,85650706815501E-02 
433	 3,99844330718785E-02 
434	 3,56074085037145E-02 
435	 3,62846102382402E-02 
436	 3,99092461886137E-02 
437	 3,55808379900585E-02 
438	 3,33765816516831E-02 
439	 3,66959117601715E-02 
440	 0,040167619892387 
441	 4,18783079245633E-02 
442	 4,01643575571781E-02 
443	 3,72595931827144E-02 
444	 3,52322665797345E-02 
445	 3,80993810453153E-02 
446	 4,23909849942837E-02 
447	 4,53296502000322E-02 
448	 4,35800702401664E-02 
449	 4,00391212492198E-02 
450	 4,09466602013282E-02 
451	 4,10511750204108E-02 
452	 3,98380126056294E-02 
453	 0,042485899537349 
454	 0,044591441383465 
455	 4,22685194286632E-02 
456	 4,31198057595671E-02 
457	 4,62598326203526E-02 
458	 4,60980120886789E-02 
459	 4,25530625708908E-02 
460	 3,68581288419762E-02 
461	 3,71652784300736E-02 
462	 4,03992895450111E-02 
463	 4,14202035560734E-02 
464	 4,27140608245306E-02 
465	 4,40065367321212E-02 
466	 4,27973493251721E-02 
467	 4,14261802910097E-02 
468	 4,15184505063049E-02 
469	 4,22382969070116E-02 
470	 4,34824578801115E-02 
471	 4,55061790782065E-02 
472	 4,59550429897923E-02 
473	 4,47189219684795E-02 
474	 4,57652143183734E-02 
475	 4,57098263126719E-02 
476	 0,041437332929742 
477	 4,30724425063788E-02 
478	 4,81083349141624E-02 
479	 4,36913635802609E-02 
480	 4,06996196981753E-02 
481	 4,33811985427468E-02 
482	 4,28260492935066E-02 
483	 4,15927694298029E-02 
484	 4,47931434723821E-02 
485	 4,67331126659081E-02 
486	 4,63557610473369E-02 
487	 4,63291827258221E-02 
488	 4,48196226672406E-02 
489	 0,040953071879742 
490	 4,09048991955749E-02 
491	 4,32369151944952E-02 
492	 4,21116260813408E-02 
493	 4,25383123680733E-02 
494	 4,51384232228584E-02 
495	 4,38979006812786E-02 
496	 4,19760620651655E-02 
497	 4,33549359224317E-02 
498	 4,49806381595956E-02 
499	 4,59946599435434E-02 
500	 4,59302036951432E-02 
501	 4,63840036141543E-02 
502	 4,77062053071669E-02 
503	 4,45962616285325E-02 
504	 4,07867727796224E-02 
505	 0,043854814314971 
506	 4,74227005761836E-02 
507	 4,92427438197035E-02 
508	 4,86847912695328E-02 
509	 4,76955691542257E-02 
510	 4,80587348501843E-02 
511	 4,92801482540724E-02 
512	 5,05550182426753E-02 
513	 0,050059021872994 
514	 4,94604437520612E-02 
515	 4,94760984748378E-02 
516	 4,97139712095628E-02 
517	 0,049569166559341 
518	 4,82182415620984E-02 
519	 4,81921378191183E-02 
520	 4,95722816176346E-02 
521	 5,00633060618653E-02 
522	 5,06121347598717E-02 
523	 5,17964801721012E-02 
524	 5,20210785755076E-02 
525	 5,16453946850763E-02 
526	 5,19814811883394E-02 
527	 5,25365189011059E-02 
528	 5,30621536650965E-02 
529	 5,31841290851332E-02 
530	 5,27511005184715E-02 
531	 5,16580993481754E-02 
532	 5,21108617568331E-02 
533	 5,37157407180267E-02 
534	 5,36511003220904E-02 
535	 5,32271883478509E-02 
536	 0,053182436445241 
537	 5,27732800198342E-02 
538	 5,26624811109927E-02 
539	 5,43259021751544E-02 
540	 5,49858188285712E-02 
541	 5,41306725141733E-02 
542	 5,36885717612904E-02 
543	 5,40997437338018E-02 
544	 5,55826801149456E-02 
545	 5,58951619654924E-02 
546	 0,055060091774212 
547	 5,43862989040695E-02 
548	 5,44922196606622E-02 
549	 0,05557634280155 
550	 5,63677683886836E-02 
551	 5,66598697970763E-02 
552	 5,63922562300828E-02 
553	 5,62180582631467E-02 
554	 5,63071933393027E-02 
555	 5,64470822275995E-02 
556	 5,63286417287881E-02 
557	 5,57850692541332E-02 
558	 5,60440852938985E-02 
559	 5,68048686013235E-02 
560	 5,68531913577924E-02 
561	 5,63307463821198E-02 
562	 5,55392643228477E-02 
563	 5,60138574871083E-02 
564	 5,69780011638855E-02 
565	 0,057230213572077 
566	 5,75833751439801E-02 
567	 0,057973685752934 
568	 5,74547189845936E-02 
569	 5,71819459576344E-02 
570	 5,79081928248391E-02 
571	 5,85129845585444E-02 
572	 5,88028209253336E-02 
573	 0,058649661215466 
574	 0,059328355147255 
575	 6,09154977606757E-02 
576	 6,11465871028758E-02 
577	 0,061094649074222 
578	 6,21101802520264E-02 
579	 6,24724572199154E-02 
580	 6,22173525253678E-02 
581	 6,26977715984722E-02 
582	 6,30867444507553E-02 
583	 6,30087820497459E-02 
584	 6,33527173289132E-02 
585	 6,39214224062942E-02 
586	 6,41505289198602E-02 
587	 6,46553156940279E-02 
588	 6,54077333619214E-02 
589	 6,54470985232427E-02 
590	 0,065474906427555 
591	 6,61356978418984E-02 
592	 6,63303248820553E-02 
593	 6,61398094405566E-02 
594	 6,63985206164477E-02 
595	 6,65895933065047E-02 
596	 6,65081109621963E-02 
597	 0,066458279331828 
598	 6,63511660120595E-02 
599	 6,59832257981163E-02 
600	 6,62198057596733E-02 
601	 6,68613848724073E-02 
602	 6,60632906905949E-02 
603	 6,55595335013571E-02 
604	 6,66168098517282E-02 
605	 6,71010905528454E-02 
606	 6,67720157075147E-02 
607	 6,58247707222903E-02 
608	 6,55783766656291E-02 
609	 6,63860366835303E-02 
610	 6,68219645003875E-02 
611	 6,67772132670857E-02 
612	 0,0662939027771 
613	 6,57251501877328E-02 
614	 6,52458627002824E-02 
615	 0,064966034395709 
616	 6,48734793267711E-02 
617	 0,064939267120202 
618	 6,50095624064216E-02 
619	 0,06502187112745 
620	 6,49200904127524E-02 
621	 0,064713315075905 
622	 0,064599858556089 
623	 6,55324189341761E-02 
624	 6,62472986588874E-02 
625	 6,54732040513144E-02 
626	 0,065470953437824 
627	 6,61691084207326E-02 
628	 6,58456967397559E-02 
629	 6,56221802349182E-02 
630	 6,59981794293976E-02 
631	 6,62157836918774E-02 
632	 6,63077051207495E-02 
633	 6,64844839295755E-02 
634	 6,64365201052671E-02 
635	 6,62238169331049E-02 
636	 6,63222296957589E-02 
637	 6,69762526315633E-02 
638	 6,82655670443053E-02 
639	 0,068671067116546 
640	 6,83510218468825E-02 
641	 6,84604722405838E-02 
642	 0,068562489678457 
643	 6,85959693780485E-02 
644	 6,89871868692226E-02 
645	 6,96438447860855E-02 
646	 7,04065263448409E-02 
647	 7,02057964925236E-02 
648	 6,92956566484203E-02 
649	 6,95848705528438E-02 
650	 6,98763866033984E-02 
651	 6,94105047425909E-02 
652	 6,90381346611474E-02 
653	 6,88236757338117E-02 
654	 6,86441496664148E-02 
655	 6,84131749674389E-02 
656	 6,80945629760096E-02 
657	 6,77770803977367E-02 
658	 6,72472278506688E-02 
659	 6,63022542562223E-02 
660	 6,54255711514635E-02 
661	 6,48359042827104E-02 
662	 6,48761592712766E-02 
663	 6,45263329644388E-02 
664	 6,34392988198494E-02 
665	 0,063234012023106 
666	 6,34319509922931E-02 
667	 6,29957509187515E-02 
668	 6,25800521067186E-02 
669	 6,23242525577556E-02 
670	 6,20408606299961E-02 
671	 6,18744469373913E-02 
672	 6,19063693113982E-02 
673	 6,15750417889324E-02 
674	 6,11919131677026E-02 
675	 0,061729599406645 
676	 6,24558837402757E-02 
677	 6,29164421540228E-02 
678	 6,22285299528004E-02 
679	 6,16004290613957E-02 
680	 6,25185650387619E-02 
681	 6,34389340887826E-02 
682	 0,063920246083982 
683	 6,38119731881989E-02 
684	 0,063770844809287 
685	 6,42315861148855E-02 
686	 6,51411184437968E-02 
687	 0,066236020209101 
688	 0,067088525057407 
689	 0,067769880223395 
690	 6,85189919343746E-02 
