Wavelength	ABBE00477.asd
325	-0,240576871591822 
326	 8,09750396527256E-02 
327	 0,167979950894958 
328	-4,99469138282304E-02 
329	-0,158939223198858 
330	-0,120156866933056 
331	 0,017987498172876 
332	 4,51435689246522E-03 
333	-4,90643957874402E-02 
334	 0,168216598258172 
335	 0,234708469416939 
336	 0,114220887306001 
337	 6,58646777433405E-02 
338	 0,045856147547931 
339	 4,95524740168578E-03 
340	 5,63722512452922E-02 
341	 0,126188319280234 
342	 0,048542690263884 
343	-4,34074055358338E-03 
344	-1,15840562799114E-03 
345	-1,73241705020261E-02 
346	-2,29454661126895E-02 
347	 0,011801476141506 
348	 4,75849386678421E-02 
349	 6,82954754516003E-02 
350	 5,73285837233976E-02 
351	 4,14778762934592E-02 
352	 3,38394162017436E-02 
353	 4,29035385400849E-02 
354	 4,76885261092425E-02 
355	 2,28861036873821E-02 
356	 5,55494040369043E-03 
357	 4,96851690733207E-03 
358	 3,19769585283526E-02 
359	 4,21893991671475E-02 
360	 2,07481106780963E-02 
361	 1,99571614486999E-02 
362	 2,83472885087342E-02 
363	 2,14352722581114E-02 
364	 3,08913722601217E-02 
365	 5,43614536722573E-02 
366	 5,99440976719601E-02 
367	 4,58787325074929E-02 
368	 1,90128443104927E-02 
369	 3,41017613478867E-02 
370	 6,06829919413816E-02 
371	 2,90773039417045E-02 
372	 6,41152971271832E-03 
373	 1,16297782819029E-02 
374	 3,55198009743803E-02 
375	 0,055427407207246 
376	 5,45281231375238E-02 
377	 0,051310000021967 
378	 5,15617388239928E-02 
379	 6,39836434493306E-02 
380	 5,41162721350392E-02 
381	 2,18244499369627E-02 
382	 3,17767746170095E-02 
383	 4,90585865257086E-02 
384	 0,039617000125213 
385	 1,85117177557383E-02 
386	 2,97223964639466E-04 
387	 1,46531750726312E-02 
388	 2,44529326397835E-02 
389	 1,83654221951634E-02 
390	 2,15627073960494E-02 
391	 2,85153945323631E-02 
392	 3,04269696712814E-02 
393	 2,79252024519493E-02 
394	 2,40065565559868E-02 
395	 2,70307772829381E-02 
396	 2,83485119330758E-02 
397	 2,49213951003958E-02 
398	 3,07342852296853E-02 
399	 3,62261838424367E-02 
400	 2,54454949255685E-02 
401	 1,32471670595504E-02 
402	 6,41096079375106E-03 
403	 1,33971812569564E-02 
404	 1,79863947709551E-02 
405	 1,11678587073945E-02 
406	 1,84264905189428E-02 
407	 3,10659513262623E-02 
408	 2,47001997408994E-02 
409	 1,98163767472558E-02 
410	 2,17130563881271E-02 
411	 2,54018787668932E-02 
412	 2,95842407378263E-02 
413	 0,033041230724181 
414	 2,78236069397973E-02 
415	 1,83912776058285E-02 
416	 1,95049751187934E-02 
417	 2,11533473207842E-02 
418	 1,94027807996676E-02 
419	 1,60328751457214E-02 
420	 1,40070040450391E-02 
421	 1,67740583691931E-02 
422	 2,03014917140862E-02 
423	 2,20069042227154E-02 
424	 0,016590021499419 
425	 0,01444081294895 
426	 2,04638905648801E-02 
427	 1,78856473230805E-02 
428	 1,24995135665745E-02 
429	 1,87161554439029E-02 
430	 2,36079630177652E-02 
431	 2,39010499918336E-02 
432	 0,023250455882119 
433	 2,26558240078003E-02 
434	 0,022719058794876 
435	 2,00948664002541E-02 
436	 0,017002810780883 
437	 2,08984595589549E-02 
438	 2,19903168771437E-02 
439	 1,79249278546248E-02 
440	 0,020240945679156 
441	 2,38860422225951E-02 
442	 2,13681079570168E-02 
443	 2,05239861097929E-02 
444	 2,22984402074051E-02 
445	 2,35481324304404E-02 
446	 2,33571014331111E-02 
447	 2,16194467251176E-02 
448	 2,28716659094067E-02 
449	 2,56045714197413E-02 
450	 2,61788462033576E-02 
451	 2,39100115068109E-02 
452	 2,00926396944573E-02 
453	 2,18953287879408E-02 
454	 2,39680347188737E-02 
455	 2,14272576234083E-02 
456	 2,11516538426461E-02 
457	 2,31116856347619E-02 
458	 2,41652255007224E-02 
459	 2,27827018374001E-02 
460	 1,90842240076574E-02 
461	 1,83132299820917E-02 
462	 2,01708539712004E-02 
463	 2,35407515905783E-02 
464	 0,024476084069996 
465	 2,26872004090511E-02 
466	 2,12693838660061E-02 
467	 2,02076100060476E-02 
468	 1,96670579725431E-02 
469	 2,06911313350761E-02 
470	 2,28524199681696E-02 
471	 2,55075268293439E-02 
472	 2,48820103806527E-02 
473	 2,08708327895656E-02 
474	 1,90971636749718E-02 
475	 1,92312234092909E-02 
476	 2,05711514333444E-02 
477	 2,27599700669629E-02 
478	 2,46736961107744E-02 
479	 2,42416161885513E-02 
480	 2,20575135085012E-02 
481	 1,90476905851997E-02 
482	 1,88237700672093E-02 
483	 2,02474037416587E-02 
484	 2,10046784013111E-02 
485	 2,22294372426844E-02 
486	 2,35406125867391E-02 
487	 2,31523383601088E-02 
488	 2,08918905120176E-02 
489	 1,72428701386741E-02 
490	 1,85341614560516E-02 
491	 2,24088305142302E-02 
492	 2,12488975043941E-02 
493	 2,00430598907309E-02 
494	 2,03707429568475E-02 
495	 2,15233086686113E-02 
496	 2,18819970908012E-02 
497	 1,97620548395393E-02 
498	 1,92688867767507E-02 
499	 2,03725498930736E-02 
500	 1,99063167391151E-02 
501	 1,91332088422867E-02 
502	 1,88583155647164E-02 
503	 1,98320160244246E-02 
504	 2,04830412084676E-02 
505	 1,76916000756621E-02 
506	 1,74498154567749E-02 
507	 2,03981290478803E-02 
508	 2,11376488707997E-02 
509	 2,04334689087509E-02 
510	 1,93187749384419E-02 
511	 1,95710431691472E-02 
512	 2,10352645260302E-02 
513	 0,022531098274515 
514	 0,022871353251243 
515	 2,18033715381575E-02 
516	 2,17218238734025E-02 
517	 2,20511662620079E-02 
518	 0,021621473797875 
519	 2,15086113545071E-02 
520	 2,17854224259687E-02 
521	 2,17752202101214E-02 
522	 2,14549863795267E-02 
523	 2,09208791847398E-02 
524	 2,13662950933104E-02 
525	 2,22562087171448E-02 
526	 2,20522776240446E-02 
527	 2,13893688042001E-02 
528	 0,020685779189719 
529	 2,11352890899037E-02 
530	 2,12960744127887E-02 
531	 1,94818020948666E-02 
532	 1,88504686196009E-02 
533	 0,019765244731074 
534	 2,10961841704412E-02 
535	 0,021751596580367 
536	 2,11600895816267E-02 
537	 2,06369031170938E-02 
538	 2,05624894816641E-02 
539	 2,13054416438843E-02 
540	 2,16400441680274E-02 
541	 2,12938040051703E-02 
542	 2,10575958473251E-02 
543	 2,09864941960704E-02 
544	 2,11063619679621E-02 
545	 2,19197537456076E-02 
546	 2,27011105005231E-02 
547	 2,11202633869933E-02 
548	 1,99390078624921E-02 
549	 2,04622682397966E-02 
550	 2,13227830819016E-02 
551	 2,20207141535028E-02 
552	 2,20678302540207E-02 
553	 2,17445884632043E-02 
554	 2,13170748128533E-02 
555	 2,14993081208916E-02 
556	 2,15158354804886E-02 
557	 2,07832070344652E-02 
