Wavelength	GOOSE00002.asd
325	 0,133272143864337 
326	-0,055082593335243 
327	-0,185427073149053 
328	-0,14606038169708 
329	-2,88487041806897E-02 
330	 3,29809394698161E-02 
331	-8,55652103179099E-02 
332	-0,12037361912964 
333	-7,98026116596834E-02 
334	-5,43998047525467E-02 
335	-0,048460019095056 
336	-5,08092552089329E-02 
337	 3,05586004296926E-02 
338	 0,108484779762702 
339	 0,100871876933893 
340	 4,81820941413785E-02 
341	-1,16158767407979E-02 
342	-3,29244782549537E-02 
343	-4,10283165810801E-02 
344	-3,77924483604054E-02 
345	-6,08701046221421E-03 
346	 0,021166315794691 
347	 0,017587424810444 
348	 2,09939649547428E-02 
349	 2,15188935081943E-02 
350	-2,47953182517742E-02 
351	-4,61258456039558E-02 
352	-2,37811111179008E-02 
353	-1,23555032168123E-02 
354	-1,64389605323562E-02 
355	-3,45116512752183E-02 
356	-3,88762023596695E-02 
357	-2,79585366566344E-02 
358	-1,24095167873565E-02 
359	 1,12906840322177E-03 
360	 9,86015964514957E-03 
361	 5,93828659712153E-03 
362	 7,35022742688425E-04 
363	 1,03154362577429E-02 
364	 1,21929458306412E-02 
365	 7,17618671834476E-03 
366	 1,64727449750672E-02 
367	 2,69974572477102E-02 
368	 2,76208878594395E-02 
369	-1,43557446206053E-02 
370	-5,32009772859551E-02 
371	-6,01914455045446E-03 
372	 1,45876382618847E-03 
373	-3,90383289406363E-02 
374	 2,00622169955925E-03 
375	 3,52687740373418E-02 
376	 2,26021077078088E-03 
377	-2,41038009155322E-03 
378	 1,52983765732647E-02 
379	 8,22999670390448E-03 
380	 1,48737123262755E-03 
381	-5,85566541939311E-04 
382	-1,81017856357571E-02 
383	-2,93085448357624E-02 
384	-1,15257500165922E-02 
385	 2,37815857762124E-03 
386	 4,75377364934089E-03 
387	-6,33441901454199E-03 
388	-2,47530693001108E-02 
389	-3,97128543194913E-02 
390	-1,24872591830372E-02 
391	 1,64719892584706E-02 
392	 1,70499163574431E-03 
393	-3,6929230286614E-03 
394	 4,28178979464819E-03 
395	 3,7498820067826E-04 
396	 5,21932253692927E-04 
397	 9,5307267894707E-03 
398	 1,89818030908582E-03 
399	-1,29199874049254E-02 
400	-1,69664250461023E-02 
401	-1,76605358620251E-02 
402	-0,018617783880631 
403	-2,81669648473034E-02 
404	-2,99147392515239E-02 
405	-1,40875660620824E-02 
406	-4,07934643658287E-03 
407	-1,44773297884251E-03 
408	-1,81100507579537E-04 
409	-5,90990473887572E-03 
410	-1,48630708869746E-02 
411	-3,52293591845678E-03 
412	 6,28791898883295E-03 
413	-4,01498789282901E-03 
414	-6,40744791187349E-03 
415	-7,80517115080065E-04 
416	-6,79906759371579E-04 
417	-2,14211865759727E-03 
418	-3,09814483741639E-03 
419	 6,45922926745162E-04 
420	 3,1789461950436E-03 
421	-2,98721393392032E-03 
422	-5,27522270198945E-03 
423	-2,45203545569581E-03 
424	-1,34239625821237E-03 
425	 9,19073305588253E-04 
426	 4,92402647028684E-03 
427	 1,41824765902034E-03 
428	-5,76219428233523E-03 
429	-8,88161720421632E-03 
430	-3,3678788872313E-03 
431	 6,77467170677661E-03 
432	-1,39210886197986E-03 
433	-9,27659746671523E-03 
434	-2,44615233791955E-04 
435	 3,35817398169324E-03 
436	 1,00129175794932E-03 
437	 2,01317001378751E-03 
438	 4,83785511524772E-04 
439	-4,25762872939769E-03 
440	-3,03839912690093E-03 
441	 9,74006725479695E-04 
442	 2,93449335686639E-03 
443	 5,0412866621632E-04 
444	-4,61798969494192E-03 
445	-4,75201886591931E-03 
446	-4,36156450037988E-03 
447	-5,60236453053936E-03 
448	-1,88817162809801E-03 
449	 3,9850699127025E-03 
450	 6,38562923742763E-03 
451	 7,01487355583383E-04 
452	-1,10144510962924E-02 
453	-1,29720247796116E-02 
454	-8,59018880233102E-03 
455	-2,32460584689469E-03 
456	 1,58406860981919E-03 
457	 2,30209061292891E-03 
458	 3,41700054924478E-04 
459	-9,79935375137381E-04 
460	-2,44382888922144E-04 
461	-9,32906662991653E-05 
462	 6,12955191175372E-04 
463	 3,72164361348783E-03 
464	 3,03745168536246E-03 
465	-1,03591176458141E-03 
466	-1,54455276281919E-03 
467	-9,29664715995263E-04 
468	-8,01842155213006E-04 
469	 1,94402120250583E-04 
470	 5,69204572011682E-04 
471	-3,31875978692328E-03 
472	-3,78068401439823E-03 
473	 3,28092681416999E-04 
474	 1,41468626523676E-03 
475	 1,61322567855439E-03 
476	 3,27596572208806E-03 
477	 2,37078479436877E-03 
478	-4,77865920068594E-04 
479	-1,75418165240461E-03 
480	-1,8325932815916E-03 
481	-1,11607207865597E-03 
482	-2,03243764742591E-03 
483	-2,44300703144756E-03 
484	 1,19913794948481E-03 
485	 3,40740924403818E-03 
486	 2,94458286442571E-03 
487	 1,64922633065647E-03 
488	-6,31562623609076E-04 
489	-3,56256686827223E-03 
490	-2,16656488625717E-03 
491	 1,38225896777557E-03 
492	 5,13045034497956E-04 
493	-7,56912971848557E-04 
494	-1,12005154907853E-03 
495	-9,43626036186266E-04 
496	-1,18017413742948E-03 
497	-2,83956638631228E-03 
498	-3,20600236676349E-03 
499	-2,22351685207379E-03 
500	-1,66725985701699E-03 
501	-1,51027333544525E-03 
502	-1,68545091487158E-03 
