Wavelength	OSM-GIL00085.asd
325	 0,453644368979035 
326	 0,43327333504757 
327	 0,360841906748874 
328	 0,247767018319285 
329	 0,213811174083424 
330	 0,256884618665237 
331	 0,319865095742084 
332	 0,37517807314894 
333	 0,383279083161307 
334	 0,231121975216366 
335	 0,193360327836862 
336	 0,384866448652579 
337	 0,29631651060588 
338	 0,189101990836922 
339	 0,250077542514255 
340	 0,271648024320776 
341	 0,242096054516315 
342	 0,195844871586035 
343	 0,20737595215316 
344	 0,275051689729775 
345	 0,251312323612418 
346	 0,221280546581462 
347	 0,274020428864617 
348	 0,287199387153275 
349	 0,260298674803034 
350	 0,218045119055367 
351	 0,214983408582232 
352	 0,260650147909098 
353	 0,244355341861108 
354	 0,214136654423107 
355	 0,230365053673317 
356	 0,237051629038336 
357	 0,230145737316939 
358	 0,234116081492992 
359	 0,231232666577992 
360	 0,21890888412177 
361	 0,232137167448106 
362	 0,257178679481846 
363	 0,270998057681418 
364	 0,268169191200583 
365	 0,254087011002429 
366	 0,247161857350749 
367	 0,251942682450541 
368	 0,268715871323007 
369	 0,273963165008703 
370	 0,269517410071118 
371	 0,26213005572414 
372	 0,270274356314647 
373	 0,290867277477279 
374	 0,290200884362371 
375	 0,273927281789788 
376	 0,249221270106111 
377	 0,237798045197037 
378	 0,237762582155516 
379	 0,234324729186435 
380	 0,237414089056787 
381	 0,245661431653104 
382	 0,23722430072758 
383	 0,234675050309568 
384	 0,25723246942152 
385	 0,26556416582841 
386	 0,259569669107094 
387	 0,259954234044227 
388	 0,254343699710715 
389	 0,244054833548578 
390	 0,261742463274727 
391	 0,283425119254509 
392	 0,278094011159937 
393	 0,269916917106029 
394	 0,264128692347893 
395	 0,259591586580972 
396	 0,26121090036761 
397	 0,268916891461825 
398	 0,262347937586967 
399	 0,256510424241945 
400	 0,276667467892917 
401	 0,285623240607505 
402	 0,279050528775923 
403	 0,277876085601563 
404	 0,280771494028081 
405	 0,285276738678915 
406	 0,278538710524519 
407	 0,265658818652734 
408	 0,258640595084291 
409	 0,260524260627015 
410	 0,269703943980812 
411	 0,273892441808535 
412	 0,274428984004052 
413	 0,2733752882523 
414	 0,270390792447771 
415	 0,267444278849 
416	 0,269695438153803 
417	 0,267511258642096 
418	 0,260216880604473 
419	 0,269542432770675 
420	 0,280473527722037 
421	 0,272235517591869 
422	 0,267123825923797 
423	 0,268826637854828 
424	 0,272225009481145 
425	 0,273343137538322 
426	 0,270327628776197 
427	 0,269461546584513 
428	 0,271017631631027 
429	 0,274171406992235 
430	 0,275284384341303 
