Wavelength	BELON00098.asd
325	-0,141667488621793 
326	 9,91318140078471E-02 
327	 0,176841757095424 
328	 1,80636460156676E-02 
329	 0,016572759371948 
330	 0,101821115926681 
331	 0,150953400456853 
332	 5,80732466512242E-02 
333	-3,93264241044368E-02 
334	 0,146867860345325 
335	 0,252720505441011 
336	 0,215927244999489 
337	 0,148615300719961 
338	 0,083794138088861 
339	 3,57613860635285E-02 
340	 8,11280167515919E-02 
341	 0,157527893273869 
342	 0,130807320643815 
343	 0,112113900223606 
344	 0,127184240851736 
345	 0,157113134983636 
346	 0,173258625313078 
347	 0,152617388839344 
348	 0,13069795769375 
349	 0,115075321977992 
350	 0,104872840982315 
351	 9,28446579342743E-02 
352	 0,078905721949551 
353	 8,01672445541853E-02 
354	 8,75705342148857E-02 
355	 8,77187141529735E-02 
356	 8,29526337032579E-02 
357	 8,10712848747038E-02 
358	 0,104975984329294 
359	 0,117691014971486 
360	 0,105396307835087 
361	 0,100760347899492 
362	 9,34049824999692E-02 
363	 6,30593489065155E-02 
364	 7,27957541707671E-02 
365	 0,114153743543969 
366	 0,10212892089718 
367	 8,24461851150784E-02 
368	 8,42824316211091E-02 
369	 0,102607857861968 
370	 0,118999384442553 
371	 9,96160138802687E-02 
372	 7,65361572717482E-02 
373	 0,06261427643506 
374	 0,06293458572104 
375	 7,24160758181106E-02 
376	 8,51908729824441E-02 
377	 9,25129989521757E-02 
378	 9,37574498077302E-02 
379	 9,00520008854069E-02 
380	 8,78278984348589E-02 
381	 9,10838105301882E-02 
382	 0,108671563702301 
383	 0,113701051553026 
384	 8,51641617751403E-02 
385	 6,39783417268845E-02 
386	 6,10151565987367E-02 
387	 8,10075489803343E-02 
388	 0,098498282431338 
389	 0,101237887284455 
390	 8,72866439078404E-02 
391	 7,66034108456141E-02 
392	 9,21187387801354E-02 
393	 9,02397639077286E-02 
394	 7,36374310049915E-02 
395	 7,65681780989953E-02 
396	 8,75944578094145E-02 
397	 9,83651293692994E-02 
398	 9,67004489795123E-02 
399	 8,99452232497606E-02 
400	 9,10372804281979E-02 
401	 8,76226436670293E-02 
402	 8,08188037142875E-02 
403	 8,56808368881113E-02 
404	 9,05464414532609E-02 
405	 8,76811969199722E-02 
406	 8,28434755007515E-02 
407	 7,80170481619399E-02 
408	 0,073637139884958 
409	 8,03084061906677E-02 
410	 9,56732382425021E-02 
411	 9,39848959269302E-02 
412	 8,66941803704075E-02 
413	 8,54273962521355E-02 
414	 8,19721636596347E-02 
415	 7,87064742059644E-02 
416	 8,52207204611598E-02 
417	 9,07659612958556E-02 
418	 9,08318381464687E-02 
419	 8,76546391579603E-02 
420	 8,28518405329729E-02 
421	 7,81139359526048E-02 
422	 7,97234791591233E-02 
423	 8,50900306455461E-02 
424	 8,09438394159076E-02 
425	 0,078450467013802 
426	 8,34793404078822E-02 
427	 8,41365149837411E-02 
428	 8,20727656298039E-02 
429	 8,28607974556455E-02 
430	 8,44506817942239E-02 
431	 8,63070210512959E-02 
432	 8,88276212013332E-02 
433	 8,99861291497011E-02 
434	 8,80280352816279E-02 
435	 8,26703716866896E-02 
436	 7,77412383371204E-02 
437	 8,23766396225741E-02 
438	 8,72634278581189E-02 
439	 8,86992054288798E-02 
440	 9,00849927525058E-02 
441	 8,99570946809973E-02 
442	 0,086210089891587 
443	 8,51220686360608E-02 
444	 8,70927449109987E-02 
445	 8,80027680985674E-02 
446	 8,74124185263948E-02 
447	 8,55334706757119E-02 
448	 8,73027339835734E-02 
449	 9,00613878893242E-02 
450	 8,76733702275786E-02 
451	 8,51944936752737E-02 
452	 8,50621370786502E-02 
453	 9,07762555518074E-02 
454	 9,47426071881972E-02 
455	 9,04440015317676E-02 
456	 8,88135821017314E-02 
457	 0,090434228861221 
458	 9,05904561119764E-02 
459	 9,22111185658627E-02 
460	 9,52258800985848E-02 
461	 9,18258300751004E-02 
462	 8,83084377096332E-02 
463	 9,38952762633564E-02 
464	 9,49525948489044E-02 
465	 9,08581050405156E-02 
466	 9,20551565706994E-02 
467	 9,33707808009697E-02 
468	 9,16917438080923E-02 
469	 9,11515975816845E-02 
470	 9,24367801170645E-02 
471	 9,63157815384424E-02 
472	 9,54164892891729E-02 
473	 8,95621417801602E-02 
474	 9,01074717380713E-02 
475	 9,26219807655242E-02 
476	 9,22569865581664E-02 
477	 9,34699877191791E-02 
478	 9,55347580834018E-02 
479	 9,42097384632633E-02 
480	 9,33737349830502E-02 
481	 9,43203975481166E-02 
482	 9,24548971140573E-02 
483	 0,089925153107812 
484	 0,090545805790626 
485	 9,18053843481813E-02 
486	 9,24660702404489E-02 
487	 9,07086135703484E-02 
488	 8,85413655913116E-02 
489	 8,76035928013895E-02 
490	 8,78335591082061E-02 
491	 8,84802442883888E-02 
492	 8,76442365654169E-02 
493	 0,088277035407491 
494	 9,06543288568477E-02 
495	 9,06004618798033E-02 
496	 8,95398645436821E-02 
497	 8,94186501532173E-02 
498	 8,89062128444055E-02 
499	 8,81031935482681E-02 
500	 8,79278924722476E-02 
501	 8,84744412105611E-02 
502	 8,97096832705343E-02 
503	 9,10094129487246E-02 
504	 9,18874380513501E-02 
505	 0,091750182654711 
506	 9,12340201227887E-02 
507	 9,06624960536519E-02 
508	 9,01343792396482E-02 
509	 9,04593189212183E-02 
510	 9,22294735300225E-02 
511	 9,32247379813299E-02 
512	 9,36216582725275E-02 
513	 9,53057312121994E-02 
514	 9,59351531016525E-02 
515	 9,49172743799191E-02 
516	 9,53309246784553E-02 
517	 0,096327009285393 
518	 9,62918075441714E-02 
519	 0,096443298196742 
520	 9,69422159670553E-02 
521	 9,74418335287765E-02 
522	 9,71344434432681E-02 
523	 0,095649114061852 
524	 9,55207063497606E-02 
525	 9,63228299937878E-02 
526	 9,60454141807501E-02 
527	 9,64714972239462E-02 
528	 9,76265052376948E-02 
529	 9,64807085945507E-02 
530	 9,48212088365744E-02 
531	 9,49029423669094E-02 
532	 9,48626446528908E-02 
533	 9,45537809693359E-02 
534	 9,47985496138287E-02 
535	 9,52749642143883E-02 
536	 9,57467045685127E-02 
537	 9,59512247155736E-02 
538	 9,60745939808078E-02 
539	 9,65970103742971E-02 
540	 0,09658121318473 
541	 9,59351448018505E-02 
542	 9,55629713123131E-02 
543	 9,57034332204566E-02 
544	 9,64943544722055E-02 
545	 9,71224603847991E-02 
546	 9,72820463780073E-02 
547	 9,66502129343964E-02 
548	 0,096215562351042 
549	 0,096472760837959 
550	 9,68958380930893E-02 
551	 9,74622427654894E-02 
552	 0,098317874856356 
553	 9,77461016827658E-02 
554	 9,60427173413649E-02 
555	 9,65723184604488E-02 
556	 9,69354054274447E-02 
557	 0,095278857065735 
558	 9,52710669941022E-02 
559	 9,63177474698498E-02 
560	 9,51483092674263E-02 
561	 9,45800992380354E-02 
562	 9,53826098489432E-02 
563	 9,51095162181059E-02 
564	 9,41415138282589E-02 
565	 9,32495601037096E-02 
566	 9,39846458401811E-02 
567	 0,095814893362911 
568	 9,53320315678416E-02 
569	 9,47731824982947E-02 
570	 9,56394844732651E-02 
571	 9,63666726928059E-02 
572	 9,67724566449188E-02 
573	 9,68914516520475E-02 
574	 0,097624777453193 
575	 9,91642764329398E-02 
576	 0,100490992421137 
