Wavelength	SCORFF200689.asd
325	 0,454128062811112 
326	 0,33574768730304 
327	 0,22980278912107 
328	 0,195612597078651 
329	 0,243510035893382 
330	 0,27402698221838 
331	 0,220872755600789 
332	 0,170838016968363 
333	 0,164228950216678 
334	 0,243449923760646 
335	 0,263893764413656 
336	 0,197449547517854 
337	 0,188289864114591 
338	 0,167370912633335 
339	 0,079501953745473 
340	 7,75809982798084E-02 
341	 0,12135603527861 
342	 8,69111916580421E-02 
343	 0,121639005284444 
344	 0,207976324791562 
345	 0,123025299781977 
346	 0,043527241224768 
347	 0,146020371147889 
348	 0,169070404860649 
349	 0,115040349465456 
350	 0,085849495588728 
351	 0,105192372785738 
352	 0,159326181295133 
353	 0,124879725245006 
354	 7,07403816056028E-02 
355	 8,27209369781826E-02 
356	 0,110702519508127 
357	 0,133531251532209 
358	 0,14151563215915 
359	 0,148172149140219 
360	 0,151610413510811 
361	 8,43851987538079E-02 
362	 2,07952235155973E-02 
363	 7,73426889995473E-02 
364	 0,100050124875847 
365	 7,79046779108918E-02 
366	 9,23398181940094E-02 
367	 0,112492786806385 
368	 0,117275515318621 
369	 9,54414650763145E-02 
370	 6,78677266585195E-02 
371	 7,87162800541182E-02 
372	 0,089133741501791 
373	 8,90828354498315E-02 
374	 8,51480210783416E-02 
375	 8,20130046033268E-02 
376	 8,33026782965064E-02 
377	 9,40417159156683E-02 
378	 0,106759768122422 
379	 0,108472683827888 
380	 9,54668454161946E-02 
381	 7,43801999252334E-02 
382	 8,63352689907996E-02 
383	 0,103966852869319 
384	 0,101626111379911 
385	 8,91805970055687E-02 
386	 7,94586985078745E-02 
387	 0,101994833788607 
388	 0,113777107758892 
389	 9,99720733952545E-02 
390	 8,22956534124689E-02 
391	 7,42756808086842E-02 
392	 0,090617047031651 
393	 9,20382444426941E-02 
394	 7,85050384829465E-02 
395	 7,74225723831616E-02 
396	 7,75365751227382E-02 
397	 7,41489250230027E-02 
398	 7,58890992814768E-02 
399	 8,00695310802006E-02 
400	 8,17844402482137E-02 
401	 8,32389066713741E-02 
402	 8,41451426173514E-02 
403	 8,12632563449133E-02 
404	 0,08231564593723 
405	 9,02814102872418E-02 
406	 8,06948496661407E-02 
407	 6,50915162431328E-02 
408	 7,37109535603316E-02 
409	 8,17028895587039E-02 
410	 8,29600591589711E-02 
411	 8,77584221179552E-02 
412	 8,63897629946744E-02 
413	 7,09641929359245E-02 
414	 7,12333227947728E-02 
415	 8,18323955311584E-02 
416	 7,46349787471689E-02 
417	 7,20571851994382E-02 
418	 7,98973610060491E-02 
419	 7,51546545531541E-02 
420	 0,067001323155039 
421	 6,93609995058107E-02 
422	 7,60316012590688E-02 
423	 8,27940245810727E-02 
424	 8,20504301515617E-02 
425	 0,078997190098073 
426	 7,68839230929242E-02 
427	 7,46206562165758E-02 
428	 7,37915120503239E-02 
429	 7,74599314811757E-02 
430	 7,87935523472459E-02 
431	 7,68824224064143E-02 
432	 7,78570556334792E-02 
433	 7,84975661523475E-02 
434	 7,60264633031257E-02 
435	 7,55451971599578E-02 
436	 7,65437035795676E-02 
437	 7,56518649443459E-02 
438	 7,31884195179217E-02 
439	 7,00595889864414E-02 
440	 7,09043896833968E-02 
441	 7,31111007803133E-02 
442	 7,28963670232115E-02 
443	 7,39803903311012E-02 
444	 7,59931686124897E-02 
445	 7,47717249988052E-02 
446	 7,41801572525868E-02 
447	 0,076231525784561 
448	 7,60184203608171E-02 
449	 0,07525081808328 
450	 0,078570913988347 
451	 7,93744359499936E-02 
452	 7,68540139237657E-02 
453	 7,74704847315246E-02 
454	 7,79103020830182E-02 
455	 7,50345448253654E-02 
456	 7,22425550962374E-02 
457	 0,0713401859034 
458	 7,53309587351744E-02 
459	 7,85709385971196E-02 
460	 7,86048553563444E-02 
461	 7,73176483574353E-02 
462	 7,63820546428994E-02 
463	 7,77670029030035E-02 
464	 7,53397562558722E-02 
465	 7,01808540615314E-02 
466	 7,11474925394394E-02 
467	 7,42245121591436E-02 
468	 7,63994239825975E-02 
469	 7,71377269171767E-02 
470	 7,66254130056785E-02 
471	 7,55013599945827E-02 
472	 7,39782339567906E-02 
473	 7,29413948904522E-02 
474	 7,54881655699645E-02 
475	 7,82113422317398E-02 
476	 7,76852939009113E-02 
477	 7,57049461784716E-02 
478	 7,39737985826531E-02 
479	 7,64422790357567E-02 
480	 7,68754905817624E-02 
481	 7,31669781317497E-02 
482	 7,24563716287168E-02 
483	 0,074294515480856 
484	 7,69583315102509E-02 
485	 7,72809058102815E-02 
486	 7,51836478777177E-02 
487	 7,38530457488651E-02 
488	 7,48326848981718E-02 
489	 7,85703656550458E-02 
490	 7,70875284379541E-02 
491	 7,27208096218915E-02 
492	 7,37939726693185E-02 
493	 7,49811128684063E-02 
494	 7,45471194331816E-02 
495	 7,29933799955579E-02 
496	 7,22374547460492E-02 
497	 7,43172799306977E-02 
498	 7,63951158499301E-02 
499	 7,73872246006273E-02 
500	 7,62399071764038E-02 
501	 7,53467597117104E-02 
502	 7,59424339546984E-02 
503	 7,57428605444548E-02 
504	 7,53948823556771E-02 
505	 7,65212722146545E-02 
506	 7,78359398113462E-02 
507	 7,85288655125264E-02 
508	 7,68968674488096E-02 
509	 7,55884344613271E-02 
510	 7,69031490372635E-02 
511	 7,76659010189294E-02 
512	 7,75687051977433E-02 
513	 7,74091760155209E-02 
514	 7,74969553868362E-02 
515	 7,79206278945662E-02 
516	 7,80617984754076E-02 
517	 7,80877352662998E-02 
518	 0,078322689955891 
519	 7,83296953790372E-02 
520	 7,83588261752015E-02 
521	 7,99064178672488E-02 
