Wavelength	CAMFROU00060.asd
325	 0,419194347358697 
326	 0,189695304433049 
327	 4,53136638627982E-02 
328	 7,53018303105042E-02 
329	 0,227339428188659 
330	 0,276572498408348 
331	 8,37912009702049E-02 
332	 0,137084802109306 
333	 0,333007968721615 
334	 0,220874332124948 
335	 8,62837864955534E-02 
336	 2,17394191018298E-02 
337	 6,54586718204929E-02 
338	 0,126934466729808 
339	 0,142368805815796 
340	 0,142961509773268 
341	 0,135847016454626 
342	 0,136607303753731 
343	 9,97244562392032E-02 
344	 2,84437867467695E-02 
345	 4,43277893501351E-02 
346	 0,099618157638404 
347	 0,152812758889134 
348	 0,113363178881246 
349	 0,012166952544311 
350	 1,21500675954465E-03 
351	 3,57287711944861E-02 
352	 8,94261663620728E-02 
353	 0,104868476771287 
354	 8,83152531102365E-02 
355	 0,056981116876174 
356	 5,41339709267573E-02 
357	 7,52303142323889E-02 
358	 7,80115512996088E-02 
359	 8,19555686519139E-02 
360	 8,72800497221535E-02 
361	 3,40683091920019E-02 
362	-1,69007523883002E-02 
363	 3,60965872098526E-02 
364	 8,08268878414479E-02 
365	 8,86642106576701E-02 
366	 4,86104193087299E-02 
367	 1,75960492501461E-02 
368	 3,24726595975286E-02 
369	 0,059622397872592 
370	 8,00739126974653E-02 
371	 0,080740449963177 
372	 7,01916039761074E-02 
373	 5,40215202166366E-02 
374	 4,20604421578437E-02 
375	 3,59630038485602E-02 
376	 0,037145256179379 
377	 4,00163681195346E-02 
378	 4,46324254312234E-02 
379	 5,40846043277022E-02 
380	 6,22783989175663E-02 
381	 6,61149214008724E-02 
382	 6,56270669978642E-02 
383	 7,10008269330303E-02 
384	 8,86628233696833E-02 
385	 7,91522128812822E-02 
386	 4,94529796624158E-02 
387	 3,57109687343545E-02 
388	 3,94615527098608E-02 
389	 5,71003885193772E-02 
390	 7,37859064191017E-02 
391	 7,43441548145004E-02 
392	 4,20972431748504E-02 
393	 0,037545802062289 
394	 5,89910245390188E-02 
395	 6,27322603888767E-02 
396	 5,62626340138121E-02 
397	 4,64327226029086E-02 
398	 5,33378117595329E-02 
399	 6,27560388291961E-02 
400	 0,050056315527989 
401	 4,19816702176827E-02 
402	 4,44875891418165E-02 
403	 5,38894489933643E-02 
404	 5,72076025363154E-02 
405	 0,047821088609164 
406	 4,81152179540486E-02 
407	 5,60918915114901E-02 
408	 6,14588936128807E-02 
409	 6,33351227886898E-02 
410	 6,07964498567947E-02 
411	 5,15583241844505E-02 
412	 4,50101949425463E-02 
413	 4,96171926403996E-02 
414	 5,20822189462817E-02 
415	 5,02927588615547E-02 
416	 4,39916797981107E-02 
417	 4,66168911849489E-02 
418	 0,059999729536329 
419	 6,03524522439959E-02 
420	 5,48532176899584E-02 
421	 5,53266454407413E-02 
422	 5,81138411739087E-02 
423	 6,06434008818745E-02 
424	 5,63830191776351E-02 
425	 5,46809198783775E-02 
426	 5,99553429661106E-02 
427	 5,79365569232086E-02 
