Wavelength	MORB100058.asd
325	 0,131093967294096 
326	 1,36733266562856E-02 
327	-0,144452968636321 
328	-0,219064406537423 
329	-0,118983458512658 
330	 9,09520005809309E-03 
331	 7,00488530272645E-02 
332	 3,04250938348814E-02 
333	-5,97140027536897E-02 
334	-8,32088371766029E-02 
335	-8,65549425180731E-02 
336	-8,69001213724722E-02 
337	-0,116457980823463 
338	-9,76402535569229E-02 
339	 9,81626139693579E-03 
340	 5,19937788271959E-02 
341	 0,045579772934302 
342	 5,66291654351422E-02 
343	 5,44440927071981E-02 
344	 3,17572500731337E-02 
345	 1,60527828925437E-03 
346	-0,018952237346157 
347	-0,025937448188436 
348	-2,13632423553458E-02 
349	-4,97667896987422E-03 
350	 2,83561296634698E-02 
351	 2,31887864020342E-02 
352	-2,24819074055715E-02 
353	-8,47972162038773E-04 
354	 3,08282917170828E-02 
355	 4,15433890913635E-03 
356	 1,22128885628369E-02 
357	 4,28165893326699E-02 
358	 1,29155640211478E-03 
359	-3,46320426928047E-02 
360	-2,77380878424551E-02 
361	 1,47502598499124E-02 
362	 5,82059207571626E-02 
363	 0,06660828606635 
364	 3,35634514499051E-02 
365	-2,56747913573663E-02 
366	-1,07748026346781E-02 
367	 1,38690365429855E-02 
368	 1,03036469553494E-02 
369	 8,63778469405158E-03 
370	 7,70048248210349E-03 
371	-9,46609739289945E-04 
372	 6,03334822394516E-04 
373	 9,3815660606707E-03 
374	-8,68573515250433E-03 
375	-0,024159654825839 
376	-1,51552038131461E-02 
377	 3,08285568775927E-03 
378	 1,90432996942655E-02 
379	 1,83871601692492E-02 
380	 1,21067702212294E-02 
381	 5,69192388745477E-03 
382	 5,79423522633479E-03 
383	 7,18030943189763E-03 
384	 5,07801663125123E-03 
385	 1,51347716753788E-02 
386	 3,06109345128027E-02 
387	 3,27334269663869E-02 
388	 2,25345967867212E-02 
389	 4,73683332327909E-03 
390	 2,46981200654241E-03 
391	 8,1823984457723E-03 
392	 1,02777722831921E-02 
393	 4,53593545776833E-03 
394	-4,1537332838247E-03 
395	 2,34505953290916E-03 
396	 5,3843418069418E-03 
397	-9,67418180720558E-04 
398	 1,48038744410716E-02 
399	 3,21864068604028E-02 
400	 1,85476538037747E-02 
401	 1,09895333690298E-02 
402	 1,48190988940387E-02 
403	 7,95750981363543E-03 
404	 3,07170714799593E-03 
405	 8,41456606850455E-03 
406	 1,19581978779021E-02 
407	 0,011402452726649 
408	 4,23362726874386E-03 
409	 7,78148306887327E-03 
410	 2,19647714377605E-02 
411	 2,32806653722858E-02 
412	 1,78632829238961E-02 
413	 1,29487400580822E-02 
414	 1,28307681186997E-02 
415	 1,60884561178207E-02 
416	 1,70913807254741E-02 
