Wavelength	GRA-VAN00783.asd
325	 0,159388824302085 
326	 0,127045003780449 
327	 0,21331296138945 
328	 0,346364729817917 
329	 0,312500715755399 
330	 0,182660787087112 
331	 0,172578183035241 
332	 0,319852982248388 
333	 0,485983735543011 
334	 0,340914451378311 
335	 0,259996755911383 
336	 0,354827776813921 
337	 0,329097494550356 
338	 0,285343733396304 
339	 0,308626909807787 
340	 0,300786075539768 
341	 0,265946380122266 
342	 0,223176940342734 
343	 0,21894982944979 
344	 0,249874251360426 
345	 0,209175261255464 
346	 0,180166716758515 
347	 0,251569635607852 
348	 0,201608602508794 
349	 8,05188279982821E-02 
350	 0,151007840750421 
351	 0,21830437260656 
352	 0,207771934496072 
353	 0,192023123315613 
354	 0,179789033641006 
355	 0,177908120801605 
356	 0,181339605814871 
357	 0,191181231025797 
358	 0,221256800643325 
359	 0,231799378639038 
360	 0,207147923974541 
361	 0,20009806930425 
362	 0,196391759929935 
363	 0,170093532463463 
364	 0,177062528291132 
365	 0,211691855524988 
366	 0,197799627123679 
367	 0,191354164586589 
368	 0,220008027670536 
369	 0,218211995526098 
370	 0,19998472141294 
371	 0,203834347484827 
372	 0,200843177133167 
373	 0,18861838708501 
374	 0,18721493905643 
375	 0,188793665375701 
376	 0,187188968963795 
377	 0,18354278999157 
378	 0,181914935033776 
379	 0,190634154485323 
380	 0,204411782024472 
381	 0,218803725550352 
382	 0,222213424360695 
383	 0,214952973157087 
384	 0,198916463638107 
385	 0,192455829668014 
386	 0,195816895322725 
387	 0,199235594092207 
388	 0,201226291802503 
389	 0,2011948017059 
390	 0,204615447363429 
391	 0,207186884621516 
392	 0,203687648603769 
393	 0,202072610467086 
394	 0,202366709924147 
395	 0,198882413767128 
396	 0,195878333607661 
397	 0,196239426158849 
398	 0,205784017863416 
399	 0,21166413304899 
400	 0,193976306153264 
401	 0,190368946174531 
402	 0,202712065681312 
403	 0,200790501685809 
404	 0,193121937114819 
405	 0,187583020321415 
406	 0,198549330440809 
407	 0,212777241030745 
408	 0,202187000354732 
409	 0,195835484596788 
410	 0,199818499909645 
411	 0,198101613048451 
412	 0,194535120602435 
413	 0,193463636806503 
414	 0,194775001853362 
415	 0,19567870810585 
416	 0,189075642471847 
417	 0,182212124438816 
418	 0,17994335685524 
419	 0,190134848510058 
420	 0,20138518312323 
421	 0,199857493686216 
422	 0,19726270922197 
423	 0,196196245957576 
424	 0,195486502542818 
425	 0,195244985685711 
426	 0,195361911196897 
427	 0,194344830653876 
428	 0,193386530708047 
429	 0,195265672522075 
430	 0,19370809749629 
431	 0,189060184641172 
432	 0,191038304023127 
433	 0,19589669378412 
434	 0,199579344485332 
435	 0,196476142348635 
436	 0,189643627496604 
437	 0,18919525275274 
438	 0,191502605380204 
439	 0,194248364889748 
440	 0,191969477867791 
441	 0,189508390769213 
442	 0,193513579107889 
443	 0,196511296097456 
444	 0,197285200345605 
445	 0,198234545106019 
446	 0,198815334760805 
447	 0,198800180006003 
448	 0,199208865013703 
449	 0,199182502412829 
450	 0,196431634003224 
451	 0,198033048773145 
452	 0,20366378545771 
453	 0,201726989962395 
454	 0,197807340765852 
455	 0,197581931038236 
456	 0,200312449492379 
457	 0,203681715221546 
458	 0,202000944836462 
459	 0,200352353286374 
460	 0,200915976203094 
461	 0,202436360673108 
462	 0,203348283776118 
463	 0,201751838121126 
464	 0,201976836531029 
465	 0,203904245296857 
466	 0,202761893236105 
467	 0,20261182576511 
468	 0,205701667501648 
469	 0,207186452011919 
470	 0,206081508216193 
471	 0,201439765116773 
