Wavelength	BELON00273.asd
325	 0,27342572108949 
326	 0,230550685922587 
327	 0,221926800412177 
328	 0,201377370943212 
329	 7,94110134475246E-02 
330	 4,29040554611229E-02 
331	 0,228606886036187 
332	 0,251856993352219 
333	 0,161511849672526 
334	 0,16945037464942 
335	 0,205138410276821 
336	 0,233353481062684 
337	 0,168540198386128 
338	 0,104665118407893 
339	 0,121717079234018 
340	 0,269231456402267 
341	 0,397963655509357 
342	 0,289914288811171 
343	 0,207058124992104 
344	 0,204501474883495 
345	 0,191644552452242 
346	 0,203482369392149 
347	 0,272289550515532 
348	 0,282172202319868 
349	 0,24564742534341 
350	 0,240456536903282 
351	 0,267751232621622 
352	 0,313516618578702 
353	 0,292601755871138 
354	 0,239267663425602 
355	 0,212168996691859 
356	 0,223003425403708 
357	 0,258578154069418 
358	 0,286646164768186 
359	 0,275020456799388 
360	 0,221557190837952 
361	 0,228722326865909 
362	 0,261130307515231 
363	 0,254229472746931 
364	 0,243255276916201 
365	 0,239538589077604 
366	 0,257007632714038 
367	 0,264008329938921 
368	 0,246306716185854 
369	 0,250036453177946 
370	 0,26352502520363 
371	 0,253747662551959 
372	 0,259302213821164 
373	 0,277930469514973 
374	 0,253579827047731 
375	 0,234079814344366 
376	 0,254257201124232 
377	 0,263534616643492 
378	 0,26396504247902 
379	 0,278132210700008 
380	 0,275719588642739 
381	 0,257381275503513 
382	 0,280478476200318 
383	 0,298368622997138 
384	 0,270414075454087 
385	 0,254918382138344 
386	 0,258003530218378 
387	 0,265660395236905 
388	 0,265804621129356 
389	 0,256952171606401 
390	 0,26355150883936 
391	 0,268984867671405 
392	 0,252128348211277 
393	 0,258714223538333 
394	 0,281063474713699 
395	 0,266779549613272 
396	 0,259014259141193 
397	 0,277906509740128 
398	 0,2965489695696 
399	 0,305167827691345 
400	 0,294375973545605 
401	 0,284853982205768 
402	 0,280740963983167 
403	 0,272192993707056 
404	 0,268838386014107 
405	 0,275892646766401 
406	 0,279934932968158 
407	 0,280004235568184 
408	 0,278480961644542 
409	 0,277726738123618 
410	 0,279148887058647 
411	 0,285215241429541 
412	 0,289007770981006 
413	 0,284808085480082 
414	 0,281558957301339 
415	 0,2802215485208 
416	 0,27791430906976 
417	 0,279707579641367 
418	 0,285479282480953 
419	 0,282465694094612 
420	 0,276846793954097 
421	 0,277794301369002 
422	 0,278031523125242 
423	 0,276851290210847 
424	 0,27717845665623 
425	 0,278312866189913 
426	 0,279673141040088 
427	 0,280497811864161 
428	 0,281162385608684 
429	 0,282721380313631 
430	 0,282372704019178 
431	 0,280213674025335 
432	 0,280435257877864 
433	 0,280505367067249 
434	 0,278326612477822 
435	 0,278898915288433 
436	 0,281767625247826 
437	 0,283920654776797 
438	 0,284020948690644 
439	 0,282077797875618 
440	 0,282234128335448 
441	 0,283689438477757 
442	 0,284945468514435 
443	 0,28472330664756 
444	 0,283877147312291 
445	 0,286851118809738 
446	 0,288170987392045 
447	 0,285037795206844 
448	 0,284031572387903 
449	 0,285248718434891 
450	 0,287106711346733 
451	 0,288724172521646 
452	 0,289755365284315 
453	 0,290745675364414 
454	 0,291869258536433 
455	 0,293106925217779 
456	 0,291152025843241 
457	 0,287642284538344 
458	 0,288056533624867 
459	 0,290652388855539 
460	 0,293675610964256 
461	 0,291001151976805 
462	 0,287858501575983 
463	 0,291890949835906 
464	 0,293949919070699 
465	 0,292674388460605 
466	 0,29146507660247 
467	 0,291972004520535 
468	 0,294834892781574 
469	 0,295030483167578 
470	 0,293768498159739 
471	 0,294991782002771 
472	 0,296175604290842 
473	 0,296387750738498 
474	 0,294896917849941 
475	 0,294059542773402 
476	 0,296103738703373 
477	 0,298197196178502 
478	 0,29916739011285 
479	 0,297675210068755 
480	 0,296186660818887 
481	 0,29585286155677 
482	 0,295172789214413 
483	 0,294951498787898 
484	 0,296598939792055 
485	 0,297751556953717 
486	 0,297711407837997 
487	 0,296478689018054 
488	 0,29575738498728 
489	 0,29666147469288 
490	 0,296342906237134 
491	 0,295269977656295 
492	 0,295354884610748 
493	 0,296653737862052 
494	 0,298635881778726 
495	 0,298398238866002 
496	 0,297112152543958 
497	 0,296363784545647 
498	 0,296875083369132 
499	 0,298381463216156 
500	 0,29956296799909 
501	 0,300007679731382 
502	 0,299723701706837 
503	 0,301087467003407 
504	 0,30272169976043 
505	 0,301624173847516 
506	 0,301451935172426 
507	 0,30276327122369 
508	 0,30283664221547 
509	 0,302931163701021 
510	 0,304227262908657 
511	 0,305671835283196 
512	 0,306798093277899 
513	 0,306886320552351 
514	 0,307360163767612 
515	 0,30864210862967 
516	 0,30890426483709 
517	 0,309102124367599 
518	 0,310861164698448 
519	 0,310875526139176 
520	 0,309234318356795 
521	 0,309490667338752 
522	 0,309862074071777 
523	 0,309154089601953 
524	 0,309403675985009 
525	 0,310247432423951 
526	 0,310259847183466 
527	 0,309850881459986 
528	 0,30929822274073 
529	 0,309537096699959 
530	 0,309539496063961 
531	 0,308098000482694 
532	 0,308062045465908 
533	 0,30940473106186 
534	 0,310018330938617 
535	 0,310128116671144 
536	 0,309860887179526 
537	 0,309338177462018 
538	 0,308907797103033 
539	 0,309121129781512 
540	 0,309413630034698 
541	 0,309548597256672 
542	 0,309340167787686 
543	 0,309244004107137 
544	 0,309690923676678 
545	 0,310206100383465 
546	 0,310527486465727 
547	 0,310275071020558 
548	 0,309830718340272 
549	 0,309545572636933 
550	 0,310285513518863 
551	 0,311309851042859 
552	 0,311310309078298 
553	 0,311864710517028 
554	 0,312864639999458 
555	 0,312175097310601 
