Wavelength	SCO-GRA00485.asd
325	 0,199523734639319 
326	 4,85489706936862E-02 
327	-0,125297062069109 
328	-0,145409047018847 
329	-3,79363575136636E-02 
330	 5,31386730537115E-02 
331	 9,64672672174021E-02 
332	 0,110599183841668 
333	 0,112118203266622 
334	 0,134252311987437 
335	 0,108904558931863 
336	 4,34922697522745E-02 
337	 9,00052787507071E-02 
338	 0,122442285693771 
339	 3,80228023960632E-02 
340	 3,13236917984823E-02 
341	 7,85395222909281E-02 
342	 6,50717555123568E-02 
343	 2,79002080020776E-02 
344	-0,010339327748033 
345	 1,24664812196806E-02 
346	 4,81876600944227E-02 
347	 0,056232113220196 
348	 6,49236653501822E-02 
349	 7,75694392646696E-02 
350	 9,43176200231647E-02 
351	 9,29783176685496E-02 
352	 7,37182867568236E-02 
353	 8,04133711498749E-02 
354	 9,17045100363821E-02 
355	 0,080091501626752 
356	 7,07468038362298E-02 
357	 7,05925164963626E-02 
358	 7,93658045111297E-02 
359	 0,092084782298921 
360	 0,10177226026362 
361	 7,44559179712422E-02 
362	 5,42774721837073E-02 
363	 0,102481802628659 
364	 0,123086066162222 
365	 0,103648362988293 
366	 9,22537498432641E-02 
367	 7,94766293946822E-02 
368	 6,33325882990868E-02 
369	 7,70560610464618E-02 
370	 9,98722041373016E-02 
371	 9,20150324422135E-02 
372	 7,11884816950335E-02 
373	 5,60466051548154E-02 
374	 9,90983815823299E-02 
375	 0,132813788606794 
376	 0,111870961123326 
377	 9,76702169598083E-02 
378	 9,61936311545089E-02 
379	 9,50763514266757E-02 
380	 9,22951063513313E-02 
381	 0,088646201350673 
382	 9,51181747061236E-02 
383	 9,58549440637219E-02 
384	 7,70323800704139E-02 
385	 7,75600738841476E-02 
386	 9,15699906334364E-02 
387	 0,085917887651106 
388	 9,55657497383666E-02 
389	 0,122522029691095 
390	 0,105833246252981 
391	 7,73899857427967E-02 
392	 8,10928610074555E-02 
393	 9,13840302713834E-02 
394	 0,100398521818034 
395	 0,104418144065343 
396	 0,101639058475108 
397	 9,29067246183431E-02 
398	 8,88659196854057E-02 
399	 9,08876898960348E-02 
400	 9,93397728310366E-02 
401	 9,74485497319344E-02 
402	 8,75373227588529E-02 
403	 9,65498056700929E-02 
404	 9,99769266354291E-02 
405	 0,083828074730065 
406	 8,67134925823848E-02 
407	 0,098151207314486 
408	 8,40468636487944E-02 
409	 8,21331473888056E-02 
410	 9,58985239631649E-02 
411	 8,80865150304774E-02 
412	 7,89901536089783E-02 
413	 8,81769772734397E-02 
414	 0,092546097131587 
415	 9,08548677238543E-02 
416	 9,06900831288986E-02 
417	 9,11141093987853E-02 
418	 9,21416055802063E-02 
419	 9,52438368361498E-02 
420	 9,72801495295003E-02 
421	 9,44383237274618E-02 
422	 0,092063935116183 
423	 9,12489154340902E-02 
424	 9,10735744528453E-02 
425	 8,98602809885987E-02 
426	 0,087360126279639 
427	 9,06144155538818E-02 
428	 9,54668563686666E-02 
429	 9,30092577312783E-02 
430	 9,05283221754695E-02 
431	 9,05669862081449E-02 
432	 9,41523059986458E-02 
433	 9,71694008563253E-02 
434	 9,62137748614093E-02 
435	 9,66524232786062E-02 
436	 9,79054334731783E-02 
437	 9,60189277465347E-02 
438	 9,36180008431587E-02 
439	 9,20669516986301E-02 
440	 0,092428330375485 
441	 9,40027631517039E-02 
442	 9,57886135289194E-02 
443	 9,55863343388438E-02 
444	 9,39616642793449E-02 
445	 9,47727152083971E-02 
446	 9,56526037255446E-02 
447	 9,54010596651817E-02 
448	 9,71831745851736E-02 
449	 9,94867960182317E-02 
450	 0,098953109608237 
451	 9,69567355047156E-02 
452	 9,48054289033141E-02 
453	 9,60692466518111E-02 
454	 9,80921304917622E-02 
455	 9,83121980776929E-02 
456	 9,78599049873245E-02 
457	 9,73953500777615E-02 
458	 9,80758163132683E-02 
459	 9,91808636684072E-02 
460	 0,100107495993784 
461	 9,90647037854448E-02 
462	 9,80622300545956E-02 
463	 9,99644731323681E-02 
464	 0,100138943180584 
465	 9,81019597155525E-02 
466	 9,60373875638604E-02 
467	 9,58784709725795E-02 
468	 9,85567877543301E-02 
469	 0,100213618103346 
470	 0,100260958843999 
471	 9,87078648399446E-02 
472	 9,80602749714991E-02 
473	 9,87654522655904E-02 
474	 9,84371142690111E-02 
475	 9,73092058907406E-02 
476	 9,57849869877408E-02 
477	 9,46007407020981E-02 
478	 9,45062395741089E-02 
479	 9,69222078175901E-02 
480	 9,95435539589975E-02 
481	 0,101146700618163 
482	 0,102206434978243 
483	 0,102154365807859 
484	 0,100116008155404 
485	 9,86100904998504E-02 
486	 9,83158183047834E-02 
487	 9,87496415875328E-02 
488	 9,91100217573875E-02 
489	 9,88326269654097E-02 
490	 9,86985835747571E-02 
491	 9,88674717723339E-02 
492	 9,96489699044187E-02 
493	 9,90951859349522E-02 
494	 9,71057901076391E-02 
495	 9,71073475023248E-02 
496	 9,79171469526217E-02 
497	 9,79197335653024E-02 
498	 9,84916747179154E-02 
499	 9,91708647463439E-02 
500	 9,74037184949037E-02 
501	 9,70938853830596E-02 
502	 9,98730205644842E-02 
503	 9,96517856144199E-02 
504	 9,80285691310205E-02 
505	 9,91995415952663E-02 
506	 9,99652326329541E-02 
507	 9,99073531976192E-02 
508	 0,101462773601989 
509	 0,102810857647459 
510	 0,102294514815408 
511	 0,101317404635419 
512	 0,100561942034088 
513	 0,100983078334396 
514	 0,101253130130848 
515	 0,100996948319553 
516	 0,101899182338629 
517	 0,103040680627057 
518	 0,102961627103748 
519	 0,103116202894201 
520	 0,103720294043096 
521	 0,104375330810433 
522	 0,103931898883135 
523	 0,101886524013684 
524	 0,102109698221259 
525	 0,10371822438398 
526	 0,103311301697952 
527	 0,102927635280998 
528	 0,103149745520798 
529	 0,103532845865901 
530	 0,103470112002015 
531	 0,102340229200006 
532	 0,101792842012659 
533	 0,102072591278201 
534	 0,102603643570462 
535	 0,103111865846671 
536	 0,103435325062493 
537	 0,104045011661308 
538	 0,104376424936195 
539	 0,10321409226217 
540	 0,10265226880768 
541	 0,10307393478631 
542	 0,102696695555776 
543	 0,102707924490391 
544	 0,104231055812701 
545	 0,104674113403315 
546	 0,10397582194233 
547	 0,103442616584063 
548	 0,103302360486534 
549	 0,103659092207344 
550	 0,104029412003581 
551	 0,104135859648898 
552	 0,103630594550396 
553	 0,103669921903267 
554	 0,104229641380172 
555	 0,103805593001509 
556	 0,103071918515695 
557	 0,102665461334913 
558	 0,102914374848011 
559	 0,103472247698116 
560	 0,103316406222984 
561	 0,103151396119334 
562	 0,103200335391304 
563	 0,103085324563799 
564	 0,102867922165886 
565	 0,102673949914265 
566	 0,102216489180663 
567	 0,10166990430357 
568	 0,101801602880228 
569	 0,102250894669449 
570	 0,102740930604184 
571	 0,103198258081655 
572	 0,103747178566207 
573	 0,104753687461121 
574	 0,10559124598019 
575	 0,106036247045401 
576	 0,106211486660745 
577	 0,106659573738839 
578	 0,10793048072542 
579	 0,108116840778731 
580	 0,107610533769148 
581	 0,109089906657472 
