Wavelength	CAMFROU00432.asd
325	 0,18153924274918 
326	 0,267479304853078 
327	 0,24826045092019 
328	 0,188519745564796 
329	 0,182717934599042 
330	 0,1551887861359 
331	 5,11777399463654E-02 
332	 0,082844696644026 
333	 0,200259207140669 
334	 0,201657214313683 
335	 0,150491407742121 
336	 8,20047272115648E-02 
337	 6,71968852498456E-02 
338	 7,76677143797254E-02 
339	 8,67393810952675E-02 
340	 9,25625070246963E-02 
341	 7,90432424419466E-02 
342	 9,52261562448583E-03 
343	-3,23230062104118E-02 
344	-2,56816530353255E-02 
345	 3,49393472330601E-02 
346	 8,98374779278658E-02 
347	 0,112651898971312 
348	 9,06775338601733E-02 
349	 5,19652788606476E-02 
350	 9,59760269088821E-02 
351	 0,101453629080783 
352	 4,61461891646951E-02 
353	 0,068757523115345 
354	 9,69612853840147E-02 
355	 4,65542052207791E-02 
356	 0,037135012385874 
357	 6,39556230821607E-02 
358	 3,93991082592843E-02 
359	 2,41877873604973E-02 
360	 4,27565117675968E-02 
361	 3,80728560274632E-02 
362	 2,14330162574128E-02 
363	 1,67504639203348E-02 
364	 1,66183196497755E-02 
365	 1,64476531698592E-02 
366	 4,08328193785755E-03 
367	 0,001324932956379 
368	 1,96175881592499E-02 
369	 2,01458118253966E-02 
370	 2,31442242648522E-02 
371	 7,27415740604723E-02 
372	 8,79649760165251E-02 
373	 5,68312440515074E-02 
374	 3,92029025472137E-02 
375	 0,030298993010515 
376	 2,73904578126556E-02 
377	 4,30378036895812E-02 
378	 6,21290244371903E-02 
379	 4,76094821620274E-02 
380	 4,72642632104072E-02 
381	 6,85003662806718E-02 
382	 6,41321731865197E-02 
383	 5,54072893055944E-02 
384	 6,25489840538641E-02 
385	 5,22031024599987E-02 
386	 2,80411359886558E-02 
387	 1,21336680718914E-02 
388	 0,02681212608787 
389	 6,62813344426787E-02 
390	 6,61671092473306E-02 
391	 4,43788021644861E-02 
392	 2,89414935033335E-02 
393	 2,51310286845231E-02 
394	 2,99285789757751E-02 
395	 2,86207034853407E-02 
396	 3,19280597049008E-02 
397	 4,21252538880619E-02 
398	 3,82964066736693E-02 
399	 2,77315776136237E-02 
400	 2,39228911870545E-02 
401	 3,02012370084509E-02 
402	 4,22596182520882E-02 
403	 4,16094080122355E-02 
404	 3,74369746503304E-02 
405	 3,65008094956638E-02 
406	 3,87670231340826E-02 
407	 4,21597227995656E-02 
408	 0,042110667091916 
409	 4,47959787346344E-02 
410	 4,85659206915677E-02 
411	 3,78630596923418E-02 
412	 2,58950074831318E-02 
413	 2,57774450432817E-02 
414	 2,73300292857532E-02 
415	 2,84634564196674E-02 
416	 2,81005055409779E-02 
417	 3,37335802105791E-02 
418	 4,50413694813378E-02 
419	 4,21810262349733E-02 
420	 3,42999989131262E-02 
421	 3,52359775773049E-02 
422	 3,58776274821337E-02 
423	 3,45565217833723E-02 
424	 3,19781079266756E-02 
425	 3,12680041562084E-02 
426	 3,39109777433065E-02 
427	 3,50813344003973E-02 
428	 3,50052138221991E-02 
429	 3,52193636576616E-02 
430	 3,63736844842478E-02 
431	 3,77949644393915E-02 
432	 3,55627453452788E-02 
433	 3,35796168862385E-02 
434	 3,51569142276197E-02 
435	 3,45413254391205E-02 
436	 3,17898969519034E-02 
437	 2,88388376413526E-02 
438	 3,02739872558248E-02 
439	 3,64459106249738E-02 
440	 3,74364455977316E-02 
441	 3,50002141810485E-02 
442	 3,25130354471679E-02 
443	 3,43700471805548E-02 
444	 3,87120551086683E-02 
445	 3,52026638233951E-02 
446	 3,21071280985364E-02 
447	 3,44341409712468E-02 
448	 3,71531121675282E-02 
449	 0,038693236217126 
450	 3,72845513993569E-02 
451	 3,77986222365809E-02 
452	 4,05001224357742E-02 
453	 3,93547691224724E-02 
454	 3,66660571915145E-02 
455	 3,50071603499716E-02 
456	 3,73778940602792E-02 
457	 4,18169075581594E-02 
458	 4,21181804518988E-02 
459	 4,05418525486985E-02 
460	 3,83706690201561E-02 
461	 3,78777089320268E-02 
462	 0,037359981219202 
463	 3,42032382574361E-02 
464	 0,034016973308987 
465	 3,70140320434495E-02 
466	 3,90447938690678E-02 
467	 3,97678835738351E-02 
468	 3,91130455431712E-02 
469	 0,038927993871637 
470	 3,95892869627129E-02 
471	 4,13448411395885E-02 
472	 4,20493787603688E-02 
473	 4,14035902323911E-02 
474	 4,18946651180486E-02 
475	 4,25827601809461E-02 
476	 4,24579784037687E-02 
477	 4,28457484744072E-02 
478	 4,31715750865758E-02 
479	 4,08123522797287E-02 
480	 4,00824737311915E-02 
481	 4,22439018573284E-02 
482	 4,06277125604326E-02 
483	 3,85170224011204E-02 
484	 0,04176932603484 
485	 4,38375577944925E-02 
486	 4,29960076644446E-02 
487	 3,96229465858378E-02 
488	 3,79831618691405E-02 
489	 4,09775924665352E-02 
490	 4,38689044239946E-02 
