Wavelength	GOOSEBAR00425.asd
325	-0,343099411504145 
326	 0,140033818679847 
327	 0,182356027448327 
328	-0,180129039870876 
329	-0,133310008358116 
330	 5,13306138306138E-02 
331	 0,12731544924009 
332	 0,072070686249777 
333	 7,4784993144709E-05 
334	 4,13278995228496E-02 
335	 0,111319317233305 
336	 0,126215719193881 
337	 8,59765244729577E-02 
338	 1,96016585376043E-02 
339	-3,38337224612358E-02 
340	 2,60903025697733E-02 
341	 0,132046410163114 
342	 0,186670389040269 
343	 0,168455762772721 
344	 9,00754739945541E-02 
345	 6,84074080650603E-02 
346	 6,63776520561484E-02 
347	 0,037448232279819 
348	 3,51598158020653E-02 
349	 5,18405767047702E-02 
350	 4,78669187924509E-02 
351	 3,94233139612312E-02 
352	 3,60161537918294E-02 
353	 6,25461193086742E-02 
354	 8,19443140200958E-02 
355	 6,10249838479636E-02 
356	 0,067179434008387 
357	 8,60115697111472E-02 
358	 2,08738830478204E-02 
359	-0,016811314538206 
360	 1,57460137398484E-02 
361	 5,57813355227148E-02 
362	 8,40882308376065E-02 
363	 8,01170840897886E-02 
364	 6,30276950211486E-02 
365	 4,37128875650374E-02 
366	 5,32192007752749E-02 
367	 4,48436510795673E-02 
368	-4,08387361343171E-04 
369	 0,026317864268981 
370	 7,48912315310558E-02 
371	 4,08575272463565E-02 
372	 2,16098095906951E-02 
373	 3,67089436713097E-02 
374	 3,71705194915977E-02 
375	 3,51419334028743E-02 
376	 0,040486726306804 
377	 5,65848685468497E-02 
378	 6,57190616691161E-02 
379	 3,19456674955079E-02 
380	 1,59786326370304E-02 
381	 3,18814258146383E-02 
382	 2,72762640003781E-02 
383	 3,00049485484258E-02 
384	 6,53588614211945E-02 
385	 6,82384990737444E-02 
386	 4,54291640226961E-02 
387	 4,21247600997626E-02 
388	 3,61062228693411E-02 
389	 0,024194568164894 
390	 3,10088544124607E-02 
391	 4,57491451942446E-02 
392	 0,054426062371923 
393	 6,34795217039083E-02 
394	 6,69132576090687E-02 
395	 4,24827684078632E-02 
396	 2,82904779952128E-02 
397	 4,14602437123901E-02 
398	 5,02339954438437E-02 
399	 4,88269690375136E-02 
400	 3,31989949558949E-02 
401	 2,89867324524223E-02 
402	 4,00049174697375E-02 
403	 5,71678756921492E-02 
404	 6,10468104774805E-02 
