Wavelength	AULNE200134.asd
325	 0,142706440404557 
326	 0,199686945538065 
327	 0,244577931627412 
328	 0,25239857685236 
329	 0,147451143387135 
330	 8,63894173862361E-02 
331	 0,203325564799509 
332	 0,15747000341346 
333	 2,66107851594357E-02 
334	 9,95913163077976E-02 
335	 0,104753605475876 
336	 2,31220685343782E-02 
337	 0,100035309775376 
338	 0,153748567477961 
339	 8,80610380298119E-03 
340	-5,37055770347069E-03 
341	 7,38032783660716E-02 
342	 5,77028071079063E-02 
343	 2,04494401907283E-02 
344	-1,29245483695609E-02 
345	 1,67100123934352E-02 
346	 4,61722433921407E-02 
347	 0,030258851502854 
348	 4,25791272367292E-03 
349	-4,16030667301401E-03 
350	 0,060214039709039 
351	 8,67692146560873E-02 
352	 4,38948869358381E-02 
353	 2,34363482269831E-02 
354	 2,43420698410539E-02 
355	 3,37661986402102E-02 
356	 3,91586552575141E-02 
357	 3,98166500197682E-02 
358	 4,90593091705454E-02 
359	 3,26466895170869E-02 
360	-1,54485288390388E-02 
361	-3,81144881735388E-03 
362	 3,31765873223915E-02 
363	 3,96826257380009E-02 
364	 4,16940344351483E-02 
365	 4,29991022335042E-02 
366	 3,62600786296164E-02 
367	 3,91629111396566E-02 
368	 5,58655499038691E-02 
369	 3,54990917766104E-02 
370	-4,82510130467346E-04 
371	 2,24206782095816E-03 
372	 7,38063914952766E-03 
373	 1,02704699198684E-02 
374	 3,99427148605578E-02 
375	 4,57403100185517E-02 
376	-2,81654142320155E-03 
377	 4,19837641331041E-03 
378	 4,32838309527276E-02 
379	 2,96246269502638E-02 
380	 1,86769318505845E-02 
381	 2,58219329985994E-02 
382	 0,031290771873391 
383	 3,33094121412702E-02 
384	 0,031131836757628 
385	 4,20780992577355E-02 
386	 5,33665581535376E-02 
387	 0,02630447105945 
388	 1,36389444858514E-02 
389	 3,27302289256538E-02 
390	 3,36343544960365E-02 
391	 2,69725720264102E-02 
392	 3,00871905192663E-02 
393	 3,16190737720943E-02 
394	 0,028872169407429 
395	 1,90204668943152E-02 
396	 1,50296510619287E-02 
397	 0,022048139855063 
398	 2,56655868941353E-02 
399	 2,88643162192162E-02 
400	 3,92821590869765E-02 
401	 4,00072719488714E-02 
402	 2,99265706608472E-02 
403	 2,01273206658453E-02 
404	 1,49161501644149E-02 
405	 1,67203800259438E-02 
406	 2,19447397256239E-02 
407	 2,80256982212722E-02 
408	 3,29105275645433E-02 
409	 3,13365999721184E-02 
410	 2,36412370219172E-02 
411	 1,79289042071378E-02 
412	 1,66021411722011E-02 
413	 2,11619926721033E-02 
414	 0,029231462538806 
415	 3,44886420276926E-02 
416	 2,12920204713906E-02 
417	 1,58191031319795E-02 
418	 2,56722075255656E-02 
419	 0,023233789301866 
420	 1,72836347242747E-02 
421	 2,17869970207516E-02 
422	 2,47478853665835E-02 
423	 2,39754193743329E-02 
424	 2,07253410372367E-02 
425	 2,00388837137702E-02 
426	 2,40166594060706E-02 
427	 2,31343269076664E-02 
428	 1,94147270468637E-02 
429	 1,88485815548017E-02 
430	 1,76636052284481E-02 
431	 1,58316085626794E-02 
432	 1,77842359774651E-02 
433	 0,019187798968465 
434	 1,65262944545375E-02 
435	 1,85849555743686E-02 
436	 2,28059220696168E-02 
437	 1,86830616999635E-02 
438	 1,48490450526457E-02 
439	 1,49874492340163E-02 
440	 0,018089386886756 
441	 0,021608773369781 
442	 0,022683111642275 
443	 2,06276649250408E-02 
444	 0,016923878738744 
445	 1,63375287577011E-02 
446	 1,87456702153228E-02 
447	 2,29577460404443E-02 
448	 1,95854935910668E-02 
449	 1,37804538184403E-02 
450	 1,76448664233807E-02 
451	 2,16460973044107E-02 
452	 0,022811517525732 
453	 0,021942057588593 
454	 2,05212603601443E-02 
455	 1,99834064441431E-02 
456	 2,06575360666879E-02 
457	 2,15809437053685E-02 
458	 1,94920259544607E-02 
459	 2,03859042275856E-02 
460	 2,55806424148562E-02 
461	 2,65250538018724E-02 
462	 0,024756862079776 
463	 2,34103347054996E-02 
464	 2,23384706465787E-02 
465	 2,16079480795113E-02 
466	 2,07689830903661E-02 
467	 2,08585948546762E-02 
468	 2,23437800003064E-02 
469	 2,30886345277311E-02 
470	 2,29891822342105E-02 
471	 2,25156309138238E-02 
472	 2,21396592147841E-02 
473	 0,021864330780484 
474	 2,07397044741653E-02 
475	 1,94427559764896E-02 
476	 0,018689966565371 
477	 1,73831914340957E-02 
478	 1,67855769794485E-02 
479	 2,14366630759374E-02 
480	 2,38471908296995E-02 
481	 2,09694098908218E-02 
482	 1,79793688662813E-02 
483	 1,68624381119836E-02 
484	 1,95164331503753E-02 
485	 2,09856127454461E-02 
486	 2,05910374491375E-02 
487	 2,17704485650367E-02 
488	 0,022098931147082 
489	 2,00079574438625E-02 
490	 1,95251355759085E-02 
491	 0,019872730720161 
492	 1,70692804732218E-02 
493	 1,76626058396747E-02 
494	 2,24978355111975E-02 
495	 2,34433446373348E-02 
496	 2,16499249808984E-02 
497	 1,92113477950564E-02 
498	 2,05121505945911E-02 
499	 2,39447484217003E-02 
500	 2,09412766462231E-02 
501	 1,87517864589198E-02 
502	 2,09785503090203E-02 
503	 2,11973552384771E-02 
504	 2,00727958966117E-02 
505	 2,01281231955175E-02 
506	 0,020748625452113 
507	 2,15487908004717E-02 
508	 2,15487770422019E-02 
509	 2,11952615284172E-02 
510	 2,09239744485049E-02 
511	 2,01862800441396E-02 
512	 1,96416651411171E-02 
513	 2,13023504153203E-02 
514	 2,24700434250177E-02 
515	 2,20623625224236E-02 
516	 2,14288838594978E-02 
517	 2,12087304761326E-02 
518	 2,20630365222195E-02 
519	 2,29893887519601E-02 
520	 2,34084757998306E-02 
521	 2,23603969391664E-02 
522	 2,13985894193507E-02 
523	 2,16314009051447E-02 
524	 2,20972281491424E-02 
525	 2,24538766353241E-02 
526	 0,022317441943583 
527	 2,21463907846748E-02 
528	 2,20556676875731E-02 
529	 2,16493305804419E-02 
530	 2,14500137600217E-02 
531	 2,20523650044137E-02 
532	 2,16117707780418E-02 
533	 0,020700944350246 
534	 2,27636064316574E-02 
535	 2,36256514735947E-02 
536	 0,021309141858751 
537	 2,11820172421125E-02 
538	 2,25904226504053E-02 
539	 2,30491537421416E-02 
540	 2,27181359959765E-02 
541	 2,18921070922553E-02 
542	 2,20933098013077E-02 
543	 2,23166215703951E-02 
544	 2,16001817030658E-02 
545	 2,23783956935013E-02 
546	 2,40064653176533E-02 
547	 2,33777659584072E-02 
548	 2,26519453817654E-02 
549	 2,28124430910412E-02 
550	 2,28427153907066E-02 
551	 0,022910873242368 
552	 2,34775239216166E-02 
553	 2,33954049487362E-02 
554	 0,02257917163657 
555	 2,19135249293782E-02 
556	 2,21928637292596E-02 
557	 2,38470406348582E-02 
558	 2,39608354110442E-02 
559	 2,28412173892122E-02 
560	 2,26287219424696E-02 
561	 0,022526226628632 
562	 2,23563749972031E-02 
563	 2,26036149615893E-02 
564	 2,30331277277595E-02 
565	 2,32912859367419E-02 
566	 2,37027716868318E-02 
567	 2,42150730332118E-02 
568	 2,43557108880536E-02 
569	 2,46334463719197E-02 
570	 2,53304152903871E-02 
571	 2,55851475952991E-02 
572	 2,53614271970804E-02 
573	 2,47410241009795E-02 
574	 2,49782440354418E-02 
575	 2,62243237260594E-02 
576	 2,64512263068596E-02 
577	 2,65938886047012E-02 
578	 2,78304206531243E-02 
579	 2,87473411412225E-02 
580	 2,88924420015012E-02 
581	 2,78925735209065E-02 
582	 2,70694132668541E-02 
583	 2,72147084713699E-02 
584	 2,77317566617041E-02 
585	 2,83335437355286E-02 
586	 2,87340294991287E-02 
587	 2,84706407184496E-02 
588	 2,78571620547824E-02 
589	 2,89767128555002E-02 
590	 3,00809179030322E-02 
591	 2,95478606711524E-02 
592	 2,96787229337033E-02 
593	 3,00790036365236E-02 
594	 2,81406401092742E-02 
595	 2,74694693821035E-02 
596	 2,92495538360639E-02 
597	 2,91213034931095E-02 
598	 2,79707334153523E-02 
599	 2,78128275036442E-02 
600	 2,81139617922722E-02 
601	 2,85212792621916E-02 
602	 2,81219229001657E-02 
603	 2,75813445119028E-02 
604	 2,74374198867992E-02 
605	 2,73034068221072E-02 
606	 2,72066577416199E-02 
607	 0,027376546701759 
608	 2,75260174953243E-02 
609	 2,74943737927326E-02 
610	 2,71516849050587E-02 
611	 0,026627907412274 
612	 0,026094011572225 
613	 2,59574674998178E-02 
614	 2,61370333091047E-02 
615	 2,59409569853915E-02 
616	 2,59018447972148E-02 
617	 2,63065949115774E-02 
618	 2,65802411995525E-02 
619	 0,026528758794557 
620	 2,58952452281329E-02 
621	 2,56565233373771E-02 
622	 2,59781578349512E-02 
623	 2,58427290602381E-02 
624	 0,025580345823838 
625	 2,55920680682242E-02 
626	 2,58431671399222E-02 
627	 2,62392593972713E-02 
628	 2,66015715070383E-02 
629	 2,65932222709625E-02 
630	 2,61589597354819E-02 
631	 2,63072697784364E-02 
632	 2,67656300512985E-02 
633	 2,68782201520012E-02 
634	 0,027229153273872 
635	 2,77849046197589E-02 
636	 2,76705563817847E-02 
637	 2,78495413868677E-02 
638	 2,90450233550953E-02 
639	 0,0293937167362 
640	 0,02903372731512 
641	 0,029203064742979 
642	 2,93542847517635E-02 
643	 2,93738235306075E-02 
644	 2,97071783818374E-02 
645	 3,02348634310663E-02 
646	 0,030757495060631 
647	 0,030972815176552 
648	 3,07699014533478E-02 
649	 3,00476423359952E-02 
650	 2,95697010631848E-02 
651	 0,029775648459989 
652	 0,029585962683758 
653	 2,90936256209947E-02 
654	 0,028835901870369 
655	 2,85286266446547E-02 
656	 2,81347974722938E-02 
657	 2,78935225854058E-02 
658	 2,76590773426282E-02 
659	 2,72613750889612E-02 
660	 2,65318458432316E-02 
661	 2,56909190407124E-02 
662	 2,54449731429738E-02 
663	 2,52793446315067E-02 
664	 2,49486668337254E-02 
665	 2,47623762392605E-02 
666	 2,44292153361641E-02 
667	 2,34261188519616E-02 
668	 2,29247785836527E-02 
669	 2,30818128736083E-02 
670	 2,30121727415155E-02 
671	 0,022969212180079 
672	 2,31788581041258E-02 
673	 2,38011941541274E-02 
674	 2,42939066351823E-02 
675	 2,31906678886474E-02 
676	 2,26395343883376E-02 
677	 0,023256212475423 
678	 2,35023660206532E-02 
679	 2,34039851046514E-02 
680	 2,31537425528619E-02 
681	 2,35497466227696E-02 
682	 2,43778477512694E-02 
683	 2,43240197025834E-02 
684	 2,40842086003475E-02 
685	 2,41469045605029E-02 
686	 2,49477483186904E-02 
687	 2,58548518690944E-02 
688	 2,56210275626556E-02 
689	 2,57576037105597E-02 
690	 2,66460691429902E-02 
691	 2,76009493191794E-02 
692	 2,90107627599645E-02 
693	 3,12003158564283E-02 
694	 3,33676905483404E-02 
695	 3,56121671820687E-02 
696	 3,86248831372646E-02 
697	 4,18426571270389E-02 
698	 4,51306338141915E-02 
699	 4,90800227554074E-02 
700	 5,35178501116953E-02 
701	 5,81539028812492E-02 
702	 6,30903503013666E-02 
703	 6,82496503400641E-02 
704	 7,34153068732283E-02 
705	 7,85949812573873E-02 
706	 8,37841997970639E-02 
707	 8,90022746575936E-02 
708	 9,41402695134196E-02 
709	 9,90022827871974E-02 
710	 0,103750957760779 
711	 0,108313314944471 
712	 0,112155553677842 
713	 0,11580138156314 
714	 0,119721171444833 
715	 0,123398698741809 
716	 0,12686716342163 
717	 0,130501160586259 
718	 0,133697042153834 
719	 0,136260112089502 
720	 0,138776435060715 
721	 0,141077095918018 
722	 0,14288044049843 
723	 0,144911522466195 
724	 0,147148480879832 
725	 0,148897198573838 
726	 0,150361843075795 
727	 0,151676450136251 
728	 0,152836925101322 
729	 0,153901004477486 
730	 0,154954391751156 
731	 0,155918347091042 
732	 0,156810405616161 
733	 0,157807170744243 
734	 0,158736146204488 
735	 0,15944732004395 
736	 0,160060010264067 
737	 0,160668310509869 
738	 0,161467049478157 
739	 0,162128952904885 
740	 0,162528549922528 
741	 0,162745446693861 
742	 0,162982717906007 
743	 0,163460650318432 
744	 0,164077816037009 
745	 0,164679852528494 
746	 0,16485755363094 
747	 0,165172149919471 
748	 0,165875339024208 
749	 0,166454214702337 
750	 0,166815407089235 
751	 0,166918817482662 
752	 0,167027034880215 
753	 0,167201250147836 
754	 0,16730996113472 
755	 0,167426591600742 
756	 0,167628799021532 
757	 0,168150679969799 
758	 0,16867838516158 
759	 0,168458026724876 
760	 0,168726529698624 
761	 0,169588583887109 
762	 0,169476849946879 
763	 0,169271839629316 
764	 0,16981154207365 
765	 0,169803021979269 
766	 0,169442436836014 
767	 0,169870879236941 
768	 0,170309967017178 
769	 0,170509984344534 
770	 0,17091208349774 
771	 0,171249969903515 
772	 0,171190470350163 
773	 0,171314884908539 
774	 0,171635723525313 
775	 0,171748515211955 
776	 0,171870424533894 
777	 0,172098866781445 
778	 0,172312295827035 
779	 0,172471227328238 
780	 0,172535717845142 
781	 0,172771320493415 
782	 0,173127733213638 
783	 0,173159015410154 
784	 0,17312508827437 
785	 0,173239263145673 
786	 0,173762529970543 
787	 0,17432359050085 
788	 0,174212261245986 
789	 0,173984422985772 
790	 0,173910672707953 
791	 0,17439919693359 
792	 0,174567753659301 
793	 0,173849989425962 
794	 0,174169006901788 
795	 0,175166007232391 
796	 0,175410780242002 
797	 0,175373524127214 
798	 0,175264939169137 
799	 0,175503437848524 
800	 0,175627020109762 
801	 0,175247360464842 
802	 0,175498092430906 
803	 0,176165093450372 
804	 0,176129430560794 
805	 0,176263633190018 
806	 0,176726740831197 
807	 0,176653681071137 
808	 0,176376166581741 
809	 0,176324643528309 
810	 0,176687312987983 
811	 0,177292943786479 
812	 0,177606839068413 
813	 0,177620738411706 
814	 0,177364695052475 
815	 0,177066100583678 
816	 0,177140372224077 
817	 0,1780048056485 
818	 0,178537077289665 
819	 0,178525594102734 
820	 0,178149022463685 
821	 0,178107170406576 
822	 0,178658664447463 
823	 0,178978638465249 
824	 0,178964544977345 
825	 0,178613342292947 
826	 0,178508317986448 
827	 0,178743774165547 
828	 0,179112375290506 
829	 0,179334916864608 
830	 0,179284697016721 
831	 0,179340179418096 
832	 0,179280264005442 
833	 0,178757395365716 
834	 0,179109123559941 
835	 0,18010637386053 
836	 0,179895905722147 
837	 0,179470812739509 
838	 0,179411483201984 
839	 0,179767986587485 
840	 0,180137081625376 
841	 0,179946515699431 
842	 0,179925765610001 
843	 0,180172824962121 
844	 0,180391309472361 
845	 0,180442511001858 
846	 0,180320449138325 
847	 0,180643002774639 
848	 0,180979561758676 
849	 0,180639695543024 
850	 0,180666631328288 
851	 0,181055292884174 
852	 0,180877916209002 
853	 0,180701877701732 
854	 0,180794740640521 
855	 0,180769345114871 
856	 0,180613368878707 
857	 0,180369295485232 
858	 0,180382351956508 
859	 0,180720604307882 
860	 0,181326053349759 
861	 0,18177602540752 
862	 0,181819453329189 
863	 0,181554037209288 
864	 0,181200591238809 
865	 0,181028939611367 
866	 0,181411331488532 
867	 0,182059783906208 
868	 0,181811995365302 
869	 0,181693010753279 
870	 0,182073292138404 
871	 0,182007106917715 
872	 0,181810028944164 
873	 0,18194997072116 
874	 0,182056028778596 
875	 0,182054030970651 
876	 0,181909150882812 
877	 0,182060010861014 
878	 0,182592532819379 
879	 0,18281817579368 
880	 0,18289276136563 
881	 0,183034319486 
882	 0,182930914876687 
883	 0,182702750054798 
884	 0,182761085129433 
885	 0,183084137015977 
886	 0,18356781252031 
887	 0,183763886384971 
888	 0,183622677883736 
889	 0,183191862427882 
890	 0,183257369397964 
891	 0,183693685156394 
892	 0,183909518702219 
893	 0,183885294119565 
894	 0,183752762948604 
895	 0,184294952303653 
896	 0,184454715194501 
897	 0,183579809382828 
898	 0,183924670339148 
899	 0,184676686377948 
900	 0,183769285099217 
901	 0,183004749774883 
902	 0,182928665334087 
903	 0,183446745645735 
904	 0,184221844865065 
905	 0,184883133838531 
906	 0,184625920835632 
907	 0,184064851711027 
908	 0,184206856191436 
