Wavelength	AURAY00100.asd
325	-0,140539078963224 
326	 0,118082165665809 
327	 0,177226165884858 
328	-4,90398198525812E-02 
329	 6,70883487950114E-02 
330	 0,222393049164929 
331	 0,207929701869791 
332	 0,150182095137944 
333	 8,09876415800201E-02 
334	 5,71672911209882E-02 
335	 8,18246237820104E-02 
336	 0,123229766001997 
337	 5,98702605086612E-02 
338	 2,20066005777843E-02 
339	 0,122384176323042 
340	 0,1020495711541 
341	 0,011608787375005 
342	 4,73674938275703E-02 
343	 3,73023937358197E-02 
344	-4,12218878633482E-02 
345	 3,58532381748645E-02 
346	 9,88381668188828E-02 
347	-5,06895041959765E-03 
348	-6,46589782393154E-02 
349	-4,14501550362074E-02 
350	 2,81776424685115E-02 
351	 0,069648630310126 
352	 6,13609157169823E-02 
353	 3,81521829903111E-02 
354	 2,07457383256614E-02 
355	 3,19425504626806E-02 
356	 0,040719368443514 
357	 0,038399671495122 
358	 1,42697995823736E-02 
359	-2,12134610096587E-03 
360	 4,21940928270042E-03 
361	 4,24477582356042E-02 
362	 7,82656042037578E-02 
363	 6,68428663542202E-02 
364	 5,71596527485328E-02 
365	 0,058744974759481 
366	 6,51954406420471E-02 
367	 0,050033593310267 
368	 5,13708141668789E-03 
369	 0,020387298255494 
370	 5,88512609815996E-02 
371	 0,041632623836618 
372	 4,79117801267184E-03 
373	-2,56791442164242E-02 
374	 9,90807366931254E-03 
375	 4,37629777297922E-02 
376	 2,90259740847273E-02 
377	 8,1969577177985E-03 
378	 4,50344871501326E-03 
379	 5,39382301410467E-02 
380	 6,44529157770022E-02 
381	 2,55669242719432E-02 
382	 1,68876251378763E-02 
383	 2,79817393461834E-02 
384	 4,24331824641563E-02 
385	 4,80594874966616E-02 
386	 4,72590194658602E-02 
387	 5,62929733124711E-02 
388	 0,053617156064558 
389	 0,036293297103541 
390	 3,35355166629109E-02 
391	 0,037333162060655 
392	 3,53251126971303E-02 
393	 4,49505355779219E-02 
394	 5,85722693286193E-02 
395	 4,65100130846029E-02 
396	 3,21517553854552E-02 
397	 2,96653680647832E-02 
398	 3,36088067685139E-02 
