Wavelength	AURAY00199.asd
325	 1,12771016349887E-02 
326	 1,30533654697223E-02 
327	-1,42528711248764E-02 
328	-7,97711792103165E-02 
329	 0,077270055457589 
330	 0,189446587165678 
331	 0,117406817004141 
332	 7,23683193121366E-02 
333	 6,50350191618026E-02 
334	 6,96039668508711E-02 
335	 8,33953595467713E-02 
336	 9,33745656911148E-02 
337	 6,09537991176447E-02 
338	 3,56549624315556E-02 
339	 6,09883459452281E-02 
340	 3,53498983090897E-02 
341	-5,07323895696391E-03 
342	 5,82953115066346E-02 
343	 5,96023389444887E-02 
344	-2,71570359394012E-02 
345	 1,11689914487409E-02 
346	 8,03497904978643E-02 
347	 9,00857483102602E-02 
348	 3,00558367687732E-02 
349	-4,18268513802193E-02 
350	 6,44088262699355E-03 
351	 3,96746071870468E-02 
352	 1,94580943419318E-02 
353	 7,0681301262979E-03 
354	 2,64020467054556E-03 
355	 1,01998446791548E-03 
356	 1,33293577249157E-02 
357	 0,02858842020305 
358	 1,75984328245754E-03 
359	-8,11662108165045E-03 
360	 2,19248778470209E-02 
361	 5,93950994445814E-02 
362	 0,07907973657373 
363	 5,39458482833016E-02 
364	 3,85320733432859E-02 
365	 4,11292906074464E-02 
366	 4,27691844829816E-02 
367	 3,07826874438583E-02 
368	 2,04843938160083E-03 
369	 8,22311246496269E-03 
370	 2,79748844707466E-02 
371	 1,38664252527343E-02 
372	 7,2402182950112E-03 
373	 1,87863087239345E-02 
374	 0,044565720226999 
375	 5,18467270488654E-02 
376	 2,03340158539002E-02 
377	-4,5478122294672E-03 
378	-6,88343013580346E-03 
379	 2,71213570225175E-02 
380	 3,83517521724458E-02 
381	 2,18621449938959E-02 
382	 0,041162571749147 
383	 6,08763061032581E-02 
384	 4,60988732736649E-02 
385	 3,31905726137641E-02 
386	 2,95409932404091E-02 
387	 3,37457577627432E-02 
388	 4,70118930369065E-02 
389	 6,27664474148427E-02 
390	 0,043104171361326 
391	 1,92739873502893E-02 
392	 3,08052765680796E-02 
393	 3,77008560532574E-02 
394	 3,20610824742973E-02 
395	 1,62589210735884E-02 
396	 6,40769126515141E-03 
397	 1,22999860358937E-02 
398	 0,025234352133233 
399	 3,71430695139719E-02 
400	 3,92451877322268E-02 
401	 3,73930322788647E-02 
402	 3,44336560693084E-02 
403	 3,39609405621528E-02 
404	 3,55556850894511E-02 
405	 3,82875106997203E-02 
406	 3,80657059866529E-02 
407	 3,32290700786257E-02 
408	 1,97842513543271E-02 
409	 1,96865394832214E-02 
410	 3,32818198734938E-02 
411	 3,10156636036039E-02 
412	 2,54779165448709E-02 
413	 2,90054556406844E-02 
414	 2,64834975158553E-02 
415	 2,07768168035573E-02 
416	 2,51209774075628E-02 
417	 3,17385783381212E-02 
418	 3,56962587458086E-02 
419	 2,86885227450255E-02 
420	 2,03429997265233E-02 
421	 2,36780399904341E-02 
422	 2,71198339508282E-02 
423	 2,80662665290221E-02 
424	 2,76764242394565E-02 
425	 2,65806247041342E-02 
426	 2,55656964935712E-02 
427	 0,027531827941057 
428	 3,06590140568478E-02 
429	 3,12405145691154E-02 
430	 3,03151154026765E-02 
431	 2,90465467634842E-02 
432	 3,13876783627517E-02 
433	 3,31351084664626E-02 
434	 3,06285876797114E-02 
435	 0,027404003372145 
436	 2,49836484743849E-02 
437	 2,50791260765646E-02 
438	 2,52827812555041E-02 
439	 0,025175120180516 
440	 2,90174920711038E-02 
441	 3,21488332512816E-02 
442	 2,84467030645419E-02 
443	 0,027713460479463 
444	 3,03676023869653E-02 
445	 2,90875390548384E-02 
446	 2,83699343303441E-02 
447	 3,06920490751931E-02 
448	 0,032370525177139 
449	 3,27346012117637E-02 
450	 0,031612390856438 
451	 2,94287258672579E-02 
452	 2,73014767047691E-02 
453	 2,88198604602687E-02 
454	 3,08844464911512E-02 
455	 3,06297085659435E-02 
456	 3,16996037881716E-02 
457	 3,35460341924224E-02 
458	 3,33562164575875E-02 
459	 3,12767724640985E-02 
460	 2,80062938495732E-02 
461	 2,74895946768286E-02 
462	 2,83248989252836E-02 
463	 2,81149110359521E-02 
464	 2,78637836234628E-02 
465	 2,78892825205581E-02 
466	 2,83493367096106E-02 
467	 3,00930316749326E-02 
468	 3,30766452681132E-02 
469	 3,17352862204854E-02 
470	 2,86847292844491E-02 
471	 3,07719817415927E-02 
472	 3,13966299877292E-02 
473	 2,96121314002125E-02 
474	 3,17267493069756E-02 
475	 3,29963895415616E-02 
476	 0,028867184720194 
477	 2,86883357866713E-02 
478	 0,031665446985011 
479	 2,99236823059268E-02 
480	 2,94205717143298E-02 
481	 3,22773517922985E-02 
482	 3,29305681092815E-02 
483	 3,25659202443475E-02 
484	 3,39056243352268E-02 
485	 3,21780258630561E-02 
486	 0,02818074229628 
487	 2,96326761638986E-02 
488	 3,15482405485687E-02 
489	 3,03407591049727E-02 
490	 3,12410839528787E-02 
491	 3,25442906738831E-02 
492	 2,81890208218126E-02 
493	 2,53452975465211E-02 
494	 0,026225807766089 
495	 2,75251024867161E-02 
496	 2,84451985322002E-02 
497	 2,83992029379283E-02 
