Wavelength	PENFOUL00631.asd
325	 0,567567567567568 
326	 0,540124887429147 
327	 0,530342696761716 
328	 0,545569442054715 
329	 0,475759059745348 
330	 0,413670010137272 
331	 0,445318453888964 
332	 0,473639258317557 
333	 0,490469634181356 
334	 0,441927262875255 
335	 0,423871415153869 
336	 0,45062164904795 
337	 0,46116854821155 
338	 0,407981508707346 
339	 0,285415167845362 
340	 0,330795647192553 
341	 0,448173360500431 
342	 0,427576667783049 
343	 0,358462819743917 
344	 0,288445258568887 
345	 0,340597211266954 
346	 0,414539302217317 
347	 0,406161817625394 
348	 0,414129582805952 
349	 0,429645062450409 
350	 0,384661139247153 
351	 0,369994899712046 
352	 0,410294668838598 
353	 0,415442926268195 
354	 0,399270301962044 
355	 0,385689145210653 
356	 0,376004688077608 
357	 0,374330017425061 
358	 0,390846678117538 
359	 0,395459409996131 
360	 0,379344004028874 
361	 0,371711474045163 
362	 0,384096076217579 
363	 0,425289558943461 
364	 0,427953152144185 
365	 0,399537122523091 
366	 0,419651568760317 
367	 0,447183247194261 
368	 0,455444817053207 
369	 0,447297577854671 
370	 0,431823791723757 
371	 0,425196297830657 
372	 0,411858312739255 
373	 0,397186127569728 
374	 0,423995949273861 
375	 0,447397892354145 
376	 0,440465301549423 
377	 0,437591730256039 
378	 0,439453088448309 
379	 0,434130728257355 
380	 0,430903819169107 
381	 0,431045880082899 
382	 0,422219352700788 
383	 0,418598374047223 
384	 0,431919830613862 
385	 0,431734947933234 
386	 0,423680449895045 
387	 0,439662790851048 
388	 0,446594301694102 
389	 0,436313287461249 
390	 0,440508299031172 
391	 0,447781682457757 
392	 0,441917066738632 
393	 0,440489985669325 
394	 0,444700580255246 
395	 0,447364188412047 
396	 0,447256616782201 
397	 0,444258550035459 
398	 0,443255061132975 
399	 0,443350213316706 
400	 0,442104761356522 
401	 0,444588635636722 
402	 0,449668632539593 
403	 0,448157178299608 
404	 0,446430596771923 
405	 0,448262229163538 
406	 0,446000456302767 
407	 0,4423443676991 
408	 0,445698578893697 
409	 0,444363660525243 
410	 0,437920961446745 
411	 0,440456223236946 
412	 0,443229323205552 
413	 0,438040700195738 
414	 0,43656060420442 
415	 0,439729183140794 
416	 0,444629859428066 
417	 0,448100209027366 
418	 0,449005005924931 
419	 0,450244795273512 
420	 0,450419265098572 
421	 0,447419666688136 
422	 0,449991045206331 
423	 0,455414444382743 
424	 0,446888013478085 
425	 0,441295706577114 
426	 0,44737578563808 
427	 0,448842933340553 
428	 0,446662466662395 
429	 0,446461698458526 
430	 0,446201891243795 
431	 0,446242807948545 
432	 0,450110706317098 
433	 0,453572625040059 
434	 0,453114578072741 
435	 0,452773496474507 
436	 0,45341540199576 
437	 0,455898824350128 
438	 0,454744469211222 
439	 0,449314195664585 
440	 0,450163209761892 
441	 0,452682357938991 
442	 0,449949830012199 
443	 0,448354682496392 
444	 0,449258366276592 
445	 0,452322365448243 
446	 0,453753504553296 
447	 0,451704590247615 
448	 0,452199745848214 
449	 0,454104630374322 
450	 0,453640128355795 
451	 0,453327934783161 
452	 0,4542994015097 
453	 0,458705874445026 
454	 0,460427416058287 
455	 0,454436691473001 
456	 0,453136095697706 
457	 0,456340036214799 
458	 0,457116109409327 
459	 0,456340526008242 
460	 0,454699728094643 
461	 0,454895407837567 
462	 0,456967269564782 
463	 0,460543067420166 
464	 0,463552793252504 
465	 0,464776663987643 
466	 0,462326579837474 
467	 0,45997308998352 
468	 0,4601688040296 
469	 0,460649473029661 
470	 0,461374028572378 
471	 0,463019501780964 
472	 0,464020827472881 
473	 0,464219462427173 
474	 0,466033837780126 
475	 0,466482270021459 
476	 0,46282586015869 
477	 0,461882048321051 
478	 0,463696208530443 
479	 0,46419713556755 
480	 0,465097231460914 
481	 0,466681133892708 
482	 0,465702962204189 
483	 0,464464989713019 
484	 0,46682175134344 
485	 0,467445841749745 
486	 0,465914507476823 
487	 0,46628089468217 
488	 0,467259012120126 
489	 0,467743847175136 
490	 0,467179477987915 
491	 0,466297716250181 
492	 0,466978471953639 
493	 0,467622153664707 
494	 0,467667153471757 
495	 0,46732341353951 
496	 0,467030247357085 
497	 0,467250375755063 
498	 0,467544662776398 
499	 0,467675862528393 
500	 0,467142008515322 
501	 0,467130712673984 
502	 0,468257579245766 
503	 0,46973511858021 
504	 0,470723938586235 
505	 0,46989955988405 
506	 0,470042839148532 
507	 0,471516214461904 
508	 0,471921788797756 
509	 0,471771530091071 
510	 0,471713922394109 
511	 0,473321450948541 
512	 0,475733081306443 
513	 0,476088138058057 
514	 0,475895118868763 
515	 0,475938308716291 
516	 0,476910199422759 
517	 0,477864169174187 
518	 0,477378039522409 
519	 0,477457501420744 
520	 0,478382875854539 
521	 0,479373399595515 
522	 0,479357631259577 
523	 0,477809941489911 
524	 0,47770937996943 
525	 0,478610509125112 
526	 0,47851796927458 
527	 0,477664012431342 
528	 0,476525319573568 
529	 0,477422141285145 
530	 0,478618574489303 
531	 0,477986049065735 
532	 0,477377983449661 
533	 0,47739559288005 
534	 0,478602486632647 
535	 0,4794762625018 
536	 0,479151418748052 
537	 0,478672567572591 
538	 0,478425841218489 
539	 0,478852021216054 
540	 0,479097571589531 
541	 0,478914780227196 
542	 0,478592139925236 
543	 0,478218965176055 
544	 0,477901348070636 
545	 0,478345912939069 
546	 0,479295598255072 
547	 0,479769809469037 
548	 0,479683646766112 
549	 0,479119048856678 
550	 0,479024917939519 
551	 0,479540688564673 
552	 0,480745029188913 
553	 0,481000323100222 
554	 0,480283825748327 
555	 0,480666350799728 
556	 0,481272792111359 
557	 0,481324571467531 
558	 0,480987024436457 
559	 0,480577294171533 
560	 0,480906807837657 
561	 0,480795243256453 
562	 0,479942038996052 
563	 0,479607689616207 
564	 0,479655093390956 
565	 0,479745988390386 
566	 0,479629311921759 
567	 0,479567516845968 
568	 0,480834797385355 
569	 0,481828902748876 
570	 0,481592988268156 
571	 0,482392741335512 
572	 0,4840088973763 
573	 0,485247902071026 
574	 0,486120016329857 
575	 0,486822753191421 
576	 0,488765594940304 
577	 0,490358754496799 
578	 0,489805423536179 
579	 0,490529200763565 
580	 0,492455456466258 
581	 0,492665986261899 
582	 0,493030672434133 
583	 0,49451463550546 
584	 0,495785393171755 
585	 0,496989693624572 
586	 0,498742408706706 
587	 0,500148975917029 
588	 0,500981725679462 
589	 0,501538346255499 
590	 0,502362217832864 
591	 0,503868106433878 
592	 0,504574785580483 
593	 0,50462352122887 
594	 0,505234097682078 
595	 0,505800349531784 
596	 0,506071812982416 
597	 0,506305652969043 
598	 0,506249788728875 
599	 0,50545763653196 
600	 0,505520685086785 
601	 0,506497677197749 
602	 0,506832509169589 
603	 0,506506788316759 
