Wavelength	GRA-BER00204.asd
590	 0,217679400598881 
591	 0,217396312466192 
592	 0,21748504578423 
593	 0,218055622272427 
594	 0,218477766826617 
595	 0,218716098172457 
596	 0,218688219870472 
597	 0,218152582655586 
598	 0,21761115285641 
599	 0,217833740806671 
600	 0,217919117006476 
601	 0,217604279669993 
602	 0,216957817353174 
603	 0,216274119590682 
604	 0,215778754374848 
605	 0,215196420645659 
606	 0,2144818961053 
607	 0,213592772218399 
608	 0,212983267475674 
609	 0,212657683163723 
610	 0,211572009422665 
611	 0,210162728467799 
612	 0,209073521797638 
613	 0,208376328000349 
614	 0,208058363524526 
615	 0,207951893180577 
616	 0,207851935963712 
617	 0,207609114422201 
618	 0,207272240070158 
619	 0,206895958295828 
620	 0,206514299322574 
621	 0,206552825930642 
622	 0,2070288985428 
623	 0,207236467261569 
624	 0,207426220587054 
625	 0,20789384436715 
626	 0,208472670555435 
627	 0,208972922255859 
628	 0,208927595792385 
629	 0,209034821002889 
630	 0,209680999171774 
631	 0,210775743736718 
632	 0,211807888761315 
633	 0,211996974305754 
634	 0,21212467910921 
635	 0,212603075309921 
636	 0,213999174550574 
637	 0,215536331202615 
638	 0,216562421570353 
639	 0,217762581033783 
640	 0,219100971844291 
641	 0,220246290286901 
642	 0,221114195382437 
643	 0,221745247739678 
644	 0,222773069081814 
645	 0,223512100735733 
646	 0,223009774850577 
647	 0,223243407201228 
648	 0,224032424765227 
649	 0,22297637632277 
650	 0,221437387933172 
651	 0,220368378095965 
652	 0,219492711104662 
653	 0,218550510795521 
654	 0,217061386590956 
655	 0,21562941113887 
656	 0,214259768302496 
657	 0,211877697955762 
658	 0,209473779127703 
659	 0,208104668252417 
660	 0,206778538778298 
661	 0,205153308485929 
662	 0,20279534329107 
663	 0,200933238605731 
664	 0,200084553575834 
665	 0,198914923893072 
666	 0,197608343178043 
667	 0,196692933649566 
668	 0,195978558676569 
669	 0,195570141670411 
670	 0,1962112457315 
671	 0,196265415559889 
672	 0,194609205377225 
673	 0,194323977071446 
674	 0,195078505985877 
675	 0,194725631993667 
676	 0,194409586749843 
677	 0,194516329015691 
678	 0,194979621995252 
679	 0,19537348383254 
680	 0,19521193972402 
681	 0,194996078340908 
682	 0,195081594653727 
683	 0,196108516294511 
684	 0,197323023076181 
685	 0,198322302225675 
686	 0,199725193402792 
687	 0,201678156884725 
688	 0,204287246436042 
689	 0,207075507362623 
690	 0,210230454355012 
691	 0,215032806752127 
692	 0,22102809114228 
693	 0,227742793426638 
694	 0,235077912085163 
695	 0,243249559265111 
696	 0,252939774715275 
697	 0,263335638541497 
698	 0,274098097467301 
699	 0,285520835464894 
700	 0,297487619748389 
701	 0,309847753616046 
702	 0,322363321914482 
703	 0,334752202675875 
704	 0,346724452967646 
705	 0,358025080608416 
706	 0,368538081175598 
707	 0,379151660466128 
708	 0,389623117836016 
709	 0,399284961678101 
710	 0,40813030242936 
711	 0,416326106317291 
712	 0,424742167821141 
713	 0,432641784031843 
714	 0,43937914116172 
715	 0,44607320751418 
716	 0,452735285116212 
717	 0,458905490625021 
718	 0,46434529842317 
719	 0,469005742647176 
720	 0,473470620252522 
721	 0,477594905869379 
722	 0,481116277078975 
723	 0,485085012554066 
724	 0,489241770381143 
725	 0,491817300424212 
726	 0,49416325557385 
727	 0,497060845102893 
728	 0,499606650180498 
729	 0,501676015563525 
730	 0,503232025829834 
731	 0,504821049833313 
732	 0,50657021999387 
733	 0,508095687823281 
734	 0,509532686702684 
735	 0,510993022252782 
736	 0,512194342987564 
737	 0,513173490038914 
738	 0,514218303930614 
739	 0,514759926215855 
740	 0,514812475468501 
741	 0,515656922673666 
742	 0,516732466860347 
743	 0,51727447304239 
744	 0,517609581520691 
745	 0,517942974624595 
746	 0,518691880199389 
747	 0,519407391048625 
748	 0,519859511747299 
749	 0,520317261677806 
750	 0,520722830629356 
751	 0,520934704487124 
752	 0,52132408661262 
753	 0,521860492919064 
754	 0,521985641715029 
755	 0,522163053837634 
756	 0,522708786436768 
757	 0,523234983923804 
758	 0,523536479553384 
759	 0,523303482861605 
760	 0,523257239717346 
761	 0,523589130371056 
762	 0,52388462716992 
763	 0,524170233642157 
764	 0,524464640276009 
765	 0,524388485918959 
766	 0,524060209792625 
767	 0,523968505808059 
768	 0,52384017690051 
769	 0,523636041786309 
770	 0,523626883532641 
771	 0,523942733810404 
772	 0,524679343137768 
773	 0,524687457541005 
774	 0,524087958709898 
775	 0,524069330442277 
776	 0,524372059999209 
777	 0,524789817243103 
778	 0,524710573735846 
779	 0,524601862516152 
780	 0,525260794795098 
781	 0,52532340823947 
782	 0,524773631171249 
783	 0,524909250620751 
784	 0,525189496896351 
785	 0,525243071959623 
786	 0,525088252630269 
787	 0,524996146119125 
788	 0,525465069509037 
789	 0,525712089777951 
790	 0,525569528075882 
791	 0,525449434905013 
792	 0,525340691421344 
793	 0,525221001638222 
794	 0,525002537975888 
795	 0,524731627519947 
796	 0,524501968759414 
