Wavelength	PENFOUL00262.asd
325	 0,20642994357791 
326	 5,35969698574985E-02 
327	 8,63160519284484E-02 
328	 0,303308254211572 
329	 0,225452987267385 
330	 0,094675188521489 
331	 0,140497876424814 
332	 0,148151500958394 
333	 0,129764900310407 
334	 0,151593313523836 
335	 0,139651506411124 
336	 8,44799482225472E-02 
337	 3,33505744486671E-02 
338	 2,52711760415823E-02 
339	 8,43842050251802E-02 
340	 0,115257500063818 
341	 0,112558558459604 
342	 8,50419698260289E-02 
343	 4,84038666523496E-02 
344	 2,18440094719006E-02 
345	 7,74108512393084E-02 
346	 0,116547543782571 
347	 0,053291966104199 
348	 2,73490706784013E-02 
349	 0,038475677234365 
350	 4,24270791649842E-02 
351	 4,27768942788228E-02 
352	 4,05680656302582E-02 
353	 4,27210169357078E-02 
354	 4,23859706776408E-02 
355	 3,26061534336753E-02 
356	 1,07848189181015E-02 
357	-5,70174471182478E-03 
358	 3,86364595576621E-02 
359	 6,72806982068581E-02 
360	 5,28125861653382E-02 
361	 3,17576317500531E-02 
362	 2,85096146410467E-02 
363	 7,06918219374045E-02 
364	 6,83907778823982E-02 
365	 2,26640020436765E-02 
366	 1,10717861612254E-02 
367	 1,80238417031141E-02 
368	 2,98199198344104E-02 
369	 0,027294611962432 
370	 2,10229251870607E-02 
371	 3,62366956919015E-02 
372	 2,88971265203276E-02 
373	 5,03547958056449E-03 
374	 5,10432921356073E-02 
375	 0,081538378334171 
376	 0,045325214187827 
377	 4,05545680016693E-02 
378	 5,77187398759938E-02 
379	 3,95345218838712E-02 
380	 2,69932823797844E-02 
381	 3,27042579731424E-02 
382	 4,41280969925903E-02 
383	 0,05063758731913 
384	 4,40077133834763E-02 
385	 0,030549941208771 
386	 1,77466978793446E-02 
387	 1,83231734620135E-02 
388	 2,59350270329691E-02 
389	 3,49933615756263E-02 
390	 3,19287888068795E-02 
391	 2,98166355325469E-02 
392	 4,47654489328258E-02 
393	 3,31276870015976E-02 
394	 4,07827833127073E-03 
395	 0,010022296357506 
396	 2,60685883192217E-02 
397	 3,61672257464292E-02 
398	 2,60142455176248E-02 
399	 1,46678884619082E-02 
400	 3,27577119296554E-02 
401	 3,12191409001376E-02 
402	 1,00589676178372E-02 
403	 0,01741555433542 
404	 3,03274156995704E-02 
405	 3,25773008343332E-02 
406	 2,62085110990564E-02 
407	 1,87322765035952E-02 
408	 2,60370056067779E-02 
409	 2,88296901773427E-02 
410	 2,33924078508093E-02 
411	 2,01031738999919E-02 
412	 1,87567738644954E-02 
413	 1,85827755827245E-02 
414	 1,57452294696559E-02 
415	 1,17687218225299E-02 
416	 1,26665810522313E-02 
417	 1,36774734944803E-02 
418	 1,36016611819779E-02 
419	 1,81048379836897E-02 
420	 2,18904113839257E-02 
421	 1,81814875981102E-02 
422	 1,63890814632957E-02 
423	 1,75463823191626E-02 
424	 1,68620589032027E-02 
425	 1,67675997983329E-02 
426	 1,81161841891286E-02 
427	 0,015388293168997 
428	 1,10821140489803E-02 
429	 1,07155540554666E-02 
430	 1,10134514605017E-02 
431	 1,17069380069513E-02 
432	 0,015941414538521 
433	 1,95784674418168E-02 
434	 1,90003644696847E-02 
435	 1,42134707292641E-02 
436	 8,95101538744103E-03 
437	 1,21135489363166E-02 
438	 1,64113693772446E-02 
439	 1,83687232871109E-02 
440	 1,69951824086545E-02 
441	 1,43598342741276E-02 
442	 0,01318730336084 
443	 1,45656745679999E-02 
444	 1,69200217537657E-02 
445	 1,39051601849611E-02 
446	 1,11862734063463E-02 
447	 1,20973068747396E-02 
448	 1,31766059820823E-02 
449	 1,31652981102246E-02 
450	 1,03119385994612E-02 
451	 1,05461645573909E-02 
452	 1,45087653432627E-02 
453	 1,64102114839415E-02 
454	 1,56951901956601E-02 
455	 0,012459469496779 
456	 1,22732184469446E-02 
457	 1,42354392137593E-02 
458	 1,27415841740312E-02 
459	 1,13832835011006E-02 
460	 1,16230462512006E-02 
461	 1,26538753479054E-02 
462	 1,35583776049285E-02 
463	 1,32603751267663E-02 
464	 1,20800921231672E-02 
465	 1,07974551907866E-02 
466	 1,17224475736704E-02 
467	 1,27437171004066E-02 
468	 1,25710674162749E-02 
469	 1,30385815132186E-02 
470	 1,38359980741515E-02 
471	 1,38576080451187E-02 
472	 1,38516336654813E-02 
473	 1,40820732404744E-02 
474	 1,48294890754579E-02 
475	 1,47533356696283E-02 
476	 1,26935597188777E-02 
477	 1,25184902969159E-02 
478	 1,36636395139624E-02 
479	 1,21337717737864E-02 
480	 1,12101166896314E-02 
481	 1,21155674328789E-02 
482	 1,18977815762022E-02 
483	 1,18909825776724E-02 
484	 1,45472220603272E-02 
485	 1,56149953302491E-02 
486	 1,47777654972863E-02 
487	 1,56064568235342E-02 
488	 1,65698968915179E-02 
489	 1,63615407110634E-02 
490	 1,40569820154457E-02 
491	 1,15920345279894E-02 
492	 1,38160046159603E-02 
493	 1,47020318858072E-02 
