Wavelength	GRA-VAN00168.asd
325	 0,15972400465025 
326	 0,128001987018632 
327	 0,160292638816348 
328	 0,235828716203248 
329	 0,200285538687056 
330	 0,212001830435144 
331	 0,355017510061142 
332	 0,32504775842615 
333	 0,206193258723713 
334	 6,29551373396885E-02 
335	 3,27047709891323E-02 
336	 0,141805226611579 
337	 0,182172499033948 
338	 0,169202727433733 
339	 0,107700344997536 
340	 0,126011645431126 
341	 0,172563786275401 
342	 0,112893516610177 
343	 5,54120975785651E-02 
344	 4,84291323884078E-02 
345	 2,21815229010288E-02 
346	 3,20033452643008E-02 
347	 0,127996889258008 
348	 9,74415337592195E-02 
349	-1,73477769577491E-02 
350	 4,8128807213695E-03 
351	 3,69347005873791E-02 
352	 3,13465250965251E-02 
353	 3,70567177314496E-02 
354	 3,88131651544586E-02 
355	 1,63258932699844E-02 
356	 3,25028588756019E-02 
357	 7,43596973953142E-02 
358	 8,09039147729033E-02 
359	 7,51579413170798E-02 
360	 7,08625140469638E-02 
361	 8,21674015070294E-02 
362	 0,088966739033067 
363	 6,10608581492622E-02 
364	 6,07612479951716E-02 
365	 8,68977952937777E-02 
366	 7,18643761665986E-02 
367	 6,40492198001654E-02 
368	 8,63279817225509E-02 
369	 7,69767634449049E-02 
370	 0,044648924532268 
371	 1,23822327911573E-02 
372	 2,00367074567071E-02 
373	 6,11397735539062E-02 
374	 6,54476997361246E-02 
375	 0,055985453769212 
376	 5,15550067720173E-02 
377	 0,045140737905999 
378	 3,89711334661842E-02 
379	 4,09399235338259E-02 
380	 3,71914730390631E-02 
381	 3,00416531943626E-02 
382	 0,053986154111212 
383	 7,21279219215783E-02 
384	 5,28832587365579E-02 
385	 5,07796666724239E-02 
386	 5,77055606754072E-02 
387	 2,26756817593261E-02 
388	 3,13214024690115E-03 
389	 2,04224453473925E-02 
390	 3,64450852270336E-02 
391	 4,34855193915773E-02 
392	 3,70393851937105E-02 
393	 2,96389236516241E-02 
394	 2,76775744227006E-02 
395	 4,18204603195256E-02 
396	 4,42907154885352E-02 
397	 2,68185527966036E-02 
398	 3,98582736421338E-02 
399	 5,90759182488125E-02 
400	 4,09281331690254E-02 
401	 3,69313732893778E-02 
402	 5,01878904192544E-02 
403	 4,33905104964814E-02 
404	 2,82103417089284E-02 
405	 1,56981386990877E-02 
406	 2,47407177486272E-02 
407	 0,042839479543225 
408	 4,38769302480211E-02 
409	 3,85782500279809E-02 
410	 3,22262090865258E-02 
411	 3,41062463521417E-02 
412	 3,65772125395067E-02 
413	 3,24479261795535E-02 
414	 2,85498621772623E-02 
415	 2,71692796170065E-02 
416	 3,12016297605546E-02 
417	 3,41028100790985E-02 
418	 3,36169273558821E-02 
419	 3,51607611515135E-02 
420	 3,71314917649498E-02 
421	 3,71458129137974E-02 
422	 0,034473728220179 
423	 3,07399743348859E-02 
424	 3,15036290630912E-02 
425	 3,27816528062044E-02 
426	 3,23982472087173E-02 
