Wavelength	AV0200186.asd
325	 4,21806762625101E-02 
326	 3,99858262912991E-02 
327	 3,87890185163368E-02 
328	 3,87667891358775E-02 
329	 3,85691596379161E-02 
330	 4,03776903705501E-02 
331	 4,51552869062152E-02 
332	 4,37101608026176E-02 
333	 3,91398528112637E-02 
334	 4,07591501571908E-02 
335	 4,18302952206736E-02 
336	 4,09008547854976E-02 
337	 4,04970858799915E-02 
338	 4,10762068963453E-02 
339	 0,04276368335519 
340	 4,30755757395849E-02 
341	 4,27318765148274E-02 
342	 4,48573979418128E-02 
343	 4,45518702811156E-02 
344	 4,12912553868388E-02 
345	 4,07390318104894E-02 
346	 4,17363149071764E-02 
347	 4,27141545762258E-02 
348	 4,29993261291165E-02 
349	 4,27277309569937E-02 
350	 4,27650016230469E-02 
351	 4,24158224191664E-02 
352	 4,16317743748306E-02 
353	 4,16451103889849E-02 
354	 4,21326844086498E-02 
355	 4,25833459094799E-02 
356	 4,29109596781311E-02 
357	 4,30894446003177E-02 
358	 4,31452401159281E-02 
359	 4,33961647073027E-02 
360	 4,38479318492687E-02 
361	 4,32528865632774E-02 
362	 4,25683622571983E-02 
363	 4,32728515557324E-02 
364	 4,42867397444598E-02 
365	 4,47803298870243E-02 
366	 4,28036624146589E-02 
367	 4,14112489650758E-02 
368	 4,25095686112428E-02 
369	 0,044557415256143 
370	 4,61930890257769E-02 
371	 4,53888683140675E-02 
372	 4,50604728592255E-02 
373	 0,045779498784128 
374	 0,045708609585116 
375	 4,50488238202051E-02 
376	 4,40923875257394E-02 
377	 4,35520603477301E-02 
378	 4,37982260701008E-02 
379	 0,045405725747464 
380	 4,62686960533578E-02 
381	 4,58685251643975E-02 
382	 4,58761847286547E-02 
383	 4,60945018088138E-02 
384	 4,62152780875644E-02 
385	 4,66330704303045E-02 
386	 4,70217295175486E-02 
387	 4,62379667375491E-02 
388	 4,59947941959937E-02 
389	 4,68834837888604E-02 
390	 4,81119448399926E-02 
391	 0,048555268740785 
392	 4,70288409123376E-02 
393	 0,046618357700767 
394	 4,72944996441771E-02 
395	 0,046605164161733 
396	 4,63807577684596E-02 
397	 4,72741256442594E-02 
398	 4,73590784072875E-02 
399	 4,71375202639485E-02 
400	 4,75327221903889E-02 
401	 4,75750141686672E-02 
402	 4,72621740223086E-02 
403	 4,73050088626262E-02 
404	 0,047391996700867 
405	 0,047311929841614 
406	 0,047160864307418 
407	 4,72209920874501E-02 
408	 4,81429280127135E-02 
409	 4,84183572931643E-02 
410	 4,77832343195026E-02 
411	 4,74377679026436E-02 
412	 4,74447013813845E-02 
413	 4,77664456915068E-02 
414	 4,79001815095524E-02 
415	 4,78477974778668E-02 
416	 4,79241115225207E-02 
417	 4,79332849148391E-02 
418	 4,78723518242769E-02 
419	 4,82141186384511E-02 
420	 4,87160396645249E-02 
421	 4,90043881831156E-02 
422	 4,91899894857215E-02 
423	 4,92331208804283E-02 
424	 4,88400000990236E-02 
425	 4,88391772814785E-02 
426	 4,96547301170288E-02 
427	 0,049706205975216 
428	 4,93606702880328E-02 
429	 4,98059395659921E-02 
430	 5,01712094955928E-02 
431	 5,02072961951763E-02 
432	 5,00437410043988E-02 
433	 5,00564690941044E-02 
434	 5,05247811314853E-02 
435	 5,07642252253531E-02 
436	 5,07893608438808E-02 
437	 5,09831862241496E-02 
438	 5,10261254833456E-02 
439	 5,08735769627953E-02 
440	 5,10384884731217E-02 
441	 0,051278523671199 
442	 5,12274054502991E-02 
443	 5,14813681561986E-02 
444	 5,20081043887089E-02 
445	 5,22644060700811E-02 
446	 5,23308932769352E-02 
447	 5,22708413279842E-02 
448	 5,21948600318635E-02 
449	 5,21929594865226E-02 
450	 5,23825645032363E-02 
451	 5,26001364074079E-02 
452	 5,28140797613045E-02 
453	 5,31693362704099E-02 
454	 5,35017550420679E-02 
455	 5,36438511462871E-02 
456	 5,36345997541709E-02 
457	 0,053577285116386 
458	 5,37361122924102E-02 
459	 5,37869335687143E-02 
460	 5,36606575654624E-02 
461	 0,053880091835254 
462	 5,42458644853286E-02 
463	 5,44189152856943E-02 
464	 5,42256370428948E-02 
465	 5,38806035663584E-02 
466	 5,43355981491823E-02 
467	 5,49287189492977E-02 
468	 5,51520844038062E-02 
469	 5,50099083617835E-02 
470	 5,47535642927684E-02 
471	 5,48697904234874E-02 
472	 0,055237108622904 
473	 5,56735873566503E-02 
474	 5,55135374460372E-02 
475	 5,52359870321298E-02 
476	 5,53545186375506E-02 
477	 5,53451193766743E-02 
478	 5,53120619653769E-02 
479	 5,58882337017849E-02 
480	 5,62852092414294E-02 
481	 0,056201587677453 
482	 5,65593704651135E-02 
483	 5,69011145885389E-02 
484	 5,63278829764199E-02 
485	 5,60168898386197E-02 
486	 5,62215542523285E-02 
487	 5,63517466719661E-02 
488	 5,65907341186991E-02 
489	 5,70264970718085E-02 
490	 5,69611662494642E-02 
491	 5,66540781891736E-02 
492	 5,69968488211576E-02 
493	 5,71394341296703E-02 
494	 5,69006187211714E-02 
495	 5,70072118493899E-02 
496	 5,72940157143874E-02 
497	 5,75020782489891E-02 
498	 5,75968718746213E-02 
499	 5,75818450065793E-02 
500	 5,75206030255939E-02 
501	 5,74644888099377E-02 
502	 5,75137316680904E-02 
503	 5,81619244493688E-02 
504	 5,89484855539894E-02 
505	 5,89667391462499E-02 
506	 5,89189244606726E-02 
507	 5,89640409978236E-02 
508	 5,87220249091442E-02 
509	 5,87739487043193E-02 
510	 5,96099279672944E-02 
511	 0,060030203756782 
512	 6,00009102448831E-02 
513	 6,00968243041316E-02 
514	 6,03644571734403E-02 
515	 0,060793269050529 
516	 6,09591215056639E-02 
517	 6,10560833520722E-02 
518	 0,061452856693775 
519	 6,14621868222732E-02 
520	 6,11075791974455E-02 
521	 6,10805879397523E-02 
522	 6,12594688230918E-02 
523	 6,15484476972893E-02 
524	 6,19863462125741E-02 
525	 6,23869838283328E-02 
526	 6,23349319031276E-02 
527	 6,22115406513132E-02 
528	 6,21922404192298E-02 
529	 6,23719462592486E-02 
530	 6,25821527163855E-02 
531	 6,26242050913917E-02 
532	 6,28258143265434E-02 
533	 6,31302068752815E-02 
534	 6,31410484062467E-02 
535	 6,29857752453548E-02 
536	 6,27975301055625E-02 
537	 6,29804117928122E-02 
538	 0,063366488234289 
539	 6,35199890137639E-02 
540	 6,36784399179099E-02 
541	 6,38687707910219E-02 
542	 6,39081357059061E-02 
543	 6,39023126434887E-02 
544	 6,39664970900491E-02 
545	 6,40878690063953E-02 
546	 6,42525778277764E-02 
547	 6,44270495554381E-02 
548	 6,45874569062984E-02 
549	 6,47192170346143E-02 
550	 6,48229442174528E-02 
551	 6,49627766111045E-02 
552	 6,52483812862815E-02 
553	 6,53391209591158E-02 
554	 6,52491224985965E-02 
555	 0,065493508392639 
556	 6,57352281720627E-02 
557	 6,56767660516515E-02 
558	 6,55605276389341E-02 
559	 6,55081817909813E-02 
560	 6,57314071875804E-02 
561	 0,065825524908151 
562	 6,56698445919965E-02 
563	 6,56998160882325E-02 
564	 6,57445646449856E-02 
565	 6,55176783554484E-02 
566	 6,53885084107697E-02 
567	 6,55130278165246E-02 
568	 6,60798890944792E-02 
569	 6,65526074723913E-02 
570	 6,65634278876161E-02 
571	 6,66903052403842E-02 
572	 6,70227473215227E-02 
573	 6,75464569187649E-02 
574	 6,80897894631515E-02 
575	 6,85379659493499E-02 
576	 6,86998469327255E-02 
577	 6,89393614741804E-02 
578	 6,96717533152843E-02 
579	 7,01766268031361E-02 
580	 7,04494843706435E-02 
581	 7,11051760478729E-02 
582	 7,14722170530756E-02 
583	 0,071301436229177 
584	 7,18445345403109E-02 
585	 7,27731839551054E-02 
586	 7,32021801488439E-02 
587	 7,33911589373092E-02 
588	 7,34660586113414E-02 
589	 0,073655441193997 
590	 7,41987859065482E-02 
591	 7,52232949210709E-02 
592	 7,52955047143599E-02 
593	 7,46569870096731E-02 
594	 7,47269407459801E-02 
595	 7,50199770701458E-02 
596	 7,52870156750688E-02 
597	 7,52703567327692E-02 
598	 7,51279080758016E-02 
599	 7,51509307008428E-02 
600	 7,50086435437093E-02 
601	 7,47281478373611E-02 
602	 7,47550276819144E-02 
603	 7,48567271696069E-02 
604	 7,48190591881203E-02 
605	 7,44605931169415E-02 
606	 7,39602602410515E-02 
607	 7,38404731759793E-02 
608	 7,37228414754234E-02 
609	 7,34900396612856E-02 
610	 7,33448336800842E-02 
611	 7,31899696149409E-02 
612	 7,28844059929179E-02 
613	 7,26277608072541E-02 
614	 7,24747613044938E-02 
615	 7,24318787523035E-02 
616	 7,23213647116202E-02 
617	 7,20698203180651E-02 
618	 7,21476265818286E-02 
619	 7,23961066360625E-02 
620	 7,23917867244071E-02 
621	 7,22220814654678E-02 
622	 7,19900636579663E-02 
623	 7,20955475759941E-02 
624	 7,22966989451784E-02 
625	 7,23073254761246E-02 
626	 7,22121424039317E-02 
627	 7,21884223172157E-02 
628	 7,27409909710808E-02 
629	 0,073185037215098 
630	 7,32081773934225E-02 
631	 7,35022657394458E-02 
632	 7,39086046354955E-02 
633	 7,40326123643379E-02 
634	 7,43094049532633E-02 
635	 7,47537191668428E-02 
