Wavelength	GRA-VAN00479.asd
325	 0,220288979813688 
326	 0,133528382588749 
327	 0,106383642160569 
328	 0,179364307558445 
329	 0,248422475101256 
330	 0,318383392961145 
331	 0,29854722274376 
332	 0,25411281042977 
333	 0,188421203217677 
334	 7,74188000589652E-02 
335	 7,56962080477607E-02 
336	 0,186366992539752 
337	 0,162997516922093 
338	 0,090643264065175 
339	 3,56333169048793E-02 
340	 0,107651409376056 
341	 0,196936869742983 
342	 0,108749721958223 
343	 5,39799410852984E-02 
344	 0,093256871757996 
345	 8,55675728551242E-02 
346	 6,64764364381964E-02 
347	 7,70669422378323E-02 
348	 3,78696073063628E-02 
349	-2,79261473800083E-02 
350	-5,42766102180373E-03 
351	 4,75404971290491E-02 
352	 8,78020569830915E-02 
353	 8,38005733171616E-02 
354	 5,24504988560363E-02 
355	 0,014511231347413 
356	 7,90258296460573E-03 
357	 2,85053021773351E-02 
358	 4,30297699466455E-02 
359	 6,52830695600296E-02 
360	 9,13351258193554E-02 
361	 8,81825906020023E-02 
362	 6,44045747737005E-02 
363	 3,25344956058216E-02 
364	 3,15636822898912E-02 
365	 6,06150548456728E-02 
366	 7,42776813338244E-02 
367	 8,07746190962147E-02 
368	 8,31662597719592E-02 
369	 5,95710481443382E-02 
370	 2,73696414475113E-02 
371	 1,77900045850527E-02 
372	 3,87770454128208E-02 
373	 7,00168135936753E-02 
374	 3,45369186763045E-02 
375	 1,27989486765065E-02 
376	 6,25815678749748E-02 
377	 0,062512974459044 
378	 2,97352550527525E-02 
379	 4,26459348324553E-02 
380	 5,61312557095678E-02 
381	 5,99104749886502E-02 
382	 6,94936450481988E-02 
383	 7,21655541479738E-02 
384	 5,73066544627988E-02 
385	 5,05183874774137E-02 
386	 4,91434157514027E-02 
387	 2,96074102142355E-02 
388	 2,02129827405476E-02 
389	 3,08660465428658E-02 
390	 0,038326430965423 
391	 4,36104939816435E-02 
392	 5,01595926368368E-02 
393	 4,72058014038918E-02 
394	 3,88448943171743E-02 
395	 4,55230125523013E-02 
396	 4,19201559024744E-02 
397	 2,07719869731756E-02 
398	 2,79114653372415E-02 
399	 4,27762195249873E-02 
400	 2,79974437559203E-02 
401	 0,023148157429925 
402	 3,35771628483437E-02 
403	 4,28430194377767E-02 
404	 3,87608628251413E-02 
405	 0,016460260351728 
406	 2,24493710235498E-02 
407	 4,03726219795172E-02 
408	 2,58099287279856E-02 
409	 1,97385551544272E-02 
410	 2,95925638623851E-02 
411	 3,01719298154738E-02 
412	 2,71394259575522E-02 
413	 2,68775306180124E-02 
414	 2,84195202825198E-02 
415	 0,028869167776772 
416	 1,96862804503717E-02 
417	 1,73997654969246E-02 
418	 2,65092849290625E-02 
419	 2,84688739865875E-02 
420	 2,76698293738677E-02 
421	 3,16988885893324E-02 
422	 0,029562605633242 
423	 2,25486927783237E-02 
424	 2,26313216913649E-02 
425	 2,45151651197183E-02 
426	 2,50673473295463E-02 
427	 2,66148576704048E-02 
428	 2,85759968778775E-02 
429	 2,99455611386742E-02 
430	 2,79549960452548E-02 
431	 2,33550375262286E-02 
432	 0,022898260427076 
433	 0,0248684659857 
434	 2,71536130060494E-02 
435	 2,56612571979384E-02 
436	 2,16584538861241E-02 
437	 2,00704130873906E-02 
438	 2,10730334198404E-02 
439	 2,36102214412694E-02 
440	 2,00599043435942E-02 
441	 1,65027064140804E-02 
442	 2,13409008062758E-02 
443	 2,37775824768515E-02 
444	 2,22351040649734E-02 
445	 2,04796324828945E-02 
446	 1,96927801934715E-02 
447	 2,04303836361756E-02 
448	 1,98288031127736E-02 
449	 1,89077839500653E-02 
450	 2,01886825267199E-02 
451	 2,31248261280635E-02 
452	 2,61996908215784E-02 
453	 2,40731840516878E-02 
454	 2,03756414300384E-02 
455	 1,88715735372447E-02 
456	 2,16960977500402E-02 
457	 2,60585265573434E-02 
458	 2,35048979920209E-02 
459	 2,18881827931268E-02 
460	 2,36933230608212E-02 
461	 2,16303611653331E-02 
462	 1,89783324061425E-02 
463	 2,08726511606849E-02 
464	 2,10064974981322E-02 
465	 1,94449159551105E-02 
466	 2,21160905128072E-02 
467	 2,50895529646281E-02 
468	 0,025912525032865 
469	 2,79606714286837E-02 
470	 0,028996633330513 
471	 2,33940142136399E-02 
472	 2,03660569883886E-02 
473	 2,21156266805098E-02 
474	 2,26765232119251E-02 
475	 2,31191035022086E-02 
476	 2,46657126156451E-02 
477	 2,39541223107131E-02 
478	 2,19696077104559E-02 
479	 2,35768916669587E-02 
480	 2,30582872577594E-02 
481	 1,87946196445235E-02 
482	 1,91676696133403E-02 
483	 2,21571704291679E-02 
484	 2,36235635481208E-02 
485	 2,29164533958344E-02 
486	 0,020485653327823 
487	 1,89578687413735E-02 
488	 1,85733529628771E-02 
489	 1,93613467548086E-02 
490	 1,96744254923511E-02 
491	 1,99861556396954E-02 
492	 2,23488722368255E-02 
493	 2,36678900044105E-02 
494	 2,30815063524301E-02 
495	 2,29204605906257E-02 
496	 2,16928912711751E-02 
497	 1,76361219481007E-02 
498	 1,68791299741287E-02 
499	 1,93748686422393E-02 
500	 2,06153157403354E-02 
501	 2,07542982140608E-02 
502	 2,00435900123097E-02 
503	 2,03927357663105E-02 
504	 2,13711255182554E-02 
505	 2,18097750185523E-02 
506	 0,021687034200015 
507	 2,12788261395734E-02 
508	 2,19941570743978E-02 
509	 2,25286741867302E-02 
510	 2,17299462144521E-02 
511	 2,13622718292684E-02 
512	 2,13027695135518E-02 
513	 2,00855953280219E-02 
514	 1,99653665931553E-02 
515	 2,15201628306535E-02 
516	 2,16864907293554E-02 
517	 2,13551132790633E-02 
518	 0,022190549808169 
519	 2,30100522171175E-02 
520	 2,32543633599756E-02 
521	 0,022129160598723 
522	 2,06837200604197E-02 
523	 1,98236539216254E-02 
524	 2,02349699250081E-02 
525	 0,021319390250708 
526	 2,17228518503505E-02 
527	 2,10264324012485E-02 
528	 1,95348748634474E-02 
529	 1,98652966989282E-02 
530	 2,09215561431662E-02 
531	 2,12238868658319E-02 
532	 2,11178592868518E-02 
533	 0,020753281605381 
534	 2,03611619855185E-02 
535	 2,03144069154214E-02 
536	 2,07637071072424E-02 
537	 0,020921724433206 
538	 2,09043549351033E-02 
539	 2,11242437912954E-02 
540	 2,15600015594293E-02 
541	 2,19198319059206E-02 
542	 2,09665283598157E-02 
543	 1,97430253494338E-02 
544	 1,93361757823292E-02 
545	 1,96565367385561E-02 
546	 2,03040732981767E-02 
547	 0,020197809064649 
548	 2,02112176619745E-02 
549	 2,06722897727621E-02 
550	 2,07905208817159E-02 
551	 0,020682379945057 
552	 2,06923648066456E-02 
553	 2,02034261115371E-02 
554	 1,93302200043643E-02 
555	 1,91521082105399E-02 
556	 1,91760647013798E-02 
557	 1,90050989404704E-02 
558	 1,92739799419726E-02 
559	 1,98729543733891E-02 
560	 2,04094130486902E-02 
561	 2,03006754206577E-02 
562	 1,95375915094014E-02 
563	 1,98222271436631E-02 
564	 2,02485408087878E-02 
565	 1,94266033182773E-02 
566	 1,93800716813827E-02 
567	 2,01194616324504E-02 
568	 1,97757950441398E-02 
569	 1,93440206583416E-02 
570	 1,95129562896459E-02 
571	 1,98200582896239E-02 
572	 2,00689761633577E-02 
573	 1,99251488477847E-02 
574	 2,02492779959378E-02 
575	 2,11455523374445E-02 
576	 2,15515857003459E-02 
577	 2,12994301287245E-02 
578	 2,03349334051805E-02 
579	 2,01691364158768E-02 
580	 2,08079818630006E-02 
581	 2,10330801864241E-02 
582	 2,11715495780602E-02 
583	 2,13725379589856E-02 
584	 2,14110439551863E-02 
585	 2,15139554477649E-02 
586	 2,21686337455263E-02 
587	 0,02226746324624 
588	 2,17634718651029E-02 
589	 2,20498516166472E-02 
590	 2,26096233843247E-02 
591	 2,28897739716264E-02 
592	 0,022851450630577 
593	 2,25232431114616E-02 
594	 2,19431943219211E-02 
595	 2,17383238554399E-02 
596	 2,21614586215117E-02 
597	 2,26668727121085E-02 
598	 2,28312647006614E-02 
599	 2,21411413589546E-02 
600	 2,13496295133622E-02 
601	 2,09977761394006E-02 
602	 2,22410338486939E-02 
603	 2,30714108420249E-02 
604	 2,20108066277607E-02 
605	 2,14117475811105E-02 
606	 2,14232247317986E-02 
607	 0,021313077791158 
608	 2,15144785512864E-02 
609	 2,19915640533192E-02 
610	 2,17503936313372E-02 
611	 2,13408410610389E-02 
612	 2,15357153392072E-02 
613	 2,14231436013169E-02 
614	 2,09531492292547E-02 
615	 2,06850951843085E-02 
616	 2,05141052708617E-02 
617	 2,04268224274334E-02 
618	 2,09057544463666E-02 
619	 2,14901585241277E-02 
620	 2,12015529849765E-02 
621	 2,05865742140035E-02 
622	 2,00407103067513E-02 
623	 2,04636807868993E-02 
624	 2,11327712347438E-02 
625	 2,12507321496748E-02 
626	 2,10224911508113E-02 
627	 2,06949918673784E-02 
628	 0,020847031171224 
629	 0,021127186314892 
630	 2,13165872049282E-02 
631	 2,12216928902145E-02 
632	 2,10710089497539E-02 
633	 2,12684031699375E-02 
634	 2,14536557793164E-02 
635	 2,16412138532704E-02 
636	 2,24382021933622E-02 
637	 2,28351632673746E-02 
638	 2,20501762090032E-02 
639	 2,15282533116821E-02 
640	 2,15609752128745E-02 
641	 2,21008033015805E-02 
642	 2,29305514104721E-02 
643	 2,37552409571282E-02 
644	 2,36536379293824E-02 
645	 2,33977966134527E-02 
646	 2,40961827032171E-02 
647	 2,39722890941704E-02 
648	 2,29606987392801E-02 
649	 0,022310645501746 
650	 2,23283028957549E-02 
651	 0,023062580819031 
652	 2,27882812305078E-02 
653	 2,22135288640821E-02 
654	 2,34877141855616E-02 
655	 2,36701570889621E-02 
656	 2,22151501781457E-02 
657	 2,15366117096284E-02 
658	 2,15980007025165E-02 
659	 0,022152286045467 
660	 2,19942526312392E-02 
661	 2,12217138542233E-02 
662	 0,020931605849936 
663	 2,09197627890268E-02 
664	 0,021051546833545 
665	 2,10105372274495E-02 
666	 2,07853138781024E-02 
667	 2,04341898508407E-02 
668	 1,99790070539251E-02 
669	 1,96253845098038E-02 
670	 0,020058350229804 
671	 2,05703707975686E-02 
672	 2,05934766661618E-02 
673	 2,06468481955416E-02 
674	 2,07841080451853E-02 
675	 2,10109156735897E-02 
676	 2,07239561598189E-02 
677	 1,99824806286077E-02 
678	 2,04453630814125E-02 
679	 2,13127238327071E-02 
680	 2,14783671787941E-02 
681	 0,02115652308332 
682	 2,07262698411911E-02 
683	 2,12288727150853E-02 
684	 2,19249378669895E-02 
685	 2,23098395430422E-02 
686	 2,21246845407893E-02 
687	 0,021825441483052 
688	 2,23112323376566E-02 
689	 2,23770178964816E-02 
690	 0,022004545521992 
691	 2,26404771308334E-02 
692	 2,38992777728584E-02 
693	 0,025357375010306 
694	 2,67645984495464E-02 
695	 2,82049769302404E-02 
696	 2,99846816581788E-02 
697	 3,23626710524838E-02 
698	 3,53560915865331E-02 
699	 3,81247568387308E-02 
700	 4,14141898291194E-02 
701	 4,62527970726161E-02 
702	 5,11080027774743E-02 
703	 5,57817909666537E-02 
704	 6,10399146513716E-02 
705	 6,67315989786809E-02 
706	 7,26831475167424E-02 
707	 7,84272734425981E-02 
708	 8,41513337622068E-02 
709	 0,090337975251991 
710	 9,63934190234958E-02 
711	 0,102156409060191 
712	 0,10777680804904 
713	 0,113463885096524 
714	 0,119359082004981 
715	 0,124789129260387 
716	 0,129798362991589 
717	 0,134917085093574 
718	 0,139561974094757 
719	 0,14359206767557 
720	 0,147587282603573 
721	 0,151631158435075 
722	 0,155763352095211 
723	 0,158931414158196 
724	 0,161367685098587 
725	 0,164719275556007 
726	 0,167991588770775 
727	 0,170592108217826 
728	 0,17302370000549 
729	 0,175272784924773 
730	 0,177229916093699 
731	 0,178671108652887 
732	 0,179789658742475 
733	 0,181623677489436 
734	 0,183567905906385 
735	 0,185050176815415 
736	 0,186094012682665 
737	 0,187047523931165 
738	 0,188867221960725 
739	 0,190133417907706 
740	 0,19048350938089 
741	 0,191228514716719 
742	 0,192138993440289 
743	 0,192823189436158 
744	 0,19335208205992 
745	 0,193809892152231 
746	 0,194397932893095 
747	 0,195060684477413 
748	 0,195745283016742 
749	 0,196308884833068 
750	 0,196776253791477 
751	 0,197212411358926 
752	 0,197737626936366 
753	 0,198327355863367 
754	 0,198778463582879 
755	 0,199045837251904 
756	 0,199137739545402 
757	 0,199442494855681 
758	 0,199853201621254 
759	 0,199999544757954 
760	 0,200292965618318 
761	 0,200787925617986 
762	 0,201054977161119 
763	 0,201400575062124 
764	 0,202082924354817 
765	 0,202217841081716 
766	 0,201989113186117 
767	 0,202336232729748 
768	 0,20257490338736 
769	 0,202534665846346 
770	 0,202779947630975 
771	 0,203255987932928 
772	 0,203829367935726 
773	 0,204033850136793 
774	 0,203919759239792 
775	 0,204014897845009 
776	 0,204077887002909 
777	 0,204045051821484 
778	 0,204317459590289 
779	 0,204662499993038 
780	 0,204688794211334 
781	 0,204506157902053 
782	 0,204282805717538 
783	 0,204503763549024 
784	 0,204693609855595 
785	 0,204600148020045 
786	 0,204997756996837 
787	 0,205431525595078 
788	 0,204884619645727 
789	 0,204698498587505 
790	 0,205102566167546 
791	 0,205252503123131 
792	 0,205178909085011 
793	 0,204940702522801 
794	 0,204713820640384 
795	 0,204599390254835 
796	 0,204764018258866 
797	 0,204608522552397 
798	 0,204104899625428 
