Wavelength	MORB100439.asd
325	 0,246488148921951 
326	 0,167886324480153 
327	 0,10569777745065 
328	 0,12767268818613 
329	 0,149354987779009 
330	 0,139921366847516 
331	 8,55870479262335E-02 
332	 5,15488531862783E-02 
333	 4,97210077538105E-02 
334	 7,60356615579303E-02 
335	 4,53319784197688E-02 
336	-4,05259901917343E-02 
337	-1,38460749628262E-02 
338	 4,23072414800371E-02 
339	 4,90209042453331E-02 
340	 6,02743025714379E-02 
341	 8,47774889466551E-02 
342	 0,132306608727369 
343	 0,133243036206651 
344	 8,39231149318197E-02 
345	 0,105665345901115 
346	 0,115937525470699 
347	 3,87460391507486E-02 
348	-1,17703159231821E-02 
349	-5,26924917926095E-03 
350	 5,33393359435235E-02 
351	 7,61631762501373E-02 
352	 4,94258286243019E-02 
353	 6,07645398593982E-02 
354	 0,086759799068676 
355	 0,095423410988443 
356	 8,69035214301173E-02 
357	 6,72131796176242E-02 
358	 5,64995244491882E-02 
359	 3,84411515338847E-02 
360	 1,13275765670622E-02 
361	 2,95041100267659E-02 
362	 0,061134428629003 
363	 5,99036720094775E-02 
364	 5,04468260864901E-02 
365	 3,91144039090765E-02 
366	 3,63301826928139E-02 
367	 0,042520866187161 
368	 5,28513754558128E-02 
369	 3,53303448762198E-02 
370	 7,83019274243549E-03 
371	 0,010359245753131 
372	 2,03755614700359E-02 
373	 2,84946500219732E-02 
374	 0,023556633143427 
375	 0,019265218566971 
376	 2,58994774114203E-02 
377	 3,41548880997829E-02 
378	 4,33455523352065E-02 
379	 5,72986350356309E-02 
380	 0,068288831059001 
381	 7,19637703597466E-02 
382	 0,064758511352701 
383	 4,85292106143044E-02 
384	 2,72738032963049E-02 
385	 3,47416549260539E-02 
386	 5,59185259983963E-02 
387	 0,041175591003801 
388	 2,29834378315491E-02 
389	 1,52495100159542E-02 
390	 1,69570830725118E-02 
391	 0,017612843716872 
392	 5,24633026615573E-03 
393	 4,10846510049174E-03 
394	 1,59477444591649E-02 
395	 0,032648196425455 
396	 3,66124805572683E-02 
397	 2,36343330323253E-02 
398	 3,43390980864088E-02 
399	 5,00762803981718E-02 
400	 3,88543756875263E-02 
401	 3,06974078698131E-02 
402	 3,10987608277862E-02 
403	 2,62611624040412E-02 
404	 2,28062459404591E-02 
405	 2,46850872871484E-02 
406	 2,01378180224514E-02 
407	 1,37679694384821E-02 
408	 1,86026870938555E-02 
409	 2,19882383120018E-02 
410	 2,16823416475867E-02 
411	 2,56791987162471E-02 
412	 2,86351463223881E-02 
413	 2,55431925886581E-02 
414	 2,25740305104456E-02 
415	 2,14583553533538E-02 
416	 2,31158368276127E-02 
417	 2,60973903205157E-02 
418	 2,81489455439815E-02 
419	 2,04471011118064E-02 
420	 1,27749405126202E-02 
421	 1,83665167891402E-02 
422	 2,07955958482012E-02 
423	 1,80023155821081E-02 
424	 1,56938732993621E-02 
425	 1,62584175541133E-02 
426	 2,05760776570623E-02 
427	 2,35137701013788E-02 
428	 2,51190347594027E-02 
429	 2,70908704784737E-02 
430	 2,51902892241648E-02 
431	 2,05881568655337E-02 
432	 2,39861993084131E-02 
433	 2,75195928256525E-02 
434	 2,41425829346195E-02 
435	 0,018149439093743 
436	 1,39130459871887E-02 
437	 2,10967151118662E-02 
438	 2,43487032507351E-02 
439	 1,91433916259579E-02 
440	 1,87824217423437E-02 
441	 2,16180812368566E-02 
442	 2,40029662537143E-02 
443	 0,022803372911518 
444	 1,91487486135905E-02 
445	 1,93904837681654E-02 
446	 2,18740723470559E-02 
447	 2,49499161836878E-02 
448	 2,39921691562172E-02 
449	 2,12415304031714E-02 
450	 2,20163069706859E-02 
451	 0,022130148975714 
452	 2,10331363915971E-02 
453	 2,24350756670084E-02 
454	 2,26797841814958E-02 
455	 1,86802567368834E-02 
456	 1,79923796448655E-02 
457	 2,07213913026207E-02 
458	 0,023264853366497 
459	 2,47791273616105E-02 
460	 2,48517963707349E-02 
461	 2,48825771054051E-02 
462	 2,43064008753334E-02 
463	 2,21779592344798E-02 
464	 2,17165587601733E-02 
465	 2,28182231812872E-02 
466	 2,21100322969738E-02 
467	 2,10313161545274E-02 
468	 0,020693304205878 
469	 2,20267381735124E-02 
470	 2,36668577891232E-02 
471	 2,25092919820793E-02 
472	 2,28545912195725E-02 
473	 2,53436018619665E-02 
474	 2,64482520434785E-02 
475	 0,025386812858048 
476	 2,18189778040043E-02 
477	 2,05602204113989E-02 
478	 2,13288831784548E-02 
479	 1,98575009209594E-02 
480	 2,04090028505515E-02 
481	 2,40615780188517E-02 
482	 2,43546741280123E-02 
483	 2,31586756874216E-02 
484	 2,42827586510483E-02 
485	 2,38623297617864E-02 
486	 2,21055957505423E-02 
487	 2,35223544079508E-02 
488	 2,54666210830012E-02 
489	 2,57473783964688E-02 
490	 2,36731330693393E-02 
491	 2,08838759774946E-02 
492	 2,13970438097999E-02 
493	 2,18275674203214E-02 
494	 2,12118035095238E-02 
495	 2,09969771244658E-02 
496	 2,11518421158961E-02 
497	 0,021525157047125 
498	 2,21665969639907E-02 
499	 2,28170668314421E-02 
500	 2,27898158108777E-02 
501	 2,25456322981601E-02 
502	 2,24625947479434E-02 
503	 2,32222421690182E-02 
504	 2,43253034334399E-02 
505	 2,49480934896499E-02 
506	 2,39424159632312E-02 
507	 2,17777596604543E-02 
508	 2,18919686493585E-02 
509	 2,28936605796537E-02 
510	 2,33726334423251E-02 
511	 2,36681543948193E-02 
512	 2,36655642820755E-02 
513	 2,28875469029791E-02 
514	 2,26632507067182E-02 
515	 0,023421212137046 
516	 2,37655214122684E-02 
517	 2,36685606094844E-02 
518	 0,023296440167872 
519	 2,32189934896301E-02 
520	 2,34732567743695E-02 
521	 2,35070142795005E-02 
522	 2,36860852319712E-02 
523	 2,41621868565534E-02 
524	 2,35473802877917E-02 
525	 2,23941736924796E-02 
526	 2,23416898849712E-02 
527	 2,27029954610891E-02 
528	 2,31286498507944E-02 
529	 2,29102772601239E-02 
530	 2,28268822192727E-02 
531	 0,023800704726895 
532	 2,40448984709252E-02 
533	 2,34844522193188E-02 
534	 2,32059866220488E-02 
535	 2,31650983134475E-02 
536	 2,33018727964565E-02 
537	 0,023210142053897 
538	 0,022950559852343 
539	 2,27088703174821E-02 
540	 2,27489735363908E-02 
541	 2,31538425628434E-02 
542	 2,39027522151547E-02 
543	 2,43534342295421E-02 
544	 2,39278452570027E-02 
545	 2,33245982559986E-02 
546	 2,29900309881297E-02 
547	 0,023718963793035 
548	 2,42501006534346E-02 
549	 0,024056270686976 
550	 2,42781495929102E-02 
551	 2,45514714021658E-02 
552	 2,41092726480908E-02 
553	 2,38121195262018E-02 
554	 2,38884467707074E-02 
555	 2,41599586059811E-02 
556	 2,44424317707371E-02 
557	 2,45646766536185E-02 
558	 2,43474945767988E-02 
559	 2,39619248339631E-02 
560	 2,39333860920139E-02 
561	 2,37170439629559E-02 
562	 2,32593552721282E-02 
563	 2,35654667731094E-02 
564	 2,41176633281399E-02 
565	 2,41221592680119E-02 
566	 2,44213239527649E-02 
567	 2,50095152991809E-02 
568	 2,50588279600923E-02 
569	 2,53552739887778E-02 
570	 2,63333912247293E-02 
571	 2,65581601356156E-02 
572	 2,62531238946089E-02 
573	 2,63951919268215E-02 
574	 2,64478096232116E-02 
575	 2,64235420585864E-02 
576	 0,02727516149357 
577	 2,80877572240813E-02 
578	 2,77902356294217E-02 
579	 2,74055854755238E-02 
580	 2,73901261725545E-02 
581	 2,83389188047844E-02 
582	 2,93950192908769E-02 
583	 2,98771242901766E-02 
584	 2,87034058740959E-02 
585	 2,73668112538503E-02 
586	 2,87709034881854E-02 
587	 2,94256671780246E-02 
588	 2,87410511995447E-02 
589	 0,029216572610049 
590	 2,98576817796923E-02 
591	 2,96758635851494E-02 
592	 2,95189644519949E-02 
593	 2,95023783569413E-02 
594	 2,95467185178015E-02 
595	 2,92080780446859E-02 
596	 2,84627356766073E-02 
597	 2,86937888511765E-02 
598	 2,92272306638839E-02 
599	 2,88575375617543E-02 
600	 2,82463872872032E-02 
601	 0,027794009131816 
602	 2,83203052501945E-02 
603	 2,87760877073243E-02 
604	 0,028358115757773 
605	 0,027981554745163 
606	 2,78532851379061E-02 
607	 2,80936335667496E-02 
608	 2,83065607769586E-02 
609	 2,82930037630593E-02 
610	 2,80342113984945E-02 
611	 0,027605501176418 
612	 2,71052186060443E-02 
613	 0,026625719374625 
614	 2,62895736028777E-02 
