Wavelength	NEUF00694.asd
325	 0,575030991061525 
326	 0,726291011181204 
327	 0,744296633509492 
328	 0,571384265222666 
329	 0,506936162057965 
330	 0,489869741853779 
331	 0,51380213342013 
332	 0,581033746029759 
333	 0,644218632328139 
334	 0,743556802550009 
335	 0,804507321172636 
336	 0,778944379496303 
337	 0,60431903418538 
338	 0,470374120634817 
339	 0,518216276720234 
340	 0,552041238535273 
341	 0,540985583076921 
342	 0,47863902567532 
343	 0,465466164510778 
344	 0,510636166135482 
345	 0,564414642780929 
346	 0,577810781751472 
347	 0,522280310852671 
348	 0,458652911714136 
349	 0,411670687350158 
350	 0,418334832734234 
351	 0,477693158568763 
352	 0,556776528772013 
353	 0,514511012115409 
354	 0,434626168069619 
355	 0,433714755240954 
356	 0,487293627220775 
357	 0,551215220325229 
358	 0,529691224002854 
359	 0,503667525222189 
360	 0,503985067625977 
361	 0,492409444971436 
362	 0,482057564077582 
363	 0,492757738426129 
364	 0,51721650540861 
365	 0,53735433568702 
366	 0,513806309925545 
367	 0,492040431366995 
368	 0,498511055847765 
369	 0,495563083856654 
370	 0,489903651349768 
371	 0,501582546842311 
372	 0,504497441988493 
373	 0,497491655222681 
374	 0,510329896539611 
375	 0,513170879686026 
376	 0,487362685976391 
377	 0,497217942074678 
378	 0,524537131249085 
379	 0,50823905351242 
380	 0,501279538218519 
381	 0,517572108106598 
382	 0,541225185341066 
383	 0,550486149992376 
384	 0,527414183833271 
385	 0,516569340190359 
386	 0,521036141509196 
387	 0,519475773510897 
388	 0,53135222817364 
389	 0,555185509905317 
390	 0,548753949612959 
391	 0,531299130992514 
392	 0,529630441324114 
393	 0,534139354124009 
394	 0,539250323792482 
395	 0,53363456431147 
396	 0,532195486774101 
397	 0,540895490932006 
398	 0,544563083230354 
399	 0,54190712249643 
400	 0,532924041551046 
401	 0,527579505892867 
402	 0,529144743584337 
403	 0,538878698241731 
404	 0,54523527429934 
405	 0,540984366355642 
406	 0,538574188986266 
407	 0,537257322615082 
408	 0,531295848454517 
409	 0,528564277818911 
410	 0,529957444983041 
411	 0,527957864027233 
412	 0,52731366851271 
413	 0,532440254838661 
414	 0,537730898120485 
415	 0,540643410595956 
416	 0,537258603667464 
417	 0,537297941049859 
418	 0,542483558759826 
419	 0,535620306214605 
420	 0,528687011613093 
421	 0,537932882948879 
422	 0,537903914466064 
423	 0,52891205908603 
424	 0,531450994343406 
425	 0,534979897032569 
426	 0,533285311676748 
427	 0,531829829727266 
428	 0,53111451171694 
429	 0,530341457454622 
430	 0,533733358950404 
431	 0,540088097578964 
432	 0,539605779169324 
433	 0,536397961516009 
434	 0,534578838991403 
435	 0,533971423728375 
436	 0,533936156259128 
437	 0,532224555006369 
438	 0,533012864778443 
439	 0,5368147229398 
440	 0,5361066904426 
441	 0,534494396396457 
442	 0,537331068616698 
443	 0,538203438840845 
444	 0,536439925056675 
445	 0,534814018537787 
446	 0,534795533147607 
447	 0,537059640761545 
448	 0,538922314934317 
449	 0,540007804131797 
450	 0,540485944786179 
451	 0,540139928774391 
452	 0,539531661498224 
453	 0,541256317395041 
454	 0,542686330799809 
455	 0,541461731758068 
456	 0,542170329228483 
457	 0,545161830276726 
458	 0,54977158743651 
459	 0,550392142543783 
460	 0,545600642322908 
461	 0,543153487072824 
462	 0,543368032787955 
463	 0,545545948627626 
464	 0,546018892554275 
465	 0,544613128192275 
466	 0,544724230212049 
467	 0,544526173917221 
468	 0,543085812537386 
469	 0,542918882191532 
470	 0,544846831908652 
471	 0,550161181061706 
