Wavelength	GRA-VAN00207.asd
325	 0,439708302507813 
326	 0,169502916607312 
327	 0,13996227032842 
328	 0,443845888088444 
329	 0,267219166211764 
330	-1,81837091272152E-02 
331	 0,191541293540461 
332	 0,249646420073062 
333	 0,215604194865362 
334	 0,121662326175618 
335	 0,137278209650437 
336	 0,258522394864574 
337	 0,222693076409651 
338	 0,120013356750694 
339	 1,55781172991621E-02 
340	 0,048660882685779 
341	 0,135012961836187 
342	 9,29445051945204E-02 
343	 6,26630259358452E-02 
344	 8,25811423858749E-02 
345	 6,49735591909949E-02 
346	 7,70456184284148E-02 
347	 0,17604221479758 
348	 0,157727559456634 
349	 4,73691671982955E-02 
350	-5,44198202713831E-04 
351	 1,16373605151225E-02 
352	 5,82013047530289E-02 
353	 5,29575715117447E-02 
354	 3,82192141958202E-02 
355	 6,64102591312969E-02 
356	 8,10983803638335E-02 
357	 7,49956760183566E-02 
358	 6,19651586154503E-02 
359	 4,19708389689991E-02 
360	 2,27445024876228E-02 
361	 2,39582611450465E-02 
362	 3,24365034761547E-02 
363	 0,028875066750745 
364	 4,16171630072146E-02 
365	 6,64195854368992E-02 
366	 5,87772550884235E-02 
367	 6,55211264053003E-02 
368	 0,104656811997349 
369	 8,21311300395008E-02 
370	 3,15407955750016E-02 
371	 2,84511588267446E-02 
372	 5,08800738035686E-02 
373	 0,074715406894725 
374	 4,39645898657312E-02 
375	 1,98862336850451E-02 
376	 4,89370718400069E-02 
377	 5,67631454962606E-02 
378	 4,23459728727194E-02 
379	 2,59418930117012E-02 
380	 2,46918305442322E-02 
381	 0,040431797339058 
382	 5,27988406982708E-02 
383	 5,54491655821801E-02 
384	 4,54720675111895E-02 
385	 4,64444899304615E-02 
386	 0,049179334924811 
387	 1,18809973898851E-02 
388	 6,07728182935725E-03 
389	 4,94395379294133E-02 
390	 5,38688975223337E-02 
391	 3,47943040403126E-02 
392	 1,81254887733057E-02 
393	 1,77350718882909E-02 
394	 2,83990385792566E-02 
395	 2,19575563757884E-02 
396	 1,94179085265233E-02 
397	 3,01897395272537E-02 
398	 4,27690841082234E-02 
399	 4,87751064461221E-02 
400	 3,82874367822422E-02 
401	 3,41982984052645E-02 
402	 3,76613704804352E-02 
403	 2,82925020156973E-02 
404	 1,67937885205942E-02 
405	 1,24705828878807E-02 
406	 2,48012276792593E-02 
407	 3,97288788570486E-02 
408	 2,96876472695056E-02 
409	 2,31068426958137E-02 
410	 0,026308359183944 
411	 2,54522430129089E-02 
412	 0,021300781568769 
413	 1,57743640226404E-02 
414	 1,83174168851387E-02 
415	 2,43756195065424E-02 
416	 0,017894009168225 
417	 0,013011992152516 
418	 1,55071750860009E-02 
419	 2,13837725188477E-02 
420	 2,72893155424773E-02 
421	 3,01030152463068E-02 
422	 2,77854861839836E-02 
423	 2,20976095571977E-02 
424	 1,93457783424519E-02 
425	 2,03105186112008E-02 
426	 2,47411566280263E-02 
427	 2,70185826947198E-02 
428	 2,57338133642953E-02 
429	 1,95807497933154E-02 
430	 1,73326849110917E-02 
431	 2,01885602489513E-02 
432	 1,99513735740455E-02 
433	 1,96486160817459E-02 
434	 2,18623486706002E-02 
435	 1,98235538483119E-02 
436	 0,015567264026093 
437	 1,78373939778918E-02 
438	 1,81292530937905E-02 
439	 1,38113934997931E-02 
440	 1,00188788939982E-02 
441	 9,60226880770508E-03 
442	 1,54098375564644E-02 
443	 1,89790011890065E-02 
444	 1,90651789289508E-02 
445	 1,95254001932706E-02 
446	 1,92743226565594E-02 
447	 1,78872229000562E-02 
448	 1,72687228183229E-02 
449	 1,69570392613771E-02 
450	 1,52919271547736E-02 
451	 1,64503436834565E-02 
452	 2,03021105615961E-02 
453	 2,06202176331675E-02 
454	 1,90152768572528E-02 
455	 1,74465846716937E-02 
456	 1,94057500581617E-02 
457	 0,022407965552544 
458	 0,017813374520549 
459	 1,43048074095123E-02 
460	 1,55658322839663E-02 
461	 0,018689986604719 
462	 2,09438488316404E-02 
463	 1,91961546744028E-02 
464	 1,73772149539565E-02 
465	 1,68025283270734E-02 
466	 1,78451128703192E-02 
467	 1,94132178346586E-02 
468	 2,05758653334672E-02 
469	 2,03107679123794E-02 
470	 1,89206070675808E-02 
471	 1,70467495767098E-02 
472	 1,68853013384841E-02 
473	 1,84694508764352E-02 
474	 0,017941654534496 
475	 1,69100078365691E-02 
476	 1,71939310261423E-02 
477	 1,90314152959782E-02 
478	 2,10451753269225E-02 
479	 0,019474344545422 
480	 1,77868068008682E-02 
481	 1,77300957355238E-02 
482	 1,89624042478179E-02 
483	 1,97566558245994E-02 
484	 1,76621547710274E-02 
485	 1,64252932150129E-02 
486	 1,69422291656894E-02 
487	 1,84832819794325E-02 
488	 1,91293338480717E-02 
489	 1,76460360286888E-02 
490	 1,71428220831446E-02 
491	 1,76314339119114E-02 
492	 1,81591580755819E-02 
493	 1,70844523547353E-02 
494	 1,47120278474463E-02 
495	 1,63153413079986E-02 
496	 1,83555933567873E-02 
497	 0,016522850982312 
498	 1,66011936294759E-02 
499	 1,84553733300215E-02 
500	 1,75790431097869E-02 
501	 1,66208046710356E-02 
502	 1,69687397223176E-02 
503	 0,016876855569893 
504	 1,69707142076078E-02 
505	 1,88553060100278E-02 
506	 0,019167384173022 
507	 1,77443923733934E-02 
508	 1,87609225723569E-02 
509	 1,95253862590292E-02 
510	 0,017620468047698 
511	 0,01668001329057 
512	 1,66464026822147E-02 
513	 1,52530981428958E-02 
514	 1,49257646760848E-02 
515	 1,64271852823408E-02 
516	 0,017598344662193 
517	 1,81352953410127E-02 
518	 1,79662777526373E-02 
519	 1,79962583178244E-02 
520	 1,84112754045412E-02 
521	 1,90942453013019E-02 
522	 1,86501994490045E-02 
523	 1,64352394371116E-02 
524	 1,69127675912786E-02 
525	 1,90515429307402E-02 
526	 1,91364915204196E-02 
527	 0,018068113929362 
528	 0,016534374685497 
529	 0,016926862186254 
530	 1,76807078723225E-02 
531	 0,01683076926514 
532	 1,66871155387042E-02 
533	 1,71426033131209E-02 
534	 1,60890578025883E-02 
535	 1,54968386355391E-02 
536	 1,63804294798118E-02 
537	 1,67825594770844E-02 
