Wavelength	SCO-GRA00048.asd
325	 0,319719537201872 
326	 0,3996665269006 
327	 0,388209859439194 
328	 0,281614419500293 
329	 0,219383675662922 
330	 0,230528265254838 
331	 0,322311904345545 
332	 0,265476089803219 
333	 0,109077838400421 
334	 3,86726622712403E-02 
335	 7,72762336352268E-02 
336	 0,166688116328042 
337	 0,179118922620406 
338	 0,12585908185482 
339	 2,74230206310338E-02 
340	 1,00504453808836E-02 
341	 5,97258732145105E-02 
342	 0,136171796129962 
343	 0,11658897020086 
344	-4,55393908040352E-03 
345	 3,61828962298829E-02 
346	 9,14665866892058E-02 
347	 4,44183545717596E-02 
348	-1,94564838469663E-02 
349	-5,99457823397816E-02 
350	 5,98800043977446E-03 
351	 4,81962615327467E-02 
352	 3,46054580718071E-02 
353	 4,84234706837333E-02 
354	 7,70331565116987E-02 
355	 0,105580502061628 
356	 6,46576941376698E-02 
357	-1,33422572303954E-02 
358	 2,01694201249042E-02 
359	 6,06624444123678E-02 
360	 5,87747572409042E-02 
361	 5,51333838463355E-02 
362	 5,37317932894016E-02 
363	 5,44795661000841E-02 
364	 6,06531086427423E-02 
365	 6,71303890635857E-02 
366	 5,32780827730667E-02 
367	 4,05195423348776E-02 
368	 4,34589871755357E-02 
369	 5,44130895505561E-02 
370	 5,96530732409148E-02 
371	 3,97524706029522E-02 
372	 3,34122603082256E-02 
373	 4,25159098973953E-02 
374	 2,03449650759267E-02 
375	 1,82496372659192E-02 
376	 6,95850581290534E-02 
377	 7,70710168788483E-02 
378	 4,67796839529985E-02 
379	 1,59038851789029E-02 
380	 4,01721652203874E-03 
381	 1,68570562813863E-02 
382	 3,49438911404766E-02 
383	 4,41716122920217E-02 
384	 3,69349247864631E-02 
385	 3,55426501460353E-02 
386	 4,08345034789467E-02 
387	 0,043812367967594 
388	 3,84580189281022E-02 
389	 2,66469317902289E-02 
390	 0,033782656878339 
391	 4,38840251668368E-02 
392	 3,61229446857611E-02 
393	 2,78906178576542E-02 
394	 2,38673603151655E-02 
395	 2,64514434447245E-02 
396	 0,023543492253133 
397	 1,25693899630869E-02 
398	 0,022750472276939 
399	 3,93521872494774E-02 
400	 3,71575537819753E-02 
401	 3,54641247676633E-02 
402	 3,55311598038237E-02 
403	 2,26337216953127E-02 
404	 1,34928786259352E-02 
405	 1,93669938909393E-02 
406	 2,44783506764578E-02 
407	 2,68799707815169E-02 
408	 2,82023803746401E-02 
409	 2,73781169961437E-02 
410	 2,37139740710733E-02 
411	 1,31776514004062E-02 
412	 1,01642810187308E-02 
413	 2,62899534230723E-02 
414	 2,65599746131381E-02 
415	 1,49697096238734E-02 
416	 1,68331409289786E-02 
417	 2,30660756260658E-02 
418	 2,83091648783221E-02 
419	 0,022959963444168 
420	 1,55375063585073E-02 
421	 1,78709630719288E-02 
422	 2,15432463083946E-02 
423	 2,32859810268956E-02 
424	 1,86658125723599E-02 
425	 0,015390250315147 
426	 1,78050931749296E-02 
427	 1,92535985500276E-02 
428	 1,98601321240331E-02 
429	 2,17076821997698E-02 
430	 0,021899794523744 
431	 1,96095913016193E-02 
432	 1,43272573675147E-02 
433	 1,25202065424526E-02 
434	 0,019083057215633 
435	 2,05495318246686E-02 
436	 1,74012136639273E-02 
437	 1,76132449659984E-02 
438	 0,016662104802462 
439	 1,41419239072532E-02 
440	 0,018244733019021 
441	 2,17919505041679E-02 
442	 1,50746198751688E-02 
443	 1,35469585412022E-02 
444	 1,82570351540338E-02 
445	 1,98869347118241E-02 
446	 1,84649355883253E-02 
447	 1,47325229798437E-02 
448	 0,016283999011566 
449	 1,97058707775963E-02 
450	 1,67473419257028E-02 
451	 1,35974647182294E-02 
452	 1,25898419697429E-02 
