Wavelength	NEUF00171.asd
325	-1,40405819795133E-02 
326	-0,059774276857568 
327	-5,43122092443534E-02 
328	 1,68753048284832E-02 
329	 0,117027584574282 
330	 0,148036072959884 
331	-1,68247251853057E-02 
332	 3,17129396523334E-02 
333	 0,17357361816774 
334	 9,88956827193636E-02 
335	 9,77702614154752E-02 
336	 0,213959142566223 
337	 0,131804097488785 
338	-6,65520718925694E-03 
339	-4,42042258127821E-02 
340	-1,44576236121647E-02 
341	 3,99359835103036E-02 
342	 2,99444072925744E-02 
343	 0,016922032702208 
344	 1,78239645702096E-02 
345	 5,83032047889892E-02 
346	 8,12309660938065E-02 
347	 3,92196076300201E-02 
348	 2,48731831822211E-02 
349	 3,07382230961859E-02 
350	-0,019459185250651 
351	-4,52271948504985E-03 
352	 7,77053745190931E-02 
353	 2,55580998376285E-02 
354	-0,058081568746876 
355	-0,028893588722956 
356	 1,01936107536456E-02 
357	 3,14006255953083E-02 
358	 2,50816669474003E-02 
359	 0,018011850102314 
360	 2,31958329941374E-02 
361	 0,044983652166976 
362	 5,53867705278767E-02 
363	 1,87696079549616E-02 
364	 2,15963815741324E-02 
365	 6,15398849941043E-02 
366	 5,90786865927473E-02 
367	 0,0421615089983 
368	 2,64621564888358E-02 
369	 3,23921264391891E-03 
370	-6,9551989930889E-03 
371	 2,65848398315024E-02 
372	 0,041310322993065 
373	 2,79184127339632E-02 
374	 3,31062643383783E-02 
375	 3,69980992828466E-02 
376	 2,50711308761554E-02 
377	 0,019864290079613 
378	 2,19795716545103E-02 
379	 2,49152168384188E-02 
380	 2,80657032411948E-02 
381	 3,09798552066015E-02 
382	 3,72224828543197E-02 
383	 3,76891860484517E-02 
384	 2,47399044494563E-02 
385	 2,65521721288435E-02 
386	 3,76510462717359E-02 
387	 2,68642091398729E-02 
388	 2,98255258364463E-02 
389	 5,23059864862305E-02 
390	 4,79026786263516E-02 
391	 3,04338388855429E-02 
392	 2,09756062283495E-02 
393	 2,16257527123371E-02 
394	 2,72445318300306E-02 
395	 1,99310498700887E-02 
396	 1,64147945121535E-02 
397	 2,44919454153588E-02 
398	 0,034488893087899 
399	 3,81984510262116E-02 
400	 2,44794600282285E-02 
401	 1,85242589616626E-02 
402	 2,39881986278785E-02 
403	 2,80774457253833E-02 
404	 0,031397761711028 
405	 3,36462747894162E-02 
406	 2,65680020336323E-02 
407	 1,72072704044429E-02 
408	 2,13128231462569E-02 
409	 2,69197596212946E-02 
410	 2,86544425215368E-02 
411	 1,90076181394727E-02 
412	 1,05328668369079E-02 
413	 1,47653915865766E-02 
414	 2,34815366910207E-02 
415	 3,09376809674104E-02 
416	 2,75592694798241E-02 
417	 2,42242001262939E-02 
418	 2,51907365615013E-02 
419	 2,58540579819416E-02 
420	 2,65345504868992E-02 
421	 2,81870449509424E-02 
422	 2,66002969172998E-02 
423	 2,23769402607114E-02 
424	 2,01314262417384E-02 
425	 1,95005590137725E-02 
426	 2,03287510454513E-02 
427	 2,29134444583264E-02 
428	 0,025825052683256 
429	 2,69024987764669E-02 
430	 2,66107050421891E-02 
431	 2,54603109647855E-02 
432	 2,51292052649337E-02 
433	 2,45866049079393E-02 
434	 2,29970594972745E-02 
435	 2,26818286859111E-02 
436	 2,34221138922626E-02 
437	 2,32042177290213E-02 
438	 2,55666351398413E-02 
439	 2,99694510538935E-02 
440	 2,46999264056906E-02 
441	 1,79829972966695E-02 
442	 2,13677845445573E-02 
443	 2,19160312060851E-02 
444	 1,88945287394902E-02 
445	 0,020502586656159 
446	 2,31586231343628E-02 
447	 2,45746162452368E-02 
448	 2,49897411412454E-02 
449	 2,55503915632684E-02 
450	 2,85974992067903E-02 
451	 2,95175568636921E-02 
452	 2,73038989000183E-02 
453	 2,40425134706683E-02 
454	 2,30199324360037E-02 
455	 2,68305722329598E-02 
456	 0,027434263545598 
457	 2,52772858228674E-02 
458	 2,58476544385045E-02 
459	 2,67193183787443E-02 
460	 2,69436484480442E-02 
461	 0,026986208774953 
462	 2,62687169693129E-02 
463	 2,40137506333518E-02 
464	 2,24060531831482E-02 
465	 2,23656669261604E-02 
466	 2,51422748901346E-02 
467	 0,026353046964808 
468	 2,35883154974486E-02 
469	 2,31013038519701E-02 
470	 2,40432988211653E-02 
471	 2,26284121741496E-02 
472	 2,27574450239509E-02 
473	 2,49111877831563E-02 
474	 2,57497831124937E-02 
475	 2,46535406434166E-02 
476	 2,14388270345724E-02 
477	 0,021327410606133 
478	 2,36677473372028E-02 
479	 2,35020731258355E-02 
480	 0,023175667941138 
481	 2,36336845515621E-02 
482	 2,40640835411307E-02 
483	 2,38181683152232E-02 
