Wavelength	PENFOUL00199.asd
325	 0,382005944254491 
326	 0,253453276474016 
327	 7,25050792976923E-02 
328	 3,48813564624361E-03 
329	 1,07930821176349E-02 
330	 0,142646723292909 
331	 0,302357147859329 
332	 0,276096051891007 
333	 0,128966840973678 
334	 6,73361366194484E-02 
335	 4,27442985041057E-02 
336	 3,82398063139727E-02 
337	 6,17444946589155E-02 
338	 0,125819509239858 
339	 0,214162334224708 
340	 0,196636139353506 
341	 0,119080309529171 
342	 6,50446596923531E-02 
343	 8,09917528527168E-02 
344	 0,157706088456352 
345	 0,095948449290741 
346	 0,014761474432931 
347	 3,90371566361689E-02 
348	 6,26366396313201E-02 
349	 6,66716954180754E-02 
350	 3,99473452633371E-02 
351	 1,47536454662336E-02 
352	 8,23061832956287E-03 
353	 4,65037877285527E-02 
354	 7,49505194523904E-02 
355	 4,75526310535338E-02 
356	 3,47138984417883E-02 
357	 4,65803317378741E-02 
358	 6,79698321121486E-02 
359	 0,073519603114865 
360	 5,89151107312443E-02 
361	 7,37609026074833E-02 
362	 9,10853842941629E-02 
363	 6,34049413306119E-02 
364	 0,055241574120819 
365	 6,63922518951123E-02 
366	 4,43015166750149E-02 
367	 2,96497857417104E-02 
368	 4,28964380346185E-02 
369	 3,85378151260504E-02 
370	 3,21093527136423E-02 
371	 6,41689671326966E-02 
372	 5,51427048505112E-02 
373	 6,89653483171387E-03 
374	 3,74462012934705E-02 
375	 6,80203192995092E-02 
376	 4,82577641815649E-02 
377	 5,32513120673215E-02 
378	 6,95367171582957E-02 
379	 4,37945827023414E-02 
380	 2,72845692558647E-02 
381	 3,55352189081554E-02 
382	 4,55368418678043E-02 
383	 5,11181053175323E-02 
384	 4,82905384324075E-02 
385	 0,038559175822394 
386	 2,65321989217827E-02 
387	 1,89882337096686E-02 
388	 2,63646856788942E-02 
389	 4,59995838360378E-02 
390	 4,10458447565191E-02 
391	 3,38458110722075E-02 
392	 5,34137501657103E-02 
393	 0,050084224143645 
394	 2,66886924370027E-02 
395	 2,00281308679064E-02 
396	 2,79243334548108E-02 
397	 4,49862212716752E-02 
398	 0,040376983010216 
399	 0,028369606065043 
400	 3,53796240996453E-02 
401	 3,10679586197495E-02 
402	 1,75493098305573E-02 
403	 3,12371250088723E-02 
404	 4,76358830707457E-02 
405	 4,98254554963319E-02 
406	 3,84052450201367E-02 
407	 2,35912798867445E-02 
408	 2,55568273066091E-02 
409	 3,46852642890639E-02 
410	 4,44660298712296E-02 
411	 4,21873078382807E-02 
412	 3,57218890315765E-02 
413	 3,31007782229824E-02 
414	 3,18065408809034E-02 
415	 3,22172787439795E-02 
416	 3,67553472934639E-02 
417	 3,85174331878559E-02 
418	 3,58326500401721E-02 
419	 3,74096097459653E-02 
420	 3,92759536530471E-02 
421	 3,57982000127994E-02 
422	 2,92677029034637E-02 
423	 2,45058064820498E-02 
424	 3,61711520562323E-02 
425	 4,20858298523391E-02 
426	 3,12638832546727E-02 
427	 2,99390198304165E-02 
428	 0,033580971567376 
429	 2,73461005969169E-02 
430	 2,48307354223747E-02 
431	 2,87330287686844E-02 
432	 3,34115695770699E-02 
433	 3,41725828758986E-02 
434	 2,80052818327346E-02 
435	 2,78792685917198E-02 
436	 3,32539513279965E-02 
437	 3,68680831293664E-02 
438	 3,75243251798714E-02 
439	 3,52720086443314E-02 
440	 3,54663829837491E-02 
441	 3,62150075416604E-02 
442	 3,45192407824639E-02 
443	 3,34808095826786E-02 
444	 3,32982798206517E-02 
445	 3,16442714350598E-02 
446	 3,20630142369596E-02 
447	 3,59505082019702E-02 
448	 3,59354820075015E-02 
449	 0,03312141003922 
450	 3,12883010138446E-02 
451	 3,17741925899079E-02 
452	 3,44061596996236E-02 
453	 3,58043012885207E-02 
454	 3,63976169296504E-02 
455	 3,66112452208526E-02 
456	 3,39481272653284E-02 
457	 3,00993271591851E-02 
458	 3,05156447843147E-02 
459	 3,16514229381882E-02 
460	 0,031904475348936 
461	 3,06797443816348E-02 
462	 0,031722044579324 
463	 0,040045130250285 
464	 3,99685465825448E-02 
465	 3,21919680308816E-02 
466	 3,40362602691033E-02 
467	 3,63869584701647E-02 
468	 3,37620445443769E-02 
469	 3,41472493137785E-02 
470	 3,60357262827169E-02 
471	 3,40353787995657E-02 
472	 3,41549421494631E-02 
473	 3,70325219446227E-02 
474	 3,65456168623899E-02 
475	 3,40889878352587E-02 
476	 3,15326503136083E-02 
477	 3,20572405552522E-02 
478	 3,47098603605809E-02 
479	 3,49466236583914E-02 
480	 3,47849597473482E-02 
481	 3,51072116918686E-02 
482	 3,55152785069683E-02 
483	 3,60299465846368E-02 
484	 3,67302940539996E-02 
485	 3,74659108186182E-02 
486	 3,79263445398711E-02 
487	 3,71024239486113E-02 
488	 3,67311340263334E-02 
489	 3,79884946815473E-02 
490	 3,86606846834455E-02 
491	 3,83507880522701E-02 
492	 3,68510771098051E-02 
493	 3,62163403174257E-02 
494	 3,68991901541541E-02 
495	 3,67464905346666E-02 
496	 3,60442370757805E-02 
497	 3,53098906176049E-02 
498	 3,47838891453591E-02 
499	 3,49793655982557E-02 
500	 3,72736006033843E-02 
501	 3,91033531324308E-02 
502	 3,90990645594258E-02 
503	 3,93127822984173E-02 
504	 3,93306283182838E-02 
505	 3,78765162916128E-02 
506	 3,69863136073325E-02 
507	 3,72197209913847E-02 
508	 3,81530679139487E-02 
509	 3,82371161384311E-02 
510	 0,036383357786988 
511	 3,78424740952273E-02 
512	 4,11670705973575E-02 
513	 3,99718038323603E-02 
514	 3,90285878515746E-02 
515	 4,01001465111766E-02 
516	 4,04824430051731E-02 
517	 4,02822760882263E-02 
518	 3,99819087563348E-02 
519	 4,05252331974311E-02 
520	 4,16765076896076E-02 
521	 4,17557442886544E-02 
522	 0,041051237855401 
523	 3,99550610150353E-02 
524	 3,99101840033821E-02 
525	 4,07538683103468E-02 
526	 4,15528759500362E-02 
527	 4,26155406236171E-02 
528	 4,36723976916964E-02 
529	 4,32306003943121E-02 
530	 4,22263970888643E-02 
531	 4,18367087178599E-02 
532	 4,17186182059206E-02 
533	 4,18167087661305E-02 
534	 4,21001636770482E-02 
535	 0,042535540125629 
536	 4,29749595849527E-02 
537	 4,23916578942793E-02 
538	 4,17058604891529E-02 
539	 4,28695224791764E-02 
540	 4,38982584881736E-02 
541	 4,40573604610957E-02 
542	 4,30549560452194E-02 
543	 4,23312775485426E-02 
544	 4,32208117191519E-02 
545	 4,38007210666393E-02 
546	 4,38495222398528E-02 
547	 4,40251752586281E-02 
548	 4,36833719119807E-02 
549	 4,28292343031401E-02 
550	 4,36547966604419E-02 
551	 4,50690332667559E-02 
552	 4,50552916390789E-02 
553	 0,044663025120591 
554	 4,42511620705069E-02 
555	 4,39054152151772E-02 
556	 4,42781014646997E-02 
557	 4,57528794137492E-02 
558	 0,046272573778142 
559	 0,045846286447519 
560	 0,045424256499152 
561	 4,53989875842065E-02 
562	 4,58771002385302E-02 
563	 4,61023494456203E-02 
564	 4,59934275949073E-02 
565	 0,045549795144573 
566	 0,045227274534822 
567	 4,52309015911524E-02 
568	 4,57747994615448E-02 
569	 4,61636671057055E-02 
