Wavelength	NEUF00529.asd
325	 0,223928361714621 
326	 4,25245607919426E-02 
327	-0,072511406732981 
328	 1,84360266623313E-02 
329	 0,19226008634975 
330	 0,284487526004946 
331	 0,101714725333254 
332	 0,036984821226876 
333	 0,12229281797257 
334	 0,184859521226849 
335	 0,171980471325841 
336	 6,12684039246917E-02 
337	-1,67634551392587E-02 
338	-4,50165563589892E-02 
339	-3,47372131731391E-02 
340	 1,94434866560927E-02 
341	 8,05227022357875E-02 
342	 4,84230719868145E-02 
343	 5,37971659393247E-02 
344	 0,107383869654491 
345	 7,21740535566485E-02 
346	 1,66291522354482E-02 
347	 1,52089560349981E-02 
348	 9,67331987740151E-03 
349	 4,1088860128228E-03 
350	 0,037026945621287 
351	 0,07340966331371 
352	 9,49216065538399E-02 
353	 7,41030017902494E-02 
354	 0,043005484920606 
355	 4,39610329404016E-02 
356	 5,25827473271409E-02 
357	 0,061051656216098 
358	 6,51803702234949E-02 
359	 6,27023374428619E-02 
360	 5,45775944612212E-02 
361	 6,19921296059692E-02 
362	 6,15557081683768E-02 
363	 1,69650457624005E-02 
364	 0,026245297656513 
365	 8,06093186608384E-02 
366	 7,43108897102148E-02 
367	 4,83777428243262E-02 
368	 2,89523399003149E-02 
369	 3,14085025795645E-02 
370	 4,52378469493053E-02 
371	 4,99021060144978E-02 
372	 3,86358549122492E-02 
373	 1,82028129610747E-02 
374	 2,34733798265011E-02 
375	 3,23088736473388E-02 
376	 2,91550443549326E-02 
377	 4,99065963188149E-02 
378	 7,27242137657488E-02 
379	 3,86440188326287E-02 
380	 1,79821395363287E-02 
381	 3,10895409507823E-02 
382	 5,23191465964569E-02 
383	 6,44657510541107E-02 
384	 5,36769688336563E-02 
385	 4,50067865282156E-02 
386	 4,10540767497967E-02 
387	 3,01927126644616E-02 
388	 3,25795003183003E-02 
389	 4,86234572411236E-02 
390	 3,53211315620459E-02 
391	 1,59751499839652E-02 
392	 2,24474517201035E-02 
393	 3,28552597926381E-02 
394	 3,92532513917807E-02 
395	 0,033438078033122 
396	 2,65414896180206E-02 
397	 2,61431260921149E-02 
398	 3,77476208448017E-02 
399	 4,72283233958598E-02 
400	 3,25568449490015E-02 
401	 2,72699751559663E-02 
402	 3,59962826814077E-02 
403	 4,28005771937472E-02 
404	 4,52706367296009E-02 
405	 0,042379979517057 
406	 4,02704866846717E-02 
407	 3,79945426756348E-02 
408	 0,031350818761853 
409	 2,63473181735315E-02 
410	 2,48943704391084E-02 
411	 2,69383598315035E-02 
412	 2,90568637645648E-02 
