Wavelength	BEL100098.asd
325	 1,39809156707309E-02 
326	 1,69651044876251E-02 
327	 1,72735486311012E-02 
328	 1,49722159788233E-02 
329	 1,72666088291805E-02 
330	 1,94947347844753E-02 
331	 1,81924409845009E-02 
332	 1,66912411766334E-02 
333	 0,016135617347798 
334	 1,80734754352845E-02 
335	 1,83573956479514E-02 
336	 1,66027686692477E-02 
337	 1,73637959061213E-02 
338	 1,84271510457891E-02 
339	 1,76928293295379E-02 
340	 1,64391731529074E-02 
341	 1,56181638931178E-02 
342	 1,68820496843696E-02 
343	 1,80688159246246E-02 
344	 0,018377227076779 
345	 1,81340734137184E-02 
346	 1,73925987186015E-02 
347	 1,62538555706245E-02 
348	 1,61227318707611E-02 
349	 1,68206405408421E-02 
350	 1,73002251644043E-02 
351	 1,74795947941919E-02 
352	 1,73519388279258E-02 
353	 1,73843125311436E-02 
354	 1,72303994263783E-02 
355	 1,64533531659562E-02 
356	 1,67370497391816E-02 
357	 1,77129675215638E-02 
358	 1,71407781158768E-02 
359	 1,64875290927146E-02 
360	 0,016477990148688 
361	 1,65194051139701E-02 
362	 1,67058188794253E-02 
363	 1,72469339566997E-02 
364	 1,75139207358488E-02 
365	 1,74985353788793E-02 
366	 1,77659679424602E-02 
367	 1,78891334630819E-02 
368	 1,76369285853942E-02 
369	 1,74671823533809E-02 
370	 1,74401191796367E-02 
371	 1,75502319344826E-02 
372	 1,75120814433213E-02 
373	 1,72816274678085E-02 
374	 0,017054972373178 
375	 1,71708027678669E-02 
376	 1,78422374167145E-02 
377	 1,81343639207048E-02 
378	 0,018063565222549 
379	 1,81100828994318E-02 
380	 1,80658310917291E-02 
381	 1,79999648681205E-02 
382	 1,85361291327723E-02 
383	 1,90720417803365E-02 
384	 0,018926102008382 
385	 0,018541179867393 
386	 1,81438359056011E-02 
387	 1,80241811254228E-02 
388	 1,79700476192118E-02 
389	 1,79746762798277E-02 
390	 1,85865756221979E-02 
391	 0,019046134668018 
392	 1,84345730096502E-02 
393	 0,018037469984696 
394	 1,80815159612082E-02 
395	 1,82581425649098E-02 
396	 1,84273614272395E-02 
397	 1,84974047515454E-02 
398	 0,018492459743351 
399	 1,84263085248816E-02 
400	 1,83011014232125E-02 
401	 1,82942029741199E-02 
402	 1,84206743747711E-02 
403	 1,86300571582653E-02 
404	 1,86545304031376E-02 
405	 0,018355981138744 
406	 1,83484352945656E-02 
407	 1,85109568437065E-02 
408	 1,83706788491788E-02 
409	 1,83608546569764E-02 
410	 1,85542173540493E-02 
411	 1,86587175378086E-02 
412	 1,86475240335494E-02 
413	 1,85372111701888E-02 
414	 1,88652820728638E-02 
415	 1,95198032411635E-02 
416	 1,98541828324176E-02 
417	 2,02678870234402E-02 
418	 2,08604657915125E-02 
419	 2,10979124000838E-02 
420	 2,12163564535814E-02 
421	 2,16151988697617E-02 
422	 2,19023974044379E-02 
423	 2,20331482964702E-02 
424	 2,22253772684534E-02 
425	 2,23757541206983E-02 
426	 2,24076908278841E-02 
427	 2,22747288370354E-02 
428	 2,21119956020705E-02 
429	 2,21664885168456E-02 
430	 2,23273464780768E-02 
431	 0,022618193541286 
432	 2,32729822338805E-02 
433	 2,40050019066642E-02 
434	 2,45446118449792E-02 
435	 2,51936941709007E-02 
436	 2,58639459307335E-02 
437	 2,61611722577862E-02 
438	 2,65594605264497E-02 
439	 2,71797166381476E-02 
440	 2,74193631196778E-02 
441	 2,75204585216119E-02 
442	 2,78668990387316E-02 
443	 2,83059592775204E-02 
444	 2,87606131370698E-02 
445	 2,91365644665611E-02 
446	 2,92887828599156E-02 
447	 2,91909031770262E-02 
448	 2,94567121933617E-02 
449	 2,99332996897041E-02 
450	 3,01772335558244E-02 
451	 3,02351694527444E-02 
452	 3,01525457474506E-02 
453	 3,01793765739107E-02 
454	 3,00229513020861E-02 
