Wavelength	OSM-GIL00027.asd
325	 0,268635678473882 
326	 0,310917791729339 
327	 0,30412412225459 
328	 0,214933663832043 
329	 0,16880227048916 
330	 0,173486297781081 
331	 0,209981731715074 
332	 0,22634591052998 
333	 0,218252324776258 
334	 0,161818178351406 
335	 0,111321281898899 
336	 0,112324741763873 
337	 0,063214567947559 
338	 2,87979995322152E-02 
339	 5,13926635560243E-02 
340	 9,68363030577542E-02 
341	 0,128987336383075 
342	 9,94448064288429E-02 
343	 0,111475765512843 
344	 0,177034777449494 
345	 0,181051269990593 
346	 0,179248587868145 
347	 0,224929820008964 
348	 0,218782190257671 
349	 0,175554103459258 
350	 0,150989805743426 
351	 0,12728896315745 
352	 0,106908646874264 
353	 0,13722013390737 
354	 0,176395300103032 
355	 0,179454523575847 
356	 0,159969851656446 
357	 0,13070298031239 
358	 0,122617633793607 
359	 0,133026205710038 
360	 0,156114539325086 
361	 0,174217264079831 
362	 0,183107058254158 
363	 0,178815090260852 
364	 0,186020342621125 
365	 0,199416513604275 
366	 0,181817664121497 
367	 0,16244357907321 
368	 0,162223894125816 
369	 0,169430749632914 
370	 0,178230895035473 
371	 0,180913679511607 
372	 0,194697933683575 
373	 0,217184107885344 
374	 0,222955365071311 
375	 0,212188610504498 
376	 0,187139149011658 
377	 0,164708158056225 
378	 0,151258930090806 
379	 0,151032720696111 
380	 0,15726940049874 
381	 0,166057012615456 
382	 0,172145712301416 
383	 0,177361465569751 
384	 0,18401477451495 
385	 0,183219141541652 
386	 0,17605063578253 
387	 0,167014192576847 
388	 0,164385750239481 
389	 0,171298242315883 
390	 0,181384319360005 
391	 0,188082296791766 
392	 0,184705202498479 
393	 0,188080796903162 
394	 0,196903526827526 
395	 0,197269594164983 
396	 0,191290943942368 
397	 0,182065892765132 
398	 0,181863502860731 
399	 0,188018701710693 
400	 0,195073132487628 
401	 0,193765664635783 
402	 0,186143069050441 
403	 0,189818309622101 
404	 0,191455242736927 
405	 0,183201074655925 
406	 0,184001280134544 
407	 0,189530684037457 
408	 0,185157101804805 
409	 0,185666122994467 
410	 0,193453586141026 
411	 0,199928544632809 
412	 0,200177296225419 
413	 0,191000722410512 
414	 0,184929539530251 
415	 0,183683915191108 
416	 0,184659152998679 
417	 0,184876590128841 
418	 0,183765899971576 
419	 0,187444430171199 
420	 0,190842797359612 
