Wavelength	AVEN00036.asd
325	 0,215277734489444 
326	 0,137322110725812 
327	 0,102229781805618 
328	 9,77081819101858E-02 
329	 0,179646642705394 
330	 0,204543485241573 
331	 0,104410925438289 
332	 9,56609923940601E-02 
333	 0,150757785148332 
334	 0,117696374849753 
335	 0,155404354251834 
336	 0,256596634471771 
337	 0,26664439851887 
338	 0,233520120286332 
339	 0,197480706568342 
340	 0,139981869973515 
341	 9,66511377176716E-02 
342	 0,128193357204922 
343	 0,177752554723748 
344	 0,214755188419882 
345	 0,196858645320893 
346	 0,185965479895837 
347	 0,244976308200454 
348	 0,249740767860356 
349	 0,207743996132031 
350	 0,187690101716181 
351	 0,186029256610357 
352	 0,200572686943885 
353	 0,221599035116873 
354	 0,229982838345034 
355	 0,206179194942351 
356	 0,18752218195865 
357	 0,186250553366013 
358	 0,212099558835059 
359	 0,213104412593787 
360	 0,173858747914734 
361	 0,184527630148827 
362	 0,213696295317119 
363	 0,206576780046777 
364	 0,189508201507025 
365	 0,182026104797213 
366	 0,225107089049367 
367	 0,249204649478496 
368	 0,215368422631622 
369	 0,210549340913635 
370	 0,218323297040308 
371	 0,187806175761683 
372	 0,187517333266101 
373	 0,22090416415547 
374	 0,220330872712168 
375	 0,211852335156811 
376	 0,216967113439836 
377	 0,235886176798835 
378	 0,254242301314364 
379	 0,235018847640303 
380	 0,22657596494042 
381	 0,2373704331744 
382	 0,230113944530224 
383	 0,221717710104008 
384	 0,229777492986512 
385	 0,229944759456704 
386	 0,222604084308911 
387	 0,219768428616765 
388	 0,220264523568052 
389	 0,225124669565133 
390	 0,243272661081456 
391	 0,254103077282021 
392	 0,235170486937321 
393	 0,227075872835457 
394	 0,233347064328838 
395	 0,232204467551343 
396	 0,236366851781292 
397	 0,24944643857212 
398	 0,251661551967854 
399	 0,245618824898981 
400	 0,238660167570752 
401	 0,232530524040827 
402	 0,22954084624636 
403	 0,23476234259269 
404	 0,240031137311853 
405	 0,239935104625715 
406	 0,240295220097126 
407	 0,240290617111342 
408	 0,235502340192787 
409	 0,238991814105219 
410	 0,249656702974136 
411	 0,242678189075855 
412	 0,234758058844014 
413	 0,24170459456349 
414	 0,2444160449708 
415	 0,241931319784701 
416	 0,240169445632089 
417	 0,241429739811121 
418	 0,245911685772153 
419	 0,248900417141819 
420	 0,247082641215768 
421	 0,236991958630857 
422	 0,235996686542437 
423	 0,242993972990948 
424	 0,239664825636906 
425	 0,237398893858792 
426	 0,242150423036155 
427	 0,24214346478249 
428	 0,239968284780333 
429	 0,243268904541126 
430	 0,243105372039153 
431	 0,239117898178197 
432	 0,241084712773822 
433	 0,244505498624969 
434	 0,245157710853891 
435	 0,245487454556265 
436	 0,245691453401569 
437	 0,244927999414952 
438	 0,246089510724695 
439	 0,248915625186868 
440	 0,244053669499865 
441	 0,238903940138624 
442	 0,243576362200648 
443	 0,245459849675201 
444	 0,243622746987952 
445	 0,245641260233974 
446	 0,247879982893263 
447	 0,248032109456274 
448	 0,246506766359484 
449	 0,245682888346492 
450	 0,250001559051172 
451	 0,252490444198355 
452	 0,2512157360377 
453	 0,247986813046522 
454	 0,24695951710853 
455	 0,251492641397889 
456	 0,254162691179612 
457	 0,253981636429288 
458	 0,252432050232867 
459	 0,25132053089046 
460	 0,251415946749687 
461	 0,251046093888832 
462	 0,251027385624582 
463	 0,252636064139531 
464	 0,253074963908848 
465	 0,252275921684284 
466	 0,252678304739604 
467	 0,253065932598691 
468	 0,252843848715103 
469	 0,254324617305733 
470	 0,25624221796053 
471	 0,255430876515617 
472	 0,255571458907865 
473	 0,256896831490879 
474	 0,25444757175461 
475	 0,252064641545533 
476	 0,253646961043803 
477	 0,256593499373718 
478	 0,25912160503483 
479	 0,258046047689794 
480	 0,256359796195199 
481	 0,255753461917497 
482	 0,257376720540152 
483	 0,258788417283446 
484	 0,256280031575006 
485	 0,253681665072756 
486	 0,252669056427341 
487	 0,255413292635203 
488	 0,256978515678765 
489	 0,254083116576507 
490	 0,254078896829024 
491	 0,25588575211806 
492	 0,254040212217405 
493	 0,253402370311424 
494	 0,254989954288826 
495	 0,254698656046477 
496	 0,254294205145863 
497	 0,256032076770632 
498	 0,25558711561962 
499	 0,25348542198248 
500	 0,25434871907206 
501	 0,255249242428427 
502	 0,254760822010489 
503	 0,255305470915954 
504	 0,256961214518052 
505	 0,259603825868619 
506	 0,260051480701201 
507	 0,25815256583679 
508	 0,25774652303927 
509	 0,258740766924386 
510	 0,260768048477989 
511	 0,262042461675608 
512	 0,262531620841825 
513	 0,263511514228352 
514	 0,26283970576536 
515	 0,260564353054781 
516	 0,263016790992425 
517	 0,26692119641253 
518	 0,267039009531392 
519	 0,265905753948865 
520	 0,264713819933469 
521	 0,265459507398699 
522	 0,265923298493191 
523	 0,264641935920477 
524	 0,264139188538041 
525	 0,264644865013637 
526	 0,265877868426386 
527	 0,266694383456031 
528	 0,266561176255012 
529	 0,265376526267204 
530	 0,264251727587208 
