Wavelength	GRA-BER00060.asd
325	 6,94086099894134E-02 
326	 0,315300720254214 
327	 0,35534546322505 
328	 0,178579580767275 
329	 0,196313025952903 
330	 0,229781100197781 
331	 0,138683375785952 
332	 0,222292716671608 
333	 0,339825810127613 
334	 0,147026727940611 
335	 1,99715316338341E-02 
336	 0,105892855808811 
337	 0,201524088071093 
338	 0,186348335070906 
339	-1,65549400611014E-02 
340	-3,49515494727784E-02 
341	 7,32031311110863E-02 
342	-2,52904581324803E-04 
343	-4,87370511613162E-02 
344	-2,12493565800414E-03 
345	 0,100386527029831 
346	 0,188295928228124 
347	 0,192248412187575 
348	 0,126892603383939 
349	 0,037171670664419 
350	 4,22580082446589E-02 
351	 6,86990143166018E-02 
352	 7,91032483884762E-02 
353	 6,65582859427447E-02 
354	 0,057601422996372 
355	 8,43456352159987E-02 
356	 0,086651109678131 
357	 6,69479489683718E-02 
358	 6,26077378884859E-02 
359	 6,48920770045157E-02 
360	 7,07411852072234E-02 
361	 9,09571345360464E-02 
362	 0,106466923271154 
363	 8,83088333672996E-02 
364	 7,63453429357319E-02 
365	 7,77846321260647E-02 
366	 7,89255798392883E-02 
367	 7,44965351781812E-02 
368	 0,062105047304005 
369	 5,15406798743753E-02 
370	 4,26993711509243E-02 
371	 3,00870296258895E-02 
372	 4,01528765622779E-02 
373	 7,06931062077994E-02 
374	 8,65507358516562E-02 
375	 8,85299599587047E-02 
376	 7,91009178557445E-02 
377	 8,16618385182295E-02 
378	 8,82415638664227E-02 
379	 7,44416075957979E-02 
380	 5,43025187692658E-02 
381	 3,71831134126476E-02 
382	 0,040698811273724 
383	 5,54407553846985E-02 
384	 7,05541532962512E-02 
385	 6,66075314434294E-02 
386	 5,24596167651766E-02 
387	 6,38333619147435E-02 
388	 6,66451838522483E-02 
389	 5,34833929674303E-02 
390	 5,99684279430536E-02 
391	 6,86232531566306E-02 
392	 5,58695475566494E-02 
393	 6,60779242769286E-02 
394	 0,089416435750031 
395	 0,072069895698384 
396	 5,97197697714693E-02 
397	 7,25174405131675E-02 
398	 6,15160553936372E-02 
399	 4,27493561700568E-02 
400	 4,63212616857407E-02 
401	 5,94688294594812E-02 
402	 7,16903270293154E-02 
403	 5,87188938588944E-02 
404	 5,03447195668249E-02 
405	 6,48713289212909E-02 
406	 6,79302441730602E-02 
407	 6,30038789418326E-02 
408	 6,71215533269185E-02 
409	 6,86857528243861E-02 
410	 6,46826549198717E-02 
411	 5,63643461602645E-02 
412	 5,14885635048772E-02 
413	 5,68022597509311E-02 
414	 6,57075235419399E-02 
415	 7,29020439094799E-02 
416	 6,93308697952504E-02 
417	 6,65471473479711E-02 
418	 6,82907943425267E-02 
419	 6,47408401764857E-02 
420	 6,04005364605256E-02 
421	 6,18383278239604E-02 
422	 6,05007446176273E-02 
423	 5,74206041835751E-02 
424	 6,23460748891681E-02 
425	 6,85702252539346E-02 
426	 7,11888777148554E-02 
427	 6,53209323696249E-02 
428	 5,77718668977747E-02 
429	 6,16556480293902E-02 
430	 6,55360071696069E-02 
431	 0,066278022470501 
432	 6,60402581389525E-02 
433	 6,61644356287419E-02 
434	 6,74561651427893E-02 
435	 0,063657926132834 
436	 5,85314566267149E-02 
437	 6,49119949873998E-02 
438	 6,93448612877876E-02 
439	 6,73911513489065E-02 
440	 6,76445029926971E-02 
441	 6,87059640810049E-02 
442	 6,79335673645818E-02 
443	 6,66967148139709E-02 
444	 6,54978631892952E-02 
445	 0,064220698550057 
446	 0,065859053228113 
447	 7,09497711997943E-02 
448	 6,68085347013871E-02 
449	 5,98833201098999E-02 
450	 6,51068769627086E-02 
451	 7,07542168365462E-02 
452	 7,26984125801523E-02 
453	 0,069595027989366 
454	 6,67375869840533E-02 
455	 6,89523432054894E-02 
456	 7,08190917575091E-02 
457	 7,18018971971265E-02 
458	 7,38929394622548E-02 
459	 0,07327751428408 
460	 6,96917706006847E-02 
461	 0,072301312591038 
462	 7,65130954820706E-02 
463	 0,0751639942529 
464	 0,074727583355241 
465	 7,57822693177068E-02 
466	 0,074488680352329 
467	 7,37303965982804E-02 
468	 7,50668555932455E-02 
469	 7,37012912744929E-02 
470	 7,20027435763215E-02 
471	 7,63311233360424E-02 
472	 7,79295198219965E-02 
473	 7,49538402412839E-02 
474	 7,26099188660863E-02 
475	 7,30865787005211E-02 
476	 7,77998151874118E-02 
477	 7,78132472156392E-02 
478	 7,40128876782456E-02 
479	 7,38998824291116E-02 
480	 7,50431394319512E-02 
481	 7,62923462703261E-02 
482	 7,72993890277486E-02 
483	 7,79959037092618E-02 
484	 7,84242569679206E-02 
485	 7,82132996201195E-02 
486	 0,077559510751201 
487	 7,72072265553385E-02 
488	 7,81142377629894E-02 
489	 8,06031896032918E-02 
490	 8,01631371101593E-02 
491	 0,07829879203565 
492	 8,00747634251702E-02 
493	 0,082357429728482 
494	 8,36126233832186E-02 
495	 8,17866802134341E-02 
496	 7,99528266370927E-02 
497	 8,16623078382697E-02 
498	 8,04348195564029E-02 
499	 7,76685719068398E-02 
500	 8,25041964979947E-02 
501	 8,61203277751252E-02 
502	 8,41032470123749E-02 
503	 8,41142178530876E-02 
504	 8,57222732031773E-02 
505	 8,65332633290317E-02 
506	 8,65237672096067E-02 
507	 8,59878159389396E-02 
508	 8,66494869504188E-02 
509	 8,71010365841606E-02 
510	 8,61180288881646E-02 
511	 8,58052680183659E-02 
512	 8,62918063584309E-02 
513	 8,68543131138886E-02 
514	 8,73007617436297E-02 
515	 8,75368246992714E-02 
516	 8,77550406202502E-02 
517	 8,81442718390776E-02 
518	 8,89331318484433E-02 
519	 8,94811831699407E-02 
520	 8,99087898457797E-02 
521	 0,091505549290464 
522	 9,23590702582235E-02 
523	 9,12353687012601E-02 
524	 9,05308455300278E-02 
525	 9,06296920315168E-02 
526	 9,14890552353661E-02 
527	 0,092106358944675 
528	 9,23419610046466E-02 
529	 9,38124672401388E-02 
530	 0,09522249644164 
531	 9,50228691526053E-02 
532	 9,45037271713412E-02 
533	 9,40851497524098E-02 
534	 9,39423386302092E-02 
535	 0,094173394823856 
536	 9,47500858840641E-02 
537	 9,48788550150922E-02 
538	 9,49719971115884E-02 
539	 9,60024632201034E-02 
540	 9,70192389934776E-02 
541	 9,77290658327745E-02 
542	 9,82851715840766E-02 
543	 0,09897927651764 
544	 0,100023404083825 
545	 9,98798225050456E-02 
546	 9,91143747484346E-02 
547	 0,100262152355403 
548	 0,100946532975988 
549	 0,100261750189033 
550	 0,100529833359238 
551	 0,101323220720334 
552	 0,101572698218051 
553	 0,101675650229537 
554	 0,101813567739335 
555	 0,10228182232691 
556	 0,102937523446917 
557	 0,103617769070759 
558	 0,103975180136358 
559	 0,104062919567323 
560	 0,104218300381174 
561	 0,104150312198814 
562	 0,103881676710357 
563	 0,10403044096168 
564	 0,10481166365543 
565	 0,106423578946972 
566	 0,107258627222925 
567	 0,107052383122764 
568	 0,106515065422921 
569	 0,106311043417564 
570	 0,106885629473034 
571	 0,107615709348488 
572	 0,108187259537554 
573	 0,108183406909329 
574	 0,108097221016848 
575	 0,108194376552158 
576	 0,108832989725497 
577	 0,109347557835616 
578	 0,108991916174231 
579	 0,108960199818125 
580	 0,109269704512057 
581	 0,108895661663438 
582	 0,109193655588281 
583	 0,110761857784896 
584	 0,111887655856061 
585	 0,112333906643734 
586	 0,112170752210611 
587	 0,111448479946195 
588	 0,110598394749395 
589	 0,111127186101621 
590	 0,111845724285543 
591	 0,111648754342382 
592	 0,112159854054063 
593	 0,113176002814353 
594	 0,113400614927972 
595	 0,113141501139177 
596	 0,112601315103437 
597	 0,112151039153195 
598	 0,112229739181295 
599	 0,113428796525409 
600	 0,113706634797774 
601	 0,112994037426435 
602	 0,113465501016038 
603	 0,114282984767649 
604	 0,114701593364673 
605	 0,114501004831948 
606	 0,114026120244615 
607	 0,114188975791693 
608	 0,114567368244349 
609	 0,114902205489703 
610	 0,114619622572107 
611	 0,114191897375619 
612	 0,114255433798188 
613	 0,114640779557085 
614	 0,115190990529536 
615	 0,115587789010209 
616	 0,115729347466602 
617	 0,115566369798183 
618	 0,115298415289191 
619	 0,115126428057941 
620	 0,115363226533458 
621	 0,115532152997965 
622	 0,115563489661047 
623	 0,11593735119607 
624	 0,116485183207928 
625	 0,116996255469514 
626	 0,117279082902285 
627	 0,117321380349235 
628	 0,117286318528583 
629	 0,116972893382937 
630	 0,116446743397577 
631	 0,116839930925611 
632	 0,117635544236126 
633	 0,117818499266263 
634	 0,11753056124143 
635	 0,11706803371205 
636	 0,117480918536343 
637	 0,118161259078449 
638	 0,118539024250915 
639	 0,118492961735855 
640	 0,118358587425096 
641	 0,119127709059016 
642	 0,119546316484195 
643	 0,119253637451871 
644	 0,119453722083715 
645	 0,119691621260566 
646	 0,11923571932477 
647	 0,11943711301248 
648	 0,120189109349582 
649	 0,119913973346508 
650	 0,119500054316197 
651	 0,119530073679956 
652	 0,119558174241048 
653	 0,119403515589294 
654	 0,118719481961491 
655	 0,118873253914005 
656	 0,119861518401402 
657	 0,119267267797482 
658	 0,118217863196653 
659	 0,118015027760809 
660	 0,118034340691061 
661	 0,117837400745422 
662	 0,11634601975988 
663	 0,115652252941183 
664	 0,116566759046127 
665	 0,116500180779063 
666	 0,115989840949243 
667	 0,116361777614424 
668	 0,116629726583797 
669	 0,116549692823997 
670	 0,116226337518228 
671	 0,116129159312992 
672	 0,116595973581913 
673	 0,116978212507355 
674	 0,117220366810069 
675	 0,117482770701094 
676	 0,117768157926006 
677	 0,118155068434549 
678	 0,118987686315702 
679	 0,119919173398164 
680	 0,120513584172036 
681	 0,120934931217175 
682	 0,121272625410664 
683	 0,121702802782029 
684	 0,122050645956675 
685	 0,122288510296743 
686	 0,123061860776242 
687	 0,12401163791308 
688	 0,12434863214316 
689	 0,124794713423749 
690	 0,125559429383304 
691	 0,126563178994876 
692	 0,127470506451844 
693	 0,127984675443323 
694	 0,128208085640334 
695	 0,128413536309808 
696	 0,129221805371746 
697	 0,130042200264354 
698	 0,130618803712112 
699	 0,131090416382996 
700	 0,131384825292284 
701	 0,131398241635874 
702	 0,131965024077406 
703	 0,132905030372334 
704	 0,132858476784117 
705	 0,132805334206712 
706	 0,133356893519116 
707	 0,13403728291514 
708	 0,134639770680293 
709	 0,13493049750996 
710	 0,135011507563899 
711	 0,135022198421965 
712	 0,135386557977364 
713	 0,135785217377502 
714	 0,135945253605043 
715	 0,136681189048588 
716	 0,137675266873723 
717	 0,137744156407922 
718	 0,137638922779836 
719	 0,137705984344365 
720	 0,13799078552644 
721	 0,138377151236768 
722	 0,13870108955499 
723	 0,13942029215282 
724	 0,140279238434281 
725	 0,140099416929655 
726	 0,13981795520496 
727	 0,140076193321657 
728	 0,140999300737796 
729	 0,141950018158707 
730	 0,141761866145248 
731	 0,141669444093478 
732	 0,141996240240887 
733	 0,142348881174194 
734	 0,142686923575047 
735	 0,142974785035355 
736	 0,143065435097657 
737	 0,143151045806344 
738	 0,143811475706903 
739	 0,144238051373587 
740	 0,144252054407531 
741	 0,144775432766996 
742	 0,145292129397835 
743	 0,14514286211629 
744	 0,145152179612393 
745	 0,145447711777099 
746	 0,14579874242452 
747	 0,14613624917664 
748	 0,146415569839156 
749	 0,146691356404623 
750	 0,146972934781276 
751	 0,147266163054045 
752	 0,14754113774348 
753	 0,14776299559639 
754	 0,147801181478924 
755	 0,147998449123962 
756	 0,14856737967646 
757	 0,14899159927948 
758	 0,149296630277694 
759	 0,149718925240611 
760	 0,150094251780818 
761	 0,150377826047562 
762	 0,150601352075951 
763	 0,150886483982568 
764	 0,151316952360194 
765	 0,15133444907405 
766	 0,151214296892778 
767	 0,152020358851389 
768	 0,152457119861795 
769	 0,152151984752389 
770	 0,152155473781456 
771	 0,152512638101388 
772	 0,153150090938362 
773	 0,15341404341074 
774	 0,153286112045341 
775	 0,153176591609027 
776	 0,15339966919813 
777	 0,15405684866997 
778	 0,154483951969923 
779	 0,154779600026523 
780	 0,155218404188806 
781	 0,155375410341692 
782	 0,155263167945877 
783	 0,155302514633573 
784	 0,155456069747681 
785	 0,15571445476522 
786	 0,156198983248884 
787	 0,156691296399986 
788	 0,156769775166888 
789	 0,157175447646062 
790	 0,157858437954622 
791	 0,157631687974032 
792	 0,157377616983915 
793	 0,157789295206235 
794	 0,15811802983912 
795	 0,158259501918882 
796	 0,158232045331048 
797	 0,158398291180788 
798	 0,158829665465056 
799	 0,159197619342899 
800	 0,159415401042404 
801	 0,159436907382514 
802	 0,159573450714 
803	 0,159780580396903 
804	 0,159741136202565 
805	 0,159893055071568 
806	 0,160301061059423 
807	 0,160358931186892 
808	 0,160408568796526 
809	 0,16082981154216 
810	 0,160837666699959 
811	 0,160654047245542 
812	 0,161428070265704 
813	 0,161771468056998 
814	 0,16129744029489 
815	 0,161489889282246 
816	 0,162037267019526 
817	 0,162411365362421 
818	 0,162575733509043 
819	 0,16263568573444 
820	 0,163001949425773 
821	 0,163244221504602 
822	 0,163228189960142 
823	 0,16346878310299 
824	 0,163873733369498 
825	 0,164254529048185 
826	 0,164409947123506 
827	 0,164421559262875 
828	 0,164758620279187 
829	 0,164938001964214 
830	 0,164775914420707 
831	 0,164894922284532 
832	 0,164943605900753 
833	 0,164367440405576 
834	 0,164247949868638 
835	 0,164685683322676 
836	 0,165026854214413 
837	 0,165532574359848 
838	 0,166177109204875 
839	 0,165916590747032 
840	 0,165454105201871 
841	 0,165924367747947 
842	 0,165818059028411 
843	 0,165157504119381 
844	 0,165252451488587 
845	 0,165602074633327 
846	 0,165910862119842 
847	 0,166157123349407 
848	 0,16625223566531 
849	 0,166095544843935 
850	 0,16625994454797 
851	 0,166744932567784 
852	 0,167066663569664 
853	 0,167119278468625 
854	 0,166963455399632 
855	 0,167570174569426 
856	 0,1680917656584 
857	 0,167263025453101 
858	 0,167182137341421 
859	 0,167882006308871 
860	 0,167673389284867 
861	 0,167552782091111 
862	 0,167948785557895 
863	 0,168178597745675 
864	 0,168146144156061 
865	 0,167834994775892 
866	 0,167922591575471 
867	 0,168424796983994 
868	 0,168906973466828 
869	 0,169032478406056 
870	 0,168718319167842 
871	 0,168664124282173 
872	 0,168713356171766 
873	 0,168603939929004 
874	 0,168756071778968 
875	 0,16904366688897 
876	 0,168808265440796 
877	 0,168789331918981 
878	 0,169266639302308 
879	 0,169932789111126 
880	 0,170340630818078 
881	 0,170080474314242 
882	 0,169874268306159 
883	 0,169812329752099 
884	 0,16967634435166 
885	 0,169659262383483 
886	 0,169754427423647 
887	 0,169534382727234 
