Wavelength	NEUF00032.asd
325	 0,330932341619365 
326	 0,17791346654822 
327	 4,04384586555356E-02 
328	 5,90998336730738E-02 
329	 0,157636767408042 
330	 0,213236966404842 
331	 0,103028509712832 
332	 0,15718753146935 
333	 0,278254505340645 
334	 0,250821622560634 
335	 0,23306478286103 
336	 0,243163622730913 
337	 0,122757293270173 
338	 4,83298696314322E-02 
339	 0,150596367283749 
340	 0,166028204951383 
341	 0,128596179160287 
342	 0,202508764463899 
343	 0,201702004621337 
344	 0,109693350192584 
345	 7,04125976171004E-02 
346	 9,19702178916697E-02 
347	 0,152285201891202 
348	 0,128346095109944 
349	 4,64909089163147E-02 
350	 4,97497255501877E-02 
351	 9,45599210341903E-02 
352	 0,144997931537721 
353	 0,115357841708647 
354	 6,36326923777147E-02 
355	 6,93872951016219E-02 
356	 6,47020974244189E-02 
357	 4,78030784814206E-02 
358	 5,35838626377197E-02 
359	 5,23481323872255E-02 
360	 3,51394062972855E-02 
361	 4,43685049616889E-02 
362	 5,64305709356539E-02 
363	 3,35753023512137E-02 
364	 4,60400778722719E-02 
365	 8,82001924291732E-02 
366	 9,48502865713214E-02 
367	 7,11323679790725E-02 
368	 2,37392300817267E-02 
369	 0,017318417214288 
370	 4,19314555437439E-02 
371	 6,37005207519365E-02 
372	 6,47942197207865E-02 
373	 0,050913947123876 
374	 7,79174157598443E-02 
375	 9,12277874419949E-02 
376	 5,31258003678782E-02 
377	 3,87792760952658E-02 
378	 0,049511604742575 
379	 0,060592378864424 
380	 8,17385668913068E-02 
381	 0,10549098337994 
382	 0,101738816048151 
383	 0,083854714116489 
384	 6,51894012181488E-02 
385	 5,82582047385991E-02 
386	 5,91222395502416E-02 
387	 4,62511859395809E-02 
388	 4,23763150361666E-02 
389	 5,41474202338526E-02 
390	 6,75748433879659E-02 
391	 6,97559061482345E-02 
392	 0,047088993985274 
393	 4,71018210379599E-02 
394	 6,47538123198063E-02 
395	 5,29093644064747E-02 
396	 4,52815578331056E-02 
397	 5,63619081871195E-02 
398	 5,64225506272467E-02 
399	 4,68956798004431E-02 
400	 3,34769521835739E-02 
401	 0,032154261417968 
402	 4,35720783311486E-02 
403	 5,48279121226957E-02 
404	 5,96314521403646E-02 
405	 5,40288955383598E-02 
406	 4,15766085482383E-02 
407	 2,98619699453393E-02 
408	 3,18625992814198E-02 
409	 3,54013003027501E-02 
410	 3,70382017840304E-02 
411	 3,97472552589672E-02 
412	 4,13281882966709E-02 
413	 4,00397549236768E-02 
414	 4,43199128325007E-02 
415	 5,01299760027865E-02 
416	 4,35637192388858E-02 
417	 3,74231849755287E-02 
418	 3,67788195022947E-02 
419	 3,65402432172445E-02 
420	 3,80393954734657E-02 
421	 4,35414440768067E-02 
422	 4,12473454976345E-02 
423	 3,33395982886332E-02 
424	 3,58331057089578E-02 
425	 0,0386933491118 
426	 3,62169840948821E-02 
427	 3,54654407435033E-02 
428	 3,62914949170119E-02 
429	 3,69282016244089E-02 
430	 3,68807984742784E-02 
431	 3,63900618691163E-02 
432	 0,037431940655096 
433	 3,89010694952928E-02 
434	 3,96448239724313E-02 
435	 3,86069735882539E-02 
436	 3,67448857828028E-02 
437	 3,67980656944791E-02 
438	 3,75807132086823E-02 
439	 3,81080814468664E-02 
440	 3,53744635178703E-02 
441	 3,25430664453729E-02 
442	 3,38848240128759E-02 
443	 3,46510260255189E-02 
444	 3,45220701118401E-02 
445	 3,65545631011547E-02 
446	 3,84508114911023E-02 
447	 3,88267904696829E-02 
448	 3,87048485860071E-02 
449	 3,86786467842196E-02 
450	 0,039566052769341 
451	 4,05929436134521E-02 
452	 0,040850470801824 
453	 0,037435951146947 
454	 3,47710188612381E-02 
455	 3,68952605855055E-02 
456	 3,74456974785716E-02 
457	 3,68197612283037E-02 
458	 3,98191732347301E-02 
459	 0,040988640269898 
460	 3,86226607567367E-02 
461	 3,75345296271787E-02 
462	 3,74079665128145E-02 
463	 3,71727271510059E-02 
464	 3,69939976902009E-02 
465	 0,037084901605493 
466	 3,84343835747237E-02 
467	 3,86233498581509E-02 
468	 3,65058839018589E-02 
469	 0,037137886678592 
470	 3,91513849376462E-02 
471	 3,82751699757656E-02 
472	 3,82599876246805E-02 
473	 3,94651399810516E-02 
474	 3,81633741376077E-02 
475	 3,53772199572894E-02 
476	 3,24869847474968E-02 
477	 3,35502534525995E-02 
478	 3,70398286975328E-02 
479	 3,64781564079446E-02 
480	 3,56658452417688E-02 
481	 3,63275137841231E-02 
482	 3,79440409814185E-02 
483	 3,85875483310976E-02 
484	 3,54600572982184E-02 
485	 3,47955436989014E-02 
486	 3,70854846160822E-02 
487	 3,73586681578824E-02 
488	 3,64708549903613E-02 
489	 3,53119533208028E-02 
490	 0,035601694904517 
491	 3,70031838689523E-02 
492	 3,81864292946164E-02 
493	 3,87993465814198E-02 
494	 3,85341442482093E-02 
495	 3,69729709340043E-02 
496	 3,54627764286682E-02 
497	 3,54893441145836E-02 
498	 3,66677077346697E-02 
499	 3,78083657418882E-02 
500	 3,54347382393261E-02 
501	 3,43289999988745E-02 
502	 3,67879298885239E-02 
503	 3,77656121402685E-02 
504	 0,03753866439089 
505	 3,77521097754796E-02 
506	 0,038266388416883 
507	 3,88333785422974E-02 
508	 3,83538345435614E-02 
509	 3,78602274878296E-02 
510	 3,82210938293978E-02 
511	 3,71376916305238E-02 
512	 0,03535256372786 
513	 3,58431326269412E-02 
514	 3,64648697852025E-02 
515	 3,64538601552583E-02 
516	 3,74393635667687E-02 
517	 3,80519050777898E-02 
518	 3,61552715521973E-02 
519	 3,65820278169385E-02 
520	 3,91567369026584E-02 
521	 3,85412193780767E-02 
522	 3,72331580913605E-02 
523	 3,70965633235493E-02 
524	 3,71241822094574E-02 
525	 0,037337750245154 
526	 3,81943372361067E-02 
527	 3,86127966655722E-02 
528	 3,82773560115419E-02 
529	 3,78761131794824E-02 
530	 3,74270310498481E-02 
531	 0,036891336623731 
532	 3,70051386788014E-02 
533	 3,77226276544567E-02 
534	 3,83991817748803E-02 
535	 3,89512387733121E-02 
536	 3,92204506249775E-02 
537	 0,038580779582819 
538	 3,74876146558671E-02 
539	 3,68000043391939E-02 
