Wavelength	BLAVET00293.asd
325	 0,271871088630255 
326	 0,179963151354335 
327	 9,57487725966651E-02 
328	 8,06728909477304E-02 
329	 5,33683289588801E-02 
330	 5,42995719813387E-02 
331	 0,10961310894917 
332	 0,109016043262924 
333	 7,90724754323289E-02 
334	 0,105870130278995 
335	 0,129475318965065 
336	 0,124427371391287 
337	 4,02921883912323E-02 
338	-3,53988328670364E-02 
339	-1,17965443064326E-02 
340	-1,32031342624029E-02 
341	-3,43052474369764E-02 
342	-1,35900077259851E-02 
343	-1,62108933056747E-02 
344	-5,27880416085633E-02 
345	-4,90937300484471E-02 
346	-1,83681317438415E-02 
347	 2,47259513195779E-02 
348	 4,42400823000868E-02 
349	 3,70854988572107E-02 
350	 1,52799486399684E-02 
351	 1,31541157342895E-02 
352	 3,91280647853012E-02 
353	 5,18814324455711E-02 
354	 4,80210378959837E-02 
355	 3,00269456117871E-02 
356	-1,15446093601054E-04 
357	-2,35189462513265E-02 
358	 1,75230933048553E-02 
359	 3,88588445185656E-02 
360	 9,50449332087082E-03 
361	 1,75628900724946E-02 
362	 0,04186779584131 
363	 4,41705385170045E-02 
364	 3,00079745816343E-02 
365	 3,21024545013152E-03 
366	-2,78678586206565E-02 
367	-1,94947306988698E-02 
368	 3,88047662120518E-02 
369	 4,47253481522994E-02 
370	 1,29035284114639E-02 
371	-5,64120541175259E-03 
372	-1,59270239364504E-02 
373	-1,23251387703892E-02 
374	 3,16517826834473E-02 
375	 4,70813492187787E-02 
376	-7,78858516946367E-03 
377	-7,06878617055882E-04 
378	 4,13968101349819E-02 
379	 1,69865801603735E-02 
380	 3,79565932292814E-03 
381	 2,09000253747775E-02 
382	 0,026073152091355 
383	 2,95686281261568E-02 
384	 4,09599262685879E-02 
385	 4,06939395810752E-02 
386	 3,05011082940042E-02 
387	 1,80001602398099E-02 
388	 1,46110492333202E-02 
389	 2,26113587889456E-02 
390	 1,46882974926456E-02 
391	 8,0259501599625E-03 
392	 2,43985514831042E-02 
393	 3,21923017377085E-02 
394	 2,88471328401315E-02 
395	 2,60295191461031E-02 
396	 2,45057876256424E-02 
397	 2,44963454902979E-02 
398	 2,16662792970554E-02 
399	 2,23223524542359E-02 
400	 3,70227620286486E-02 
401	 3,99599694037547E-02 
402	 0,028469181609956 
403	 1,71748696572594E-02 
404	 1,25028295509566E-02 
405	 0,017588753331089 
406	 2,07759171275871E-02 
407	 2,30566448699096E-02 
408	 3,15308049003931E-02 
409	 3,37467597324335E-02 
410	 2,78267720029148E-02 
411	 2,26579927382602E-02 
412	 2,18287788060243E-02 
413	 2,75280371879273E-02 
414	 0,027958859158161 
415	 0,02418876190817 
416	 2,46256039487639E-02 
417	 2,44229421088628E-02 
418	 2,16979554486145E-02 
419	 1,63740153725163E-02 
420	 0,013979256853315 
421	 2,11118881956462E-02 
422	 2,78884799562515E-02 
423	 3,09483583594403E-02 
424	 0,027614121574579 
425	 2,35913695404108E-02 
426	 2,21850542392749E-02 
427	 1,91837901651302E-02 
428	 1,67210855840335E-02 
429	 1,96585071424683E-02 
430	 2,10874111921918E-02 
431	 1,98069506295113E-02 
432	 2,01385261844895E-02 
433	 2,16160407624952E-02 
434	 2,35373857711285E-02 
435	 2,44516437716107E-02 
436	 2,40810220182153E-02 
437	 0,022556042987814 
438	 2,02433776522389E-02 
439	 1,81499455832597E-02 
440	 2,06878676660309E-02 
441	 2,32948122120654E-02 
442	 2,00145928872047E-02 
443	 1,79690905623591E-02 
444	 0,018402717683455 
445	 1,90653075350694E-02 
446	 0,020475784695151 
447	 2,23749450725652E-02 
448	 2,01306804154171E-02 
449	 1,68915320007432E-02 
450	 1,98439374962706E-02 
451	 2,12419042341945E-02 
452	 1,97749678187575E-02 
453	 2,07411396643294E-02 
454	 2,29013843624326E-02 
455	 2,47511374600279E-02 
456	 2,47154630172995E-02 
457	 2,31041078867083E-02 
458	 2,10275124043926E-02 
459	 2,16520379797851E-02 
460	 2,54378745484568E-02 
461	 2,56842233416929E-02 
462	 2,41654710944536E-02 
463	 2,40988689319038E-02 
464	 2,42127536498005E-02 
465	 2,42759125941498E-02 
466	 2,43957276249903E-02 
467	 2,42987247742131E-02 
468	 2,38596936161575E-02 
469	 2,36011597121583E-02 
470	 0,02368169671661 
471	 2,43677957917046E-02 
472	 2,43105310603817E-02 
473	 2,29837830422689E-02 
474	 1,97945668972629E-02 
475	 1,85029836451967E-02 
476	 2,24656617658512E-02 
477	 2,21802456233623E-02 
478	 1,89162495905343E-02 
479	 2,22046476519032E-02 
480	 2,37053050418215E-02 
481	 2,03294848059813E-02 
482	 0,018946786170653 
483	 1,93720118738163E-02 
484	 2,01943019369559E-02 
485	 0,019579852128901 
486	 1,82721636876943E-02 
487	 2,15212476647023E-02 
488	 2,40198732478538E-02 
489	 2,20299832765842E-02 
490	 2,11318184850742E-02 
491	 2,08646988762278E-02 
492	 1,73580974833686E-02 
493	 1,71268407564724E-02 
494	 2,12846414665125E-02 
495	 2,27561390179043E-02 
496	 0,022398288627677 
497	 2,18585516765392E-02 
498	 2,36574222457933E-02 
499	 2,63384626888927E-02 
500	 2,33464258351366E-02 
501	 2,09840437854465E-02 
502	 2,23852990359732E-02 
503	 2,12764698321144E-02 
504	 2,00095921711479E-02 
505	 2,43468394062436E-02 
506	 2,52826446413208E-02 
507	 2,18208266553555E-02 
