Wavelength	BLAVET00131.asd
325	 0,101739260869458 
326	 0,141410653393279 
327	 0,179280074209824 
328	 0,184314334153156 
329	 5,38096227707607E-02 
330	-1,42039546151298E-02 
331	 0,148708707081109 
332	 0,149895986071365 
333	 6,18649382784757E-02 
334	 0,151244448729578 
335	 0,188903975108341 
336	 0,14183596432195 
337	 0,119545658255697 
338	 0,1084204198886 
339	 9,45607026378659E-02 
340	 0,101938974574536 
341	 0,120454031361827 
342	 0,133655678599021 
343	 0,10190968469408 
344	 2,43929020686105E-02 
345	 3,30632440755624E-02 
346	 5,65737223845668E-02 
347	 3,04982082858988E-02 
348	 2,43796025254088E-02 
349	 3,61253593824383E-02 
350	 2,47471222353487E-02 
351	 3,93306096665895E-02 
352	 8,39748774725292E-02 
353	 6,28953593777524E-02 
354	 3,07492200052708E-02 
355	 5,11459491989005E-02 
356	 5,17693268305298E-02 
357	 0,032961509249433 
358	 4,14680639337437E-02 
359	 0,04907850913128 
360	 4,39559235892043E-02 
361	 3,95697474127428E-02 
362	 4,63621257783264E-02 
363	 7,71635827401315E-02 
364	 6,11126585445489E-02 
365	 3,27803260727593E-03 
366	-2,77566609036311E-03 
367	 0,018376490009805 
368	 0,044232440941182 
369	 4,07544426526001E-02 
370	 2,51229602470532E-02 
371	 3,92751644289297E-02 
372	 3,72473130336355E-02 
373	 2,04398591385337E-02 
374	 5,12419425570604E-02 
375	 7,01850786232893E-02 
376	 3,80745650266185E-02 
377	 3,32411680387201E-02 
378	 4,83998198887508E-02 
379	 0,037414000624742 
380	 0,040635153986296 
381	 5,85521991140806E-02 
382	 3,41589877384952E-02 
383	 8,88553592209152E-03 
384	 2,53745870237693E-02 
385	 4,45816537088026E-02 
386	 5,20826182194225E-02 
387	 3,14385143423011E-02 
388	 1,90488313471958E-02 
389	 0,028973413254291 
390	 3,32838205457549E-02 
391	 3,53852888909225E-02 
392	 4,17524528363671E-02 
393	 4,03152443041651E-02 
394	 3,24891188296684E-02 
395	 2,99306853080772E-02 
396	 0,02766260382784 
397	 2,35053812392142E-02 
398	 1,93644285779581E-02 
399	 2,16777510206385E-02 
400	 4,03371023125287E-02 
401	 4,25354512957083E-02 
402	 2,70227377108047E-02 
403	 1,96276440631619E-02 
404	 2,29301373676615E-02 
405	 3,61009190394099E-02 
406	 3,67003750813349E-02 
407	 2,85240693538573E-02 
408	 2,55478058528067E-02 
409	 2,53664468607427E-02 
410	 2,64657245812797E-02 
411	 2,26280836768366E-02 
412	 2,15478860460896E-02 
413	 2,99139894976592E-02 
414	 3,51949611953332E-02 
415	 3,46436687004598E-02 
416	 2,66686678189858E-02 
417	 2,05959884572158E-02 
418	 2,06595379495029E-02 
419	 2,37232911078038E-02 
420	 2,70521868467179E-02 
421	 2,77249759540651E-02 
422	 2,71273772738308E-02 
423	 0,026240628523056 
424	 2,67231059439387E-02 
425	 0,029252367172427 
426	 3,30941224615717E-02 
427	 2,82822878232042E-02 
428	 2,09468235625568E-02 
429	 2,45149520329132E-02 
430	 2,56170762598866E-02 
431	 2,25425562230382E-02 
432	 2,53846355000421E-02 
433	 2,95131582695649E-02 
434	 3,05840273863835E-02 
435	 3,25445029392852E-02 
436	 0,033588343651115 
437	 2,67996434662015E-02 
438	 2,30225167227641E-02 
439	 2,57892106654852E-02 
440	 2,60943375780821E-02 
441	 2,56743041469602E-02 
442	 0,027693514591884 
443	 2,88417164602887E-02 
444	 2,87072936533277E-02 
445	 2,86237299682701E-02 
446	 2,92242311137845E-02 
447	 3,05048724613075E-02 
448	 2,86634455048426E-02 
449	 2,58434627284036E-02 
450	 2,68022994804269E-02 
451	 3,00917906631153E-02 
452	 3,39393773554611E-02 
453	 0,033144210700833 
454	 2,99863862529266E-02 
455	 2,71365744418986E-02 
456	 2,85766013687222E-02 
457	 3,24153746332202E-02 
458	 3,12175588448499E-02 
459	 3,22940436521394E-02 
460	 3,73193465228061E-02 
461	 3,71144314216283E-02 
462	 3,41362393681827E-02 
463	 3,27923331978952E-02 
464	 3,06303058892275E-02 
465	 0,028502896080856 
466	 3,09784382737296E-02 
467	 3,31538363427255E-02 
468	 0,031885799363275 
469	 3,02869947057743E-02 
470	 2,96138543522571E-02 
