Wavelength	BLAVET00080.asd
325	 0,103708931386122 
326	 0,242537694892305 
327	 0,302610918799068 
328	 0,21268893717615 
329	 4,63563755410339E-02 
330	-5,81740780395872E-02 
331	 2,88835894239542E-02 
332	 0,129200541859971 
333	 0,192664910023781 
334	 0,124214656337745 
335	 8,83393567726177E-02 
336	 0,10861411066208 
337	 8,31324523997067E-02 
338	 4,55001353765255E-02 
339	 3,54078068671088E-02 
340	 0,02321749988837 
341	 1,71786157354266E-02 
342	 4,64924027813546E-02 
343	 5,86949624118128E-02 
344	 4,19381438967192E-02 
345	 3,68188305103842E-02 
346	 3,00949870135746E-02 
347	 6,64066711307036E-03 
348	 7,99719104579599E-03 
349	 2,83960133222701E-02 
350	 3,05319104727481E-02 
351	 5,84971938268281E-02 
352	 0,107070466483581 
353	 3,87763109846684E-02 
354	-3,69679245764225E-02 
355	-1,35032338115024E-03 
356	 3,39919477998943E-02 
357	 4,73922893647127E-02 
358	 4,63571295658403E-02 
359	 3,35853909215636E-02 
360	 1,40653600498501E-02 
361	 0,010454059554763 
362	 2,66094794822029E-02 
363	 6,50378691359765E-02 
364	 6,62991345698386E-02 
365	 2,72030412735609E-02 
366	 2,89060603824988E-03 
367	-2,92262815130123E-03 
368	 7,7369694691461E-03 
369	 1,76510815402371E-02 
370	 2,23481527646034E-02 
371	 1,73124112892748E-02 
372	 1,01248778431966E-02 
373	 0,010086033569332 
374	 0,047051980484153 
375	 6,30820902134118E-02 
376	 2,12727714868737E-02 
377	 7,58576376849412E-03 
378	 0,018997589488545 
379	 1,26255000315832E-02 
380	 1,14249687109955E-02 
381	 0,018443666995007 
382	 1,49409187652197E-02 
383	 1,27624907360814E-02 
384	 2,32186823451506E-02 
385	 2,99553448793545E-02 
386	 2,63485639061512E-02 
387	-2,19374333940434E-03 
388	-5,22765909338336E-03 
389	 2,84002346215553E-02 
390	 1,58320779709985E-02 
391	-3,92579025929137E-03 
392	 2,14222270040926E-02 
393	 2,56113395735794E-02 
394	 8,15190631205244E-03 
395	 7,97333719906363E-03 
396	 1,27332676460467E-02 
397	 1,61514889281743E-02 
398	 2,01066708936957E-02 
399	 0,024653594340865 
400	 3,01373574984093E-02 
401	 3,11743390886216E-02 
402	 2,66809122026234E-02 
403	 1,73227949196855E-02 
404	 1,07381216130324E-02 
405	 1,17480145408705E-02 
406	 1,61938925610414E-02 
407	 1,99714902396212E-02 
408	 1,61896869133532E-02 
409	 1,79487440434565E-02 
410	 2,51353949744724E-02 
411	 1,85066450720237E-02 
412	 0,009656614044638 
413	 1,03274586377285E-02 
414	 1,75342941906126E-02 
415	 0,025406992942644 
416	 0,021588217519956 
417	 1,49828982180438E-02 
418	 1,02508599286044E-02 
419	 9,18614475936127E-03 
420	 1,12050111139541E-02 
421	 1,52607714592068E-02 
422	 1,63216146305935E-02 
423	 1,43405391375283E-02 
424	 1,30486265230243E-02 
425	 1,37565627279248E-02 
426	 1,66245949934618E-02 
427	 1,58157530590287E-02 
428	 1,35222406898595E-02 
429	 0,015456724096328 
430	 1,37535390439847E-02 
431	 8,50691966613374E-03 
432	 1,00519082511589E-02 
433	 1,30915947371541E-02 
434	 1,26565088717955E-02 
435	 1,18746338947298E-02 
436	 1,12995559274738E-02 
437	 1,09206207918011E-02 
438	 1,05372206327944E-02 
439	 1,05602202363101E-02 
440	 1,41401990872197E-02 
441	 1,68950880810994E-02 
442	 1,32835400659021E-02 
443	 1,15092503298544E-02 
444	 0,012713756916479 
445	 1,34008095904613E-02 
446	 1,40594133214059E-02 
447	 1,45413097826008E-02 
448	 1,12562328747718E-02 
449	 7,23871411376965E-03 
450	 8,8773240750952E-03 
451	 1,20811428719847E-02 
452	 1,49348205982775E-02 
453	 1,56035640365552E-02 
454	 1,40679645665329E-02 
455	 1,07687064176638E-02 
456	 0,011244660957124 
457	 1,40112146591548E-02 
458	 1,16668484917755E-02 
459	 1,22960704995298E-02 
460	 0,017787312367404 
461	 0,017833096937269 
462	 1,47757124881977E-02 
463	 1,29944803256717E-02 
464	 1,27679982162285E-02 
465	 1,41992063746255E-02 
466	 1,74953090477089E-02 
467	 1,74477672003747E-02 
468	 1,17053827157596E-02 
