Wavelength	GRA-VIE00155.asd
325	 9,36765383388657E-03 
326	-4,94866003381094E-02 
327	 8,53377613115006E-02 
328	 0,255026514696472 
329	 0,247559851046354 
330	 0,181487621942001 
331	 0,166463554200098 
332	 0,120440275980122 
333	 5,22566590146745E-02 
334	 0,115438369870773 
335	 0,180051024023811 
336	 0,190955813139894 
337	 0,192270889384795 
338	 0,173684965152667 
339	 0,12834197321612 
340	 0,102003448210197 
341	 9,26958799319425E-02 
342	 7,54033763324899E-02 
343	 0,106399084781067 
344	 0,162113574023278 
345	 0,100586075111557 
346	 3,06788610098862E-02 
347	 7,84881872030379E-02 
348	 0,070334666060789 
349	 1,75594911722777E-02 
350	 4,05766986545371E-02 
351	 5,87305330994662E-02 
352	 5,55212545920415E-02 
353	 8,86145723486101E-02 
354	 0,1079278374451 
355	 5,89399127605462E-02 
356	 5,31195829278199E-02 
357	 8,24406672003917E-02 
358	 5,49284877674451E-02 
359	 2,33119336507449E-02 
360	 1,50598144305777E-02 
361	 4,80549582540616E-02 
362	 8,58174049316586E-02 
363	 8,18898421812509E-02 
364	 5,44190208137878E-02 
365	 1,69926251499912E-02 
366	-3,08359951230636E-03 
367	 0,003042569182603 
368	 3,37366636247902E-02 
369	 3,25003051917476E-02 
370	 2,14477198745431E-02 
371	 5,20033924249633E-02 
372	 6,45307310247263E-02 
373	 4,69207843802303E-02 
374	 2,36268344013274E-02 
375	 2,19003492883846E-02 
376	 0,055831760778052 
377	 4,77374098781532E-02 
378	 1,28549901946908E-02 
379	 0,012387995913363 
380	 3,38929515344412E-02 
381	 6,19300911854103E-02 
382	 4,27649626561312E-02 
383	 1,17406689943887E-02 
384	 7,65225672007272E-03 
385	 2,41710160049216E-02 
386	 4,56904741661989E-02 
387	 4,23981451959466E-02 
388	 3,50053262213375E-02 
389	 3,20248790780381E-02 
390	 2,99930956050434E-02 
391	 3,16648210013545E-02 
392	 4,02068392441588E-02 
393	 3,73882933321972E-02 
394	 2,46826389612796E-02 
395	 0,017678318223391 
396	 2,60249204511378E-02 
397	 4,91786346318748E-02 
398	 0,047009364359312 
399	 2,84203208188652E-02 
400	 1,19718406908907E-02 
401	 1,28960176872906E-02 
402	 2,72070912493164E-02 
403	 2,22820063193767E-02 
404	 1,88292516303734E-02 
405	 2,89907428054314E-02 
406	 2,10049817305594E-02 
407	 5,22780243506438E-03 
408	 1,20109559950618E-02 
409	 1,65200508685697E-02 
410	 1,34932827162269E-02 
411	 1,20721038821889E-02 
412	 1,48785582249668E-02 
413	 2,29488480506873E-02 
414	 0,017316655409821 
415	 5,21196179933269E-03 
416	 1,54268351550124E-02 
417	 2,01218760585417E-02 
418	 1,11943721959143E-02 
419	 9,6314606481778E-03 
420	 1,39070750733753E-02 
421	 1,98794235184228E-02 
422	 1,47864737646105E-02 
423	 3,25152495220448E-03 
424	 1,03015653942859E-02 
425	 1,62858941191583E-02 
426	 1,04992955918882E-02 
427	 1,00563624242826E-02 
428	 1,32539630221407E-02 
429	 1,31268372491488E-02 
430	 1,31570657714216E-02 
431	 1,36738103670576E-02 
432	 1,17822956423828E-02 
433	 1,10781155193674E-02 
434	 0,014571556324513 
435	 1,85331173223969E-02 
436	 2,03117001847097E-02 
437	 1,46976133755693E-02 
438	 1,15902001221414E-02 
439	 1,46740762627257E-02 
440	 1,84844975824797E-02 
441	 2,04445134621093E-02 
442	 1,82282018346328E-02 
443	 0,016577411839744 
444	 1,62482942571079E-02 
445	 1,49940129695141E-02 
446	 1,50607642038725E-02 
447	 1,72639276990731E-02 
448	 1,64129113289573E-02 
449	 1,37917620150473E-02 
450	 0,012760338651822 
451	 1,54562642704653E-02 
452	 2,05854556637027E-02 
453	 1,93928639803787E-02 
454	 0,016219084064393 
455	 1,54487095796804E-02 
456	 1,51831402806973E-02 
457	 1,51980939692166E-02 
458	 1,52415538914395E-02 
459	 1,76970202450527E-02 
460	 2,22077770410126E-02 
461	 2,03637797281651E-02 
462	 0,016023948531652 
463	 1,54016944384675E-02 
464	 1,37007441956171E-02 
465	 1,13970535859129E-02 
466	 1,41512082310828E-02 
467	 1,64465718564793E-02 
468	 1,50117967161057E-02 
469	 1,58190407487708E-02 
470	 1,72911594433135E-02 
471	 1,44264258793794E-02 
472	 1,34802892112486E-02 
473	 1,55512997313733E-02 
474	 1,53140109278161E-02 
475	 1,50133378032037E-02 
476	 1,70099324073975E-02 
477	 1,85816546244895E-02 
478	 1,88213803109005E-02 
479	 1,67528153328219E-02 
480	 1,50515683326988E-02 
481	 1,47862761273372E-02 
482	 1,30196053256233E-02 
483	 1,17738110890291E-02 
484	 1,45036705333633E-02 
485	 1,60561444484369E-02 
486	 1,53814103800075E-02 
487	 0,014186749285192 
488	 1,36128427650537E-02 
489	 1,43516467305827E-02 
490	 1,40741809988324E-02 
491	 0,013200379702257 
492	 1,35592296410808E-02 
493	 1,40707111952352E-02 
494	 1,43287453358452E-02 
495	 1,43507513010232E-02 
496	 1,39566019003098E-02 
497	 1,29776946261319E-02 
498	 1,31968173105396E-02 
499	 1,40450821910683E-02 
500	 1,23473741017492E-02 
501	 1,11897755103372E-02 
502	 0,012208729784939 
503	 1,33877390487447E-02 
504	 1,41457520013499E-02 
505	 0,013964716889549 
506	 1,43146571252508E-02 
507	 1,52024921137633E-02 
508	 1,46761039628572E-02 
509	 1,35309800376091E-02 
510	 1,26383008013949E-02 
511	 1,28859831931515E-02 
512	 1,39096838906381E-02 
513	 1,44274274202349E-02 
514	 1,42945485760223E-02 
515	 1,37561801581887E-02 
516	 1,51879759885544E-02 
517	 1,65845839243198E-02 
518	 1,48799332629519E-02 
519	 1,41789412319409E-02 
520	 1,50609027356956E-02 
521	 1,55336985790589E-02 
522	 1,56055122494432E-02 
523	 1,52883240802617E-02 
524	 1,45537890380809E-02 
525	 1,36541683046164E-02 
526	 1,29135022834844E-02 
527	 1,32178175168462E-02 
528	 1,44788914904054E-02 
529	 1,44666156370257E-02 
530	 1,37833494450863E-02 
531	 1,33268169780148E-02 
532	 1,36338619775775E-02 
533	 1,43816740227461E-02 
534	 0,014086336244061 
535	 1,37123668120027E-02 
536	 1,39122555796554E-02 
537	 1,52613342844166E-02 
538	 1,63623513538037E-02 
539	 1,44691776301755E-02 
540	 0,013350305325162 
541	 1,39393476955838E-02 
542	 1,44656676664202E-02 
543	 1,46409909301967E-02 
544	 1,43138846704276E-02 
545	 1,45367714649012E-02 
546	 1,51209046125601E-02 
547	 1,49376041384609E-02 
548	 1,45575065154894E-02 
